,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
L'Ethiopie,0.026385224274406333,0.04617414248021108,0.006596306068601583,0.048812664907651716,0.01978891820580475,0.08575197889182058,0.16490765171503957,0.03562005277044855,0.017150395778364115,0.12269129287598944
L'Europe,0.021711366538952746,0.038314176245210725,0.011494252873563218,0.05108556832694764,0.020434227330779056,0.0842911877394636,0.1826309067688378,0.033205619412515965,0.019157088122605363,0.140485312899106
L'Ukraine,0.025380710659898477,0.04187817258883249,0.008883248730964468,0.04949238578680203,0.017766497461928935,0.08248730964467005,0.1713197969543147,0.03299492385786802,0.01649746192893401,0.12436548223350254
Le Soudan,0.02806122448979592,0.04336734693877551,0.007653061224489796,0.05229591836734694,0.01913265306122449,0.08801020408163265,0.18112244897959184,0.03571428571428571,0.016581632653061226,0.125
L'Afghanistan,0.03585147247119078,0.03841229193341869,0.012804097311139564,0.06530089628681178,0.019206145966709345,0.09859154929577464,0.18053777208706787,0.034571062740076826,0.01792573623559539,0.13060179257362356
L'Irak,0.03074866310160428,0.034759358288770054,0.009358288770053475,0.06149732620320856,0.016042780748663103,0.0962566844919786,0.16176470588235295,0.03609625668449198,0.01871657754010695,0.11229946524064172
Le Yémen,0.02577319587628866,0.041237113402061855,0.00902061855670103,0.04252577319587629,0.020618556701030927,0.08505154639175258,0.18298969072164947,0.029639175257731958,0.015463917525773196,0.12371134020618557
La Russie,0.02967741935483871,0.04,0.011612903225806452,0.04903225806451613,0.01935483870967742,0.09548387096774194,0.17935483870967742,0.03612903225806452,0.01935483870967742,0.12645161290322582
L'Italie,0.024516129032258065,0.04258064516129032,0.014193548387096775,0.05032258064516129,0.02193548387096774,0.08774193548387096,0.1767741935483871,0.03354838709677419,0.02064516129032258,0.13032258064516128
La Somalie,0.02860858257477243,0.04161248374512354,0.007802340702210663,0.04681404421326398,0.02080624187256177,0.09102730819245773,0.19635890767230169,0.033810143042912875,0.014304291287386216,0.14304291287386217
L'Iran,0.02967741935483871,0.03354838709677419,0.012903225806451613,0.06451612903225806,0.014193548387096775,0.09032258064516129,0.17290322580645162,0.03483870967741935,0.02193548387096774,0.12516129032258064
Le Venezuela,0.022427440633245383,0.04221635883905013,0.010554089709762533,0.047493403693931395,0.026385224274406333,0.08839050131926121,0.1820580474934037,0.03430079155672823,0.014511873350923483,0.13192612137203166
L'Oman,0.027308192457737322,0.035110533159947985,0.010403120936280884,0.05981794538361508,0.015604681404421327,0.08712613784135241,0.17035110533159947,0.032509752925877766,0.01950585175552666,0.1235370611183355
La Syrie,0.032509752925877766,0.0377113133940182,0.009102730819245773,0.0494148244473342,0.01950585175552666,0.10013003901170352,0.1729518855656697,0.035110533159947985,0.016905071521456438,0.1235370611183355
La Chine,0.030343007915567283,0.051451187335092345,0.011873350923482849,0.0633245382585752,0.01978891820580475,0.09894459102902374,0.17678100263852242,0.040897097625329816,0.022427440633245383,0.1279683377308707
L'Inde,0.028833551769331587,0.04062909567496723,0.009174311926605505,0.053735255570117955,0.015727391874180863,0.09043250327653997,0.17955439056356487,0.03145478374836173,0.01834862385321101,0.1349934469200524
La Grande-Bretagne,0.025348542458808618,0.044359949302915085,0.012674271229404309,0.059569074778200254,0.020278833967046894,0.09505703422053231,0.18124207858048164,0.03802281368821293,0.021546261089987327,0.14702154626108999
La France,0.027918781725888325,0.04949238578680203,0.012690355329949238,0.05710659898477157,0.02030456852791878,0.09898477157360407,0.17385786802030456,0.04187817258883249,0.02030456852791878,0.1383248730964467
La Grèce,0.02967741935483871,0.04645161290322581,0.011612903225806452,0.04258064516129032,0.024516129032258065,0.09032258064516129,0.18193548387096775,0.03612903225806452,0.012903225806451613,0.1367741935483871
L'Écosse,0.021437578814627996,0.044136191677175286,0.008827238335435058,0.04539722572509458,0.025220680958385876,0.08448928121059268,0.19167717528373265,0.031525851197982346,0.0201765447667087,0.1424968474148802
Le Paraguay,0.02663115845539281,0.041278295605858856,0.014647137150466045,0.05193075898801598,0.02663115845539281,0.09054593874833555,0.18375499334221038,0.03994673768308921,0.019973368841544607,0.12250332889480692
Le Brésil,0.023514851485148515,0.04950495049504951,0.011138613861386138,0.04826732673267327,0.022277227722772276,0.0891089108910891,0.18316831683168316,0.03589108910891089,0.019801980198019802,0.12004950495049505
L'Afrique,0.02838709677419355,0.03225806451612903,0.015483870967741935,0.05935483870967742,0.015483870967741935,0.08516129032258064,0.17806451612903226,0.03612903225806452,0.01935483870967742,0.13419354838709677
La Jordan,0.024390243902439025,0.03979460847240052,0.008985879332477536,0.051347881899871634,0.023106546854942234,0.08857509627727857,0.18741976893453144,0.03465982028241335,0.012836970474967908,0.12836970474967907
L'Indonésie,0.027061855670103094,0.041237113402061855,0.01288659793814433,0.05283505154639175,0.01804123711340206,0.08762886597938144,0.17010309278350516,0.03479381443298969,0.01804123711340206,0.12757731958762886
Le Viêt Nam,0.025974025974025976,0.045454545454545456,0.01038961038961039,0.05064935064935065,0.02077922077922078,0.08701298701298701,0.16363636363636364,0.03506493506493506,0.016883116883116882,0.11298701298701298
Le Pakistan,0.030037546933667083,0.04505632040050062,0.008760951188986232,0.056320400500625784,0.01877346683354193,0.08635794743429287,0.18147684605757197,0.03379224030037547,0.02127659574468085,0.12015018773466833
La Roumanie,0.024771838331160364,0.04041720990873533,0.010430247718383311,0.04302477183833116,0.02216427640156454,0.0847457627118644,0.18122555410691005,0.03129074315514994,0.014341590612777053,0.1316818774445893
L'Équateur,0.0241423125794155,0.04066073697585769,0.012706480304955527,0.05082592121982211,0.017789072426937738,0.08259212198221093,0.16899618805590852,0.03430749682337993,0.021601016518424398,0.12833545108005082
Le Mexique,0.0258732212160414,0.04398447606727038,0.01034928848641656,0.04657179818887452,0.02069857697283312,0.09702457956015524,0.17464424320827943,0.03492884864165589,0.015523932729624839,0.12160413971539456
Le Porto Rico,0.02490170380078637,0.04456094364351245,0.011795543905635648,0.04849279161205767,0.022280471821756225,0.09043250327653997,0.182175622542595,0.04062909567496723,0.015727391874180863,0.12450851900393185
Le Cameroun,0.02278481012658228,0.0379746835443038,0.012658227848101266,0.04683544303797468,0.021518987341772152,0.08607594936708861,0.1860759493670886,0.035443037974683546,0.013924050632911392,0.1291139240506329
Le Kenya,0.029216467463479414,0.043824701195219126,0.009296148738379814,0.05179282868525897,0.021248339973439574,0.09163346613545817,0.18592297476759628,0.03718459495351926,0.01195219123505976,0.1301460823373174
Le Libéria,0.02509907529722589,0.0488771466314399,0.009247027741083224,0.04491413474240423,0.022457067371202115,0.08718626155878467,0.1809775429326288,0.03302509907529723,0.01453104359313078,0.1215323645970938
La Sierra Léon,0.02890932982917214,0.04862023653088042,0.011826544021024968,0.04336399474375821,0.02759526938239159,0.09592641261498029,0.18265440210249673,0.035479632063074903,0.009198423127463863,0.13272010512483573
Le Qatar,0.02345679012345679,0.050617283950617285,0.009876543209876543,0.044444444444444446,0.022222222222222223,0.08765432098765433,0.18024691358024691,0.03333333333333333,0.018518518518518517,0.12222222222222222
