,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.032175032175032175,0.039897039897039896,0.018018018018018018,0.055341055341055344,0.023166023166023165,0.10682110682110682,0.16344916344916344,0.03861003861003861,0.02574002574002574,0.11068211068211069
nerds,0.030065359477124184,0.0392156862745098,0.013071895424836602,0.058823529411764705,0.0196078431372549,0.09542483660130718,0.16862745098039217,0.03398692810457516,0.027450980392156862,0.11633986928104575
ploucs,0.026888604353393086,0.03585147247119078,0.008962868117797696,0.04737516005121639,0.026888604353393086,0.09218950064020487,0.17285531370038412,0.03201024327784891,0.019206145966709345,0.12548015364916773
sans-abri,0.026957637997432605,0.0410783055198973,0.01540436456996149,0.05391527599486521,0.02053915275994865,0.0975609756097561,0.16559691912708602,0.03594351732991014,0.019255455712451863,0.1245186136071887
féministes,0.029077117572692796,0.03413400758533502,0.015170670037926675,0.05562579013906448,0.020227560050568902,0.10240202275600506,0.1731984829329962,0.04298356510745891,0.02654867256637168,0.1276864728192162
riches,0.025348542458808618,0.032953105196451206,0.012674271229404309,0.062103929024081114,0.012674271229404309,0.09125475285171103,0.17237008871989862,0.03929024081115336,0.02788339670468948,0.14195183776932827
pauvres,0.02918781725888325,0.04060913705583756,0.02030456852791878,0.05710659898477157,0.0266497461928934,0.09771573604060914,0.18274111675126903,0.04187817258883249,0.031725888324873094,0.12563451776649745
criminels,0.034974093264248704,0.03756476683937824,0.014248704663212436,0.05958549222797927,0.019430051813471502,0.10362694300518134,0.16580310880829016,0.038860103626943004,0.02461139896373057,0.11787564766839378
fraternités étudiantes,0.026054590570719603,0.038461538461538464,0.009925558312655087,0.04714640198511166,0.017369727047146403,0.09181141439205956,0.16377171215880892,0.034739454094292806,0.02109181141439206,0.1327543424317618
garçons de fraternité,0.036556603773584904,0.04009433962264151,0.01650943396226415,0.05778301886792453,0.030660377358490566,0.10259433962264151,0.17570754716981132,0.04716981132075472,0.024764150943396228,0.13797169811320756
filles de sororité,0.02418379685610641,0.041112454655380895,0.012091898428053204,0.0471584038694075,0.02539298669891173,0.08827085852478839,0.19105199516324062,0.036275695284159616,0.026602176541717048,0.13663845223700122
hippies,0.03204272363150868,0.04005340453938585,0.017356475300400534,0.04806408544726302,0.022696929238985315,0.1041388518024032,0.16955941255006676,0.037383177570093455,0.030707610146862484,0.11748998664886515
geeks,0.02913907284768212,0.04105960264900662,0.013245033112582781,0.051655629139072845,0.02384105960264901,0.09933774834437085,0.17748344370860927,0.038410596026490065,0.02119205298013245,0.1205298013245033
gothiques,0.02570694087403599,0.03598971722365039,0.014138817480719794,0.056555269922879174,0.019280205655526992,0.09897172236503857,0.15681233933161953,0.03470437017994859,0.016709511568123392,0.10925449871465295
punks,0.029715762273901807,0.03617571059431524,0.012919896640826873,0.05167958656330749,0.020671834625323,0.10852713178294573,0.16149870801033592,0.041343669250646,0.027131782945736434,0.11886304909560723
Californiens,0.031007751937984496,0.040051679586563305,0.015503875968992248,0.05426356589147287,0.028423772609819122,0.09819121447028424,0.1847545219638243,0.03875968992248062,0.02454780361757106,0.1330749354005168
célébrités,0.026582278481012658,0.04556962025316456,0.017721518987341773,0.056962025316455694,0.026582278481012658,0.09746835443037975,0.17721518987341772,0.04050632911392405,0.020253164556962026,0.12658227848101267
roux,0.03088803088803089,0.03732303732303732,0.010296010296010296,0.05405405405405406,0.02445302445302445,0.0990990990990991,0.16087516087516088,0.03474903474903475,0.02702702702702703,0.11969111969111969
