,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asiatiques,0.027166882276843468,0.03363518758085381,0.014230271668822769,0.04915912031047866,0.019404915912031046,0.09184993531694696,0.17723156532988357,0.03492884864165589,0.028460543337645538,0.12807244501940493
Américains,0.03054448871181939,0.033200531208499334,0.01593625498007968,0.06108897742363878,0.021248339973439574,0.09827357237715803,0.1752988047808765,0.03851261620185923,0.027888446215139442,0.1248339973439575
Européens,0.022871664548919948,0.03811944091486658,0.010165184243964422,0.04193138500635324,0.020330368487928845,0.09021601016518424,0.17153748411689962,0.03303684879288437,0.022871664548919948,0.12325285895806862
Juifs,0.03337783711615487,0.03337783711615487,0.022696929238985315,0.06408544726301736,0.018691588785046728,0.1041388518024032,0.1829105473965287,0.04539385847797063,0.028037383177570093,0.11481975967957277
Indiens,0.02929427430093209,0.03861517976031957,0.013315579227696404,0.06125166444740346,0.019973368841544607,0.10386151797603196,0.1810918774966711,0.03595206391478029,0.02663115845539281,0.11984021304926765
Russes,0.02464332036316472,0.03372243839169909,0.016861219195849545,0.058365758754863814,0.019455252918287938,0.09727626459143969,0.17380025940337224,0.040207522697795074,0.02204928664072633,0.12062256809338522
Africains,0.027925531914893616,0.03723404255319149,0.013297872340425532,0.061170212765957445,0.023936170212765957,0.09441489361702128,0.18617021276595744,0.03723404255319149,0.02127659574468085,0.13164893617021275
Noirs,0.02956298200514139,0.03984575835475578,0.014138817480719794,0.055269922879177376,0.021850899742930592,0.09383033419023136,0.16966580976863754,0.033419023136246784,0.02313624678663239,0.11953727506426735
Mexicains,0.029769959404600813,0.04194857916102842,0.016238159675236806,0.056833558863328824,0.02706359945872801,0.10960757780784844,0.16914749661705006,0.044654939106901215,0.017591339648173207,0.10960757780784844
Blancs,0.0299625468164794,0.03745318352059925,0.016229712858926344,0.06117353308364544,0.018726591760299626,0.09987515605493133,0.1735330836454432,0.03745318352059925,0.02372034956304619,0.12609238451935081
personnes Noirs,0.031486146095717885,0.041561712846347604,0.015113350125944584,0.05289672544080604,0.0163727959697733,0.0906801007556675,0.18387909319899245,0.03400503778337532,0.02392947103274559,0.12720403022670027
personnes blanches,0.0332512315270936,0.03940886699507389,0.01600985221674877,0.05788177339901478,0.019704433497536946,0.1022167487684729,0.1810344827586207,0.04310344827586207,0.024630541871921183,0.12807881773399016
Allemands,0.02998696219035202,0.04041720990873533,0.01564537157757497,0.05736636245110821,0.02216427640156454,0.09908735332464146,0.17340286831812254,0.03650586701434159,0.018252933507170794,0.11864406779661017
Blondes,0.023989898989898988,0.041666666666666664,0.015151515151515152,0.06060606060606061,0.023989898989898988,0.09974747474747475,0.16035353535353536,0.04292929292929293,0.023989898989898988,0.125
filles blondes,0.03065134099616858,0.04469987228607918,0.017879948914431672,0.0561941251596424,0.022988505747126436,0.10727969348659004,0.1698595146871009,0.04469987228607918,0.02681992337164751,0.12260536398467432
Arabes,0.024771838331160364,0.03780964797913951,0.011734028683181226,0.0560625814863103,0.02346805736636245,0.09778357235984354,0.18513689700130379,0.03650586701434159,0.02216427640156454,0.12255541069100391
Américains blancs,0.03366583541147132,0.043640897755610975,0.022443890274314215,0.0685785536159601,0.02493765586034913,0.10473815461346633,0.1658354114713217,0.04488778054862843,0.029925187032418952,0.11845386533665836
Américains noirs,0.032175032175032175,0.03088803088803089,0.019305019305019305,0.06563706563706563,0.010296010296010296,0.0990990990990991,0.16344916344916344,0.04247104247104247,0.03088803088803089,0.11196911196911197
Hispaniques,0.02677376171352075,0.03748326639892905,0.01740294511378849,0.060240963855421686,0.024096385542168676,0.10174029451137885,0.16198125836680052,0.03748326639892905,0.022757697456492636,0.107095046854083
Amérindiens,0.02727272727272727,0.04415584415584416,0.01038961038961039,0.05584415584415584,0.02207792207792208,0.09610389610389611,0.15974025974025974,0.03116883116883117,0.02077922077922078,0.11818181818181818
hommes noirs,0.033419023136246784,0.03470437017994859,0.021850899742930592,0.06683804627249357,0.016709511568123392,0.10154241645244216,0.17609254498714652,0.043701799485861184,0.033419023136246784,0.10925449871465295
hommes blancs,0.0325,0.035,0.0225,0.06875,0.02,0.1,0.165,0.04375,0.025,0.11
femmes asiatiques,0.02981366459627329,0.03975155279503106,0.014906832298136646,0.055900621118012424,0.02360248447204969,0.10062111801242236,0.17888198757763976,0.037267080745341616,0.02236024844720497,0.1341614906832298
hommes asiatiques,0.026923076923076925,0.035897435897435895,0.019230769230769232,0.06153846153846154,0.021794871794871794,0.09871794871794871,0.17692307692307693,0.03974358974358974,0.023076923076923078,0.12692307692307692
femmes noires,0.0282021151586369,0.0399529964747356,0.01527614571092832,0.055229142185663924,0.023501762632197415,0.09048178613396005,0.17743830787309048,0.036427732079905996,0.023501762632197415,0.13160987074030553
Hollandais,0.02258469259723965,0.037641154328732745,0.012547051442910916,0.053952321204516936,0.018820577164366373,0.08657465495608532,0.17440401505646172,0.033877038895859475,0.020075282308657464,0.11794228356336262
Irlandais,0.02830188679245283,0.03638814016172507,0.01078167115902965,0.057951482479784364,0.02021563342318059,0.09703504043126684,0.1752021563342318,0.03908355795148248,0.018867924528301886,0.12398921832884097
hommes irlandais,0.0332512315270936,0.04187192118226601,0.017241379310344827,0.05788177339901478,0.023399014778325122,0.09359605911330049,0.1724137931034483,0.0332512315270936,0.023399014778325122,0.11945812807881774
femmes blanches,0.029197080291970802,0.04257907542579075,0.014598540145985401,0.05961070559610705,0.023114355231143552,0.10097323600973236,0.17761557177615572,0.04257907542579075,0.021897810218978103,0.12530413625304138
hommes indiens,0.033942558746736295,0.031331592689295036,0.018276762402088774,0.06657963446475196,0.013054830287206266,0.1031331592689295,0.16579634464751958,0.0391644908616188,0.028720626631853787,0.12140992167101827
femmes indiennes,0.02857142857142857,0.03850931677018633,0.013664596273291925,0.058385093167701865,0.01987577639751553,0.09565217391304348,0.17515527950310558,0.034782608695652174,0.02236024844720497,0.1391304347826087
hommes chinois,0.030712530712530713,0.044226044226044224,0.020884520884520884,0.05896805896805897,0.019656019656019656,0.09828009828009827,0.1683046683046683,0.03931203931203931,0.02702702702702703,0.10565110565110565
femmes chinoises,0.02494061757719715,0.04156769596199525,0.013064133016627079,0.052256532066508314,0.023752969121140142,0.08788598574821853,0.17458432304038005,0.030878859857482184,0.027315914489311165,0.13064133016627077
femmes japonaises,0.02822085889570552,0.04171779141104295,0.013496932515337423,0.05521472392638037,0.022085889570552148,0.09447852760736196,0.18404907975460122,0.03803680981595092,0.024539877300613498,0.13496932515337423
hommes japonais,0.030978934324659233,0.04460966542750929,0.01486988847583643,0.057001239157372985,0.023543990086741014,0.09417596034696406,0.1821561338289963,0.03841387856257745,0.022304832713754646,0.12267657992565056
parents indiens,0.035578144853875476,0.044472681067344345,0.01397712833545108,0.07115628970775095,0.021601016518424398,0.10673443456162643,0.18424396442185514,0.03939008894536213,0.02795425667090216,0.12706480304955528
parents asiatiques,0.031210986267166042,0.04744069912609238,0.012484394506866416,0.0599250936329588,0.02746566791510612,0.09987515605493133,0.17852684144818975,0.03620474406991261,0.02746566791510612,0.12234706616729088
parents blancs,0.03194103194103194,0.044226044226044224,0.014742014742014743,0.06142506142506143,0.018427518427518427,0.09950859950859951,0.1732186732186732,0.0343980343980344,0.02334152334152334,0.12162162162162163
pères noirs,0.03631961259079903,0.03389830508474576,0.021791767554479417,0.06537530266343826,0.01694915254237288,0.1053268765133172,0.17070217917675545,0.04600484261501211,0.02784503631961259,0.11501210653753027
Latines,0.03125,0.043478260869565216,0.012228260869565218,0.05570652173913043,0.028532608695652172,0.10190217391304347,0.16576086956521738,0.03804347826086957,0.020380434782608696,0.11548913043478261
Latinos,0.032167832167832165,0.046153846153846156,0.022377622377622378,0.06573426573426573,0.02937062937062937,0.11468531468531469,0.16643356643356644,0.046153846153846156,0.022377622377622378,0.11048951048951049
peuple latin,0.02890932982917214,0.0328515111695138,0.01445466491458607,0.05387647831800263,0.01971090670170828,0.09724047306176084,0.18265440210249673,0.0328515111695138,0.026281208935611037,0.12089356110381078
femmes brésiliennes,0.028255528255528257,0.04176904176904177,0.013513513513513514,0.056511056511056514,0.02334152334152334,0.09705159705159705,0.17936117936117937,0.03562653562653563,0.028255528255528257,0.1375921375921376
enfants asiatiques,0.034394904458598725,0.03694267515923567,0.017834394904458598,0.062420382165605096,0.02038216560509554,0.09681528662420383,0.17197452229299362,0.03694267515923567,0.025477707006369428,0.1286624203821656
enfants noirs,0.03740648379052369,0.03366583541147132,0.022443890274314215,0.06733167082294264,0.016209476309226933,0.10723192019950124,0.1633416458852868,0.04239401496259352,0.029925187032418952,0.11221945137157108
enfants blancs,0.03654080389768575,0.04263093788063337,0.0194884287454324,0.06577344701583435,0.0194884287454324,0.09744214372716199,0.1705237515225335,0.0389768574908648,0.025578562728380026,0.1218026796589525
