,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personnes Noirs,0.031486146095717885,0.041561712846347604,0.015113350125944584,0.05289672544080604,0.0163727959697733,0.0906801007556675,0.18387909319899245,0.03400503778337532,0.02392947103274559,0.12720403022670027
Mexicains,0.029769959404600813,0.04194857916102842,0.016238159675236806,0.056833558863328824,0.02706359945872801,0.10960757780784844,0.16914749661705006,0.044654939106901215,0.017591339648173207,0.10960757780784844
Noirs,0.02956298200514139,0.03984575835475578,0.014138817480719794,0.055269922879177376,0.021850899742930592,0.09383033419023136,0.16966580976863754,0.033419023136246784,0.02313624678663239,0.11953727506426735
Arabes,0.024771838331160364,0.03780964797913951,0.011734028683181226,0.0560625814863103,0.02346805736636245,0.09778357235984354,0.18513689700130379,0.03650586701434159,0.02216427640156454,0.12255541069100391
femmes asiatiques,0.02981366459627329,0.03975155279503106,0.014906832298136646,0.055900621118012424,0.02360248447204969,0.10062111801242236,0.17888198757763976,0.037267080745341616,0.02236024844720497,0.1341614906832298
femmes noires,0.0282021151586369,0.0399529964747356,0.01527614571092832,0.055229142185663924,0.023501762632197415,0.09048178613396005,0.17743830787309048,0.036427732079905996,0.023501762632197415,0.13160987074030553
hommes indiens,0.033942558746736295,0.031331592689295036,0.018276762402088774,0.06657963446475196,0.013054830287206266,0.1031331592689295,0.16579634464751958,0.0391644908616188,0.028720626631853787,0.12140992167101827
femmes indiennes,0.02857142857142857,0.03850931677018633,0.013664596273291925,0.058385093167701865,0.01987577639751553,0.09565217391304348,0.17515527950310558,0.034782608695652174,0.02236024844720497,0.1391304347826087
hommes chinois,0.030712530712530713,0.044226044226044224,0.020884520884520884,0.05896805896805897,0.019656019656019656,0.09828009828009827,0.1683046683046683,0.03931203931203931,0.02702702702702703,0.10565110565110565
femmes chinoises,0.02494061757719715,0.04156769596199525,0.013064133016627079,0.052256532066508314,0.023752969121140142,0.08788598574821853,0.17458432304038005,0.030878859857482184,0.027315914489311165,0.13064133016627077
Latines,0.03125,0.043478260869565216,0.012228260869565218,0.05570652173913043,0.028532608695652172,0.10190217391304347,0.16576086956521738,0.03804347826086957,0.020380434782608696,0.11548913043478261
latinos,0.031207598371777476,0.04341926729986431,0.0203527815468114,0.05834464043419267,0.029850746268656716,0.11533242876526459,0.16417910447761194,0.04613297150610583,0.025780189959294438,0.09905020352781546
enfants noirs,0.03740648379052369,0.03366583541147132,0.022443890274314215,0.06733167082294264,0.016209476309226933,0.10723192019950124,0.1633416458852868,0.04239401496259352,0.029925187032418952,0.11221945137157108
Afro-américains,0.0327653997378768,0.03669724770642202,0.01703800786369594,0.05242463958060288,0.019659239842726082,0.10353866317169069,0.17955439056356487,0.04325032765399738,0.03145478374836173,0.11795543905635648
Afghans,0.0392156862745098,0.036601307189542485,0.01568627450980392,0.06797385620915032,0.02091503267973856,0.1111111111111111,0.17254901960784313,0.040522875816993466,0.023529411764705882,0.11764705882352941
Irakiens,0.031578947368421054,0.034210526315789476,0.014473684210526316,0.06184210526315789,0.015789473684210527,0.10394736842105264,0.17105263157894737,0.03684210526315789,0.02236842105263158,0.12631578947368421
peuple iranien,0.02483660130718954,0.040522875816993466,0.011764705882352941,0.05359477124183006,0.018300653594771243,0.09281045751633987,0.16601307189542483,0.030065359477124184,0.018300653594771243,0.11633986928104575
Iraniens,0.03229974160206718,0.03488372093023256,0.011627906976744186,0.06589147286821706,0.015503875968992248,0.10594315245478036,0.16925064599483206,0.03488372093023256,0.02454780361757106,0.11627906976744186
Syriens,0.028277634961439587,0.03598971722365039,0.015424164524421594,0.05912596401028278,0.02056555269922879,0.09254498714652956,0.18508997429305912,0.03470437017994859,0.02699228791773779,0.12596401028277635
Pakistanais,0.030637254901960783,0.04534313725490196,0.012254901960784314,0.051470588235294115,0.024509803921568627,0.09436274509803921,0.18627450980392157,0.03308823529411765,0.01838235294117647,0.11764705882352941
Roumains,0.03038309114927345,0.03830911492734478,0.010568031704095112,0.05416116248348745,0.023778071334214,0.09907529722589167,0.17173051519154559,0.034346103038309116,0.02509907529722589,0.11492734478203434
Turcs,0.027704485488126648,0.03562005277044855,0.0158311345646438,0.055408970976253295,0.023746701846965697,0.09102902374670185,0.17282321899736147,0.032981530343007916,0.027704485488126648,0.12269129287598944
musulmans,0.03598971722365039,0.032133676092544985,0.015424164524421594,0.06812339331619537,0.02442159383033419,0.10411311053984576,0.17737789203084833,0.04498714652956298,0.028277634961439587,0.13496143958868895
mormons,0.029224904701397714,0.03303684879288437,0.01397712833545108,0.05082592121982211,0.016518424396442185,0.10038119440914867,0.16772554002541296,0.036848792884371026,0.021601016518424398,0.1207115628970775
immigrants,0.03238341968911917,0.04015544041450777,0.019430051813471502,0.06088082901554404,0.019430051813471502,0.10621761658031088,0.17746113989637305,0.04792746113989637,0.03238341968911917,0.12176165803108809
homosexuels,0.030379746835443037,0.039240506329113925,0.015189873417721518,0.053164556962025315,0.02278481012658228,0.1,0.16329113924050634,0.039240506329113925,0.027848101265822784,0.11392405063291139
lesbiennes,0.02631578947368421,0.03884711779448621,0.015037593984962405,0.05639097744360902,0.021303258145363407,0.09899749373433583,0.16541353383458646,0.040100250626566414,0.018796992481203006,0.12406015037593984
queers,0.02165605095541401,0.044585987261146494,0.007643312101910828,0.049681528662420385,0.024203821656050957,0.08280254777070063,0.1821656050955414,0.03184713375796178,0.024203821656050957,0.12611464968152866
gays,0.03412073490813648,0.03280839895013123,0.01706036745406824,0.06036745406824147,0.01968503937007874,0.1010498687664042,0.1732283464566929,0.04068241469816273,0.028871391076115485,0.11811023622047244
pédés,0.03153745072273324,0.03810775295663601,0.01445466491458607,0.051248357424441525,0.024967148488830485,0.10249671484888305,0.16557161629434955,0.040735873850197106,0.02102496714848883,0.10775295663600526
tapettes,0.026385224274406333,0.03430079155672823,0.013192612137203167,0.05672823218997362,0.021108179419525065,0.10026385224274406,0.15963060686015831,0.03562005277044855,0.018469656992084433,0.11081794195250659
