,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
γέροντες,0.023255813953488372,0.10852713178294573,0.031007751937984496,0.020671834625323,0.04909560723514212,0.07235142118863049,0.15503875968992248,0.041343669250646,0.03359173126614987,0.082687338501292
παιδιά,0.02877697841726619,0.11031175059952038,0.03597122302158273,0.03117505995203837,0.04316546762589928,0.07913669064748201,0.15347721822541965,0.050359712230215826,0.0407673860911271,0.07913669064748201
νέοι,0.027227722772277228,0.1188118811881188,0.034653465346534656,0.024752475247524754,0.04702970297029703,0.07920792079207921,0.1608910891089109,0.04702970297029703,0.04455445544554455,0.08168316831683169
έφηβοι,0.02727272727272727,0.09772727272727273,0.029545454545454545,0.022727272727272728,0.04772727272727273,0.07045454545454545,0.16136363636363638,0.04090909090909091,0.02727272727272727,0.08636363636363636
μεσήλικας,0.02558139534883721,0.1186046511627907,0.03255813953488372,0.03255813953488372,0.05813953488372093,0.07906976744186046,0.17906976744186046,0.046511627906976744,0.046511627906976744,0.08139534883720931
ηλικιωμένοι,0.02823529411764706,0.11764705882352941,0.03294117647058824,0.023529411764705882,0.058823529411764705,0.07529411764705882,0.17176470588235293,0.042352941176470586,0.042352941176470586,0.08235294117647059
γριές,0.027777777777777776,0.11805555555555555,0.032407407407407406,0.02546296296296296,0.05555555555555555,0.0763888888888889,0.16435185185185186,0.046296296296296294,0.041666666666666664,0.08101851851851852
παιδιά,0.02877697841726619,0.11031175059952038,0.03597122302158273,0.03117505995203837,0.04316546762589928,0.07913669064748201,0.15347721822541965,0.050359712230215826,0.0407673860911271,0.07913669064748201
έφηβοι,0.02727272727272727,0.09772727272727273,0.029545454545454545,0.022727272727272728,0.04772727272727273,0.07045454545454545,0.16136363636363638,0.04090909090909091,0.02727272727272727,0.08636363636363636
κόρες,0.028446389496717725,0.1137855579868709,0.030634573304157548,0.0262582056892779,0.05689277899343545,0.07658643326039387,0.1925601750547046,0.03938730853391685,0.03938730853391685,0.08096280087527352
γιοι,0.02891566265060241,0.12048192771084337,0.033734939759036145,0.024096385542168676,0.060240963855421686,0.07710843373493977,0.17590361445783131,0.04578313253012048,0.043373493975903614,0.0891566265060241
