,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Αιθιοπία,0.02669902912621359,0.11165048543689321,0.03398058252427184,0.024271844660194174,0.055825242718446605,0.07766990291262135,0.16990291262135923,0.04611650485436893,0.0412621359223301,0.07766990291262135
Ευρώπη,0.02570694087403599,0.12596401028277635,0.03598971722365039,0.033419023136246784,0.056555269922879174,0.08226221079691516,0.16195372750642673,0.05141388174807198,0.056555269922879174,0.07712082262210797
Ουκρανία,0.027777777777777776,0.10606060606060606,0.03535353535353535,0.025252525252525252,0.047979797979797977,0.08080808080808081,0.1590909090909091,0.047979797979797977,0.04292929292929293,0.08333333333333333
Σουδάν,0.031862745098039214,0.1053921568627451,0.03431372549019608,0.024509803921568627,0.056372549019607844,0.0784313725490196,0.17401960784313725,0.04656862745098039,0.041666666666666664,0.0784313725490196
Αφγανιστάν,0.033734939759036145,0.11566265060240964,0.033734939759036145,0.02891566265060241,0.06265060240963856,0.0819277108433735,0.17590361445783131,0.043373493975903614,0.03855421686746988,0.07951807228915662
Ιράκ,0.03,0.1175,0.035,0.0275,0.05,0.0825,0.15,0.05,0.045,0.0825
Γέμενη,0.03002309468822171,0.11547344110854503,0.03233256351039261,0.025404157043879907,0.06004618937644342,0.07852193995381063,0.17090069284064666,0.04387990762124711,0.046189376443418015,0.08314087759815242
Ρωσία,0.029411764705882353,0.12745098039215685,0.03431372549019608,0.041666666666666664,0.05392156862745098,0.0784313725490196,0.14705882352941177,0.051470588235294115,0.05392156862745098,0.08823529411764706
Ιταλία,0.027160493827160494,0.11851851851851852,0.0345679012345679,0.03209876543209877,0.05925925925925926,0.08395061728395062,0.15555555555555556,0.05185185185185185,0.056790123456790124,0.07901234567901234
Σομαλία,0.0327455919395466,0.10831234256926953,0.03526448362720403,0.027707808564231738,0.05289672544080604,0.08564231738035265,0.1561712846347607,0.04785894206549118,0.042821158690176324,0.08060453400503778
Ιράν,0.031496062992125984,0.11286089238845144,0.03674540682414698,0.026246719160104987,0.04461942257217848,0.08398950131233596,0.14173228346456693,0.049868766404199474,0.03937007874015748,0.07874015748031496
Βενεζουέλα,0.034739454094292806,0.11910669975186104,0.034739454094292806,0.02481389578163772,0.06699751861042183,0.08188585607940446,0.19602977667493796,0.04466501240694789,0.04218362282878412,0.08436724565756824
Ομάν,0.03571428571428571,0.1096938775510204,0.03571428571428571,0.025510204081632654,0.05357142857142857,0.08673469387755102,0.16071428571428573,0.04846938775510204,0.04081632653061224,0.07908163265306123
Συρία,0.0275,0.1225,0.035,0.0325,0.0575,0.08,0.155,0.05,0.0525,0.085
Κίνα,0.027707808564231738,0.11335012594458438,0.03526448362720403,0.042821158690176324,0.055415617128463476,0.08564231738035265,0.15869017632241814,0.055415617128463476,0.055415617128463476,0.08312342569269521
Ινδία,0.02203856749311295,0.11294765840220386,0.03305785123966942,0.02203856749311295,0.0440771349862259,0.07713498622589532,0.1487603305785124,0.046831955922865015,0.03581267217630854,0.0743801652892562
Βρετανία,0.029023746701846966,0.12137203166226913,0.036939313984168866,0.0316622691292876,0.05013192612137203,0.0870712401055409,0.15567282321899736,0.052770448548812667,0.05013192612137203,0.08443271767810026
Γαλλία,0.02823529411764706,0.1223529411764706,0.03294117647058824,0.03764705882352941,0.05647058823529412,0.08470588235294117,0.16705882352941176,0.05411764705882353,0.05411764705882353,0.08941176470588236
Ελλάδα,0.026525198938992044,0.129973474801061,0.03713527851458886,0.03183023872679045,0.05570291777188329,0.08222811671087533,0.15649867374005305,0.05305039787798409,0.05570291777188329,0.08753315649867374
Σκωτία,0.02743142144638404,0.11221945137157108,0.034912718204488775,0.02493765586034913,0.05236907730673317,0.0773067331670823,0.15211970074812967,0.04738154613466334,0.04239401496259352,0.08229426433915212
Παραγουάη,0.026004728132387706,0.1111111111111111,0.030732860520094562,0.026004728132387706,0.054373522458628844,0.07092198581560284,0.1702127659574468,0.04018912529550828,0.037825059101654845,0.0851063829787234
Βραζιλία,0.029339853300733496,0.1100244498777506,0.034229828850855744,0.02444987775061125,0.05623471882640587,0.07579462102689487,0.16381418092909536,0.044009779951100246,0.039119804400977995,0.07579462102689487
Αφρική,0.02729528535980149,0.10669975186104218,0.034739454094292806,0.02729528535980149,0.04714640198511166,0.07692307692307693,0.15632754342431762,0.04714640198511166,0.04218362282878412,0.08436724565756824
Ιορδανία,0.026128266033254157,0.1163895486935867,0.0332541567695962,0.023752969121140142,0.05463182897862233,0.07600950118764846,0.16152019002375298,0.04513064133016627,0.04275534441805225,0.08076009501187649
Ινδονησία,0.02557544757033248,0.11253196930946291,0.03324808184143223,0.023017902813299233,0.04859335038363171,0.0741687979539642,0.1483375959079284,0.043478260869565216,0.04092071611253197,0.08439897698209718
Βιετνάμ,0.030952380952380953,0.11190476190476191,0.03333333333333333,0.02619047619047619,0.05238095238095238,0.07857142857142857,0.16428571428571428,0.04285714285714286,0.03571428571428571,0.08095238095238096
Πακιστάν,0.03117505995203837,0.11031175059952038,0.03357314148681055,0.023980815347721823,0.05275779376498801,0.07673860911270983,0.17266187050359713,0.04316546762589928,0.03597122302158273,0.07913669064748201
Ρουμανία,0.026004728132387706,0.1111111111111111,0.030732860520094562,0.02364066193853428,0.05673758865248227,0.07565011820330969,0.16548463356973994,0.0425531914893617,0.037825059101654845,0.0851063829787234
Εκουαδόρ,0.028503562945368172,0.11401425178147269,0.030878859857482184,0.021377672209026127,0.05938242280285035,0.07363420427553444,0.171021377672209,0.04275534441805225,0.035629453681710214,0.0855106888361045
Μεξικό,0.029850746268656716,0.11442786069651742,0.03482587064676617,0.02736318407960199,0.04975124378109453,0.07711442786069651,0.14925373134328357,0.0472636815920398,0.03980099502487562,0.07960199004975124
Πουέρτο Ρίκο,0.028503562945368172,0.10688836104513064,0.0332541567695962,0.023752969121140142,0.05463182897862233,0.07838479809976247,0.18527315914489312,0.04513064133016627,0.040380047505938245,0.0831353919239905
Καμερούν,0.030952380952380953,0.11428571428571428,0.03333333333333333,0.03571428571428571,0.06190476190476191,0.08333333333333333,0.18333333333333332,0.04523809523809524,0.04523809523809524,0.08333333333333333
Κένυα,0.030660377358490566,0.12028301886792453,0.0330188679245283,0.025943396226415096,0.0589622641509434,0.07783018867924528,0.17688679245283018,0.04245283018867924,0.04009433962264151,0.08490566037735849
Λιβερία,0.03233830845771144,0.11442786069651742,0.03482587064676617,0.024875621890547265,0.05472636815920398,0.0845771144278607,0.15671641791044777,0.0472636815920398,0.04228855721393035,0.07960199004975124
Σιέρα Λεόν,0.028846153846153848,0.10817307692307693,0.03365384615384615,0.026442307692307692,0.05048076923076923,0.07932692307692307,0.16105769230769232,0.04567307692307692,0.04326923076923077,0.08173076923076923
Κατάρ,0.028639618138424822,0.11694510739856802,0.03341288782816229,0.026252983293556086,0.059665871121718374,0.081145584725537,0.16467780429594273,0.045346062052505964,0.04295942720763723,0.0883054892601432
Συρία,0.0275,0.1225,0.035,0.0325,0.0575,0.08,0.155,0.05,0.0525,0.085
Κενύα,0.02830188679245283,0.12028301886792453,0.0330188679245283,0.02358490566037736,0.0589622641509434,0.07783018867924528,0.1721698113207547,0.04481132075471698,0.04009433962264151,0.08490566037735849
