,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
κορίτσια,0.028888888888888888,0.12,0.03111111111111111,0.028888888888888888,0.05333333333333334,0.07777777777777778,0.16666666666666666,0.042222222222222223,0.03777777777777778,0.07333333333333333
γυναίκες,0.02617801047120419,0.10471204188481675,0.034031413612565446,0.02356020942408377,0.034031413612565446,0.07591623036649214,0.13350785340314136,0.04450261780104712,0.034031413612565446,0.07329842931937172
άνδρες,0.022613065326633167,0.10804020100502512,0.032663316582914576,0.022613065326633167,0.035175879396984924,0.07035175879396985,0.1306532663316583,0.04271356783919598,0.032663316582914576,0.07537688442211055
θηλυκά,0.02696078431372549,0.12745098039215685,0.03431372549019608,0.024509803921568627,0.0661764705882353,0.07598039215686274,0.17892156862745098,0.04411764705882353,0.051470588235294115,0.0784313725490196
αρσενικά,0.02912621359223301,0.11650485436893204,0.03398058252427184,0.024271844660194174,0.06067961165048544,0.07524271844660194,0.18446601941747573,0.043689320388349516,0.0412621359223301,0.08009708737864078
αγόρια,0.027522935779816515,0.11238532110091744,0.03211009174311927,0.022935779816513763,0.05733944954128441,0.07339449541284404,0.17660550458715596,0.04357798165137615,0.04128440366972477,0.0871559633027523
φίλοι,0.03194103194103194,0.11547911547911548,0.036855036855036855,0.029484029484029485,0.051597051597051594,0.08108108108108109,0.16953316953316952,0.04668304668304668,0.044226044226044224,0.08845208845208845
φίλες,0.020512820512820513,0.11794871794871795,0.03076923076923077,0.023076923076923078,0.046153846153846156,0.06923076923076923,0.14102564102564102,0.04358974358974359,0.035897435897435895,0.07948717948717948
μητριές,0.027972027972027972,0.11421911421911422,0.030303030303030304,0.023310023310023312,0.05827505827505827,0.07692307692307693,0.17482517482517482,0.039627039627039624,0.037296037296037296,0.08391608391608392
πατριοί,0.024875621890547265,0.11691542288557213,0.03233830845771144,0.022388059701492536,0.04975124378109453,0.07462686567164178,0.14925373134328357,0.04228855721393035,0.03731343283582089,0.07711442786069651
Κυρίες,0.02493765586034913,0.1172069825436409,0.032418952618453865,0.022443890274314215,0.04488778054862843,0.0773067331670823,0.14713216957605985,0.04488778054862843,0.0399002493765586,0.07481296758104738
Κύριοι,0.02926829268292683,0.11463414634146342,0.03170731707317073,0.02195121951219512,0.05121951219512195,0.07804878048780488,0.15609756097560976,0.04390243902439024,0.03902439024390244,0.08048780487804878
αδελφοί,0.023316062176165803,0.12176165803108809,0.03367875647668394,0.023316062176165803,0.04145077720207254,0.07253886010362694,0.14766839378238342,0.04404145077720207,0.038860103626943004,0.08290155440414508
αδελφές,0.023376623376623377,0.11948051948051948,0.033766233766233764,0.023376623376623377,0.03636363636363636,0.07272727272727272,0.13506493506493505,0.04415584415584416,0.03636363636363636,0.07792207792207792
μητέρες,0.026442307692307692,0.11538461538461539,0.03125,0.021634615384615384,0.052884615384615384,0.07211538461538461,0.16105769230769232,0.040865384615384616,0.038461538461538464,0.09134615384615384
πατέρες,0.024875621890547265,0.11691542288557213,0.03233830845771144,0.024875621890547265,0.04477611940298507,0.07213930348258707,0.15422885572139303,0.04477611940298507,0.03731343283582089,0.0845771144278607
παππούδες,0.022058823529411766,0.11274509803921569,0.031862745098039214,0.024509803921568627,0.049019607843137254,0.07107843137254902,0.16666666666666666,0.04411764705882353,0.031862745098039214,0.08088235294117647
γιαγιάδες,0.026066350710900472,0.11374407582938388,0.03317535545023697,0.026066350710900472,0.05924170616113744,0.07582938388625593,0.17298578199052134,0.045023696682464455,0.04265402843601896,0.08530805687203792
νύφες,0.03002309468822171,0.11778290993071594,0.03002309468822171,0.020785219399538105,0.05542725173210162,0.07621247113163972,0.17090069284064666,0.04157043879907621,0.03926096997690531,0.08775981524249422
γαμπροί,0.029556650246305417,0.11083743842364532,0.03201970443349754,0.022167487684729065,0.04926108374384237,0.07881773399014778,0.1625615763546798,0.04187192118226601,0.03694581280788178,0.08620689655172414
μαθήτριες,0.024752475247524754,0.11386138613861387,0.03217821782178218,0.022277227722772276,0.04207920792079208,0.07178217821782178,0.1485148514851485,0.04207920792079208,0.03712871287128713,0.08415841584158416
μαθητές,0.023872679045092837,0.1220159151193634,0.034482758620689655,0.023872679045092837,0.04774535809018567,0.07692307692307693,0.14058355437665782,0.04509283819628647,0.04774535809018567,0.08222811671087533
μαμάδες,0.017811704834605598,0.11704834605597965,0.030534351145038167,0.022900763358778626,0.05089058524173028,0.07124681933842239,0.1475826972010178,0.043256997455470736,0.035623409669211195,0.08651399491094147
μπαμπάδες,0.02830188679245283,0.11320754716981132,0.0330188679245283,0.02358490566037736,0.054245283018867926,0.07311320754716981,0.1721698113207547,0.04481132075471698,0.04009433962264151,0.08018867924528301
