,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
χίπστερ,0.029885057471264367,0.11724137931034483,0.03218390804597701,0.022988505747126436,0.059770114942528735,0.0735632183908046,0.18620689655172415,0.041379310344827586,0.04367816091954023,0.08275862068965517
σπασίκλες,0.027649769585253458,0.11290322580645161,0.03225806451612903,0.02304147465437788,0.0576036866359447,0.07142857142857142,0.1774193548387097,0.041474654377880185,0.041474654377880185,0.08755760368663594
βλάχοι,0.03282828282828283,0.1111111111111111,0.03535353535353535,0.027777777777777776,0.047979797979797977,0.08080808080808081,0.15404040404040403,0.045454545454545456,0.04292929292929293,0.08585858585858586
άστεγοι,0.03209876543209877,0.11358024691358025,0.0345679012345679,0.024691358024691357,0.04691358024691358,0.07901234567901234,0.1654320987654321,0.044444444444444446,0.037037037037037035,0.08641975308641975
φεμινίστριες,0.02576112412177986,0.11007025761124122,0.03278688524590164,0.02810304449648712,0.05152224824355972,0.07494145199063232,0.17330210772833723,0.04215456674473068,0.03981264637002342,0.08196721311475409
πλούσιοι,0.029545454545454545,0.12045454545454545,0.031818181818181815,0.022727272727272728,0.056818181818181816,0.075,0.17727272727272728,0.04090909090909091,0.04090909090909091,0.08181818181818182
φτωχοί,0.027160493827160494,0.11604938271604938,0.0345679012345679,0.024691358024691357,0.044444444444444446,0.07407407407407407,0.145679012345679,0.044444444444444446,0.04197530864197531,0.08641975308641975
εγκληματίες,0.02368421052631579,0.10263157894736842,0.034210526315789476,0.02368421052631579,0.03684210526315789,0.07368421052631578,0.1368421052631579,0.04473684210526316,0.02894736842105263,0.07105263157894737
aδελφότητες,0.02702702702702703,0.12039312039312039,0.03194103194103194,0.022113022113022112,0.04914004914004914,0.07616707616707617,0.1597051597051597,0.04176904176904177,0.03931203931203931,0.08353808353808354
μέλος aδελφότητας,0.02736318407960199,0.12437810945273632,0.03233830845771144,0.022388059701492536,0.05721393034825871,0.07711442786069651,0.1691542288557214,0.04228855721393035,0.03980099502487562,0.08955223880597014
μέλος aδελφότητας,0.02736318407960199,0.12437810945273632,0.03233830845771144,0.022388059701492536,0.05721393034825871,0.07711442786069651,0.1691542288557214,0.04228855721393035,0.03980099502487562,0.08955223880597014
χίπιδες,0.02810304449648712,0.10772833723653395,0.03278688524590164,0.02576112412177986,0.053864168618266976,0.07494145199063232,0.1686182669789227,0.04449648711943794,0.04449648711943794,0.08899297423887588
φυτά,0.024630541871921183,0.11822660098522167,0.034482758620689655,0.027093596059113302,0.046798029556650245,0.07635467980295567,0.16748768472906403,0.046798029556650245,0.04433497536945813,0.07881773399014778
γκοθ,0.02997275204359673,0.12534059945504086,0.03814713896457766,0.02997275204359673,0.06267029972752043,0.08446866485013624,0.17983651226158037,0.051771117166212535,0.04904632152588556,0.08719346049046321
πανκ,0.03178484107579462,0.1271393643031785,0.034229828850855744,0.02444987775061125,0.06356968215158924,0.07823960880195599,0.18092909535452323,0.044009779951100246,0.05134474327628362,0.08068459657701711
Καλιφορνέζοι,0.026378896882494004,0.11990407673860912,0.03117505995203837,0.02158273381294964,0.06474820143884892,0.07434052757793765,0.19424460431654678,0.0407673860911271,0.03597122302158273,0.09592326139088729
διασημότητες,0.0297029702970297,0.1188118811881188,0.034653465346534656,0.027227722772277228,0.04950495049504951,0.07673267326732673,0.15841584158415842,0.04455445544554455,0.04207920792079208,0.07920792079207921
κοκκινομάλλες,0.029197080291970802,0.1192214111922141,0.0340632603406326,0.024330900243309004,0.06326034063260341,0.07542579075425791,0.18004866180048662,0.043795620437956206,0.043795620437956206,0.0827250608272506
