,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Ασιάτες,0.02313624678663239,0.11311053984575835,0.030848329048843187,0.02570694087403599,0.043701799485861184,0.07197943444730077,0.15681233933161953,0.043701799485861184,0.033419023136246784,0.07969151670951156
Αμερικανοί,0.02689486552567237,0.1100244498777506,0.03178484107579462,0.02444987775061125,0.0488997555012225,0.07334963325183375,0.1491442542787286,0.039119804400977995,0.034229828850855744,0.08312958435207823
Ευρωπαίοι,0.01881720430107527,0.11290322580645161,0.03225806451612903,0.024193548387096774,0.03225806451612903,0.06989247311827956,0.13709677419354838,0.0456989247311828,0.02956989247311828,0.07526881720430108
Εβραίοι,0.029333333333333333,0.10666666666666667,0.034666666666666665,0.02666666666666667,0.037333333333333336,0.08,0.136,0.048,0.029333333333333333,0.07733333333333334
Ινδοί,0.022099447513812154,0.09944751381215469,0.03314917127071823,0.022099447513812154,0.03314917127071823,0.07734806629834254,0.12154696132596685,0.04419889502762431,0.03038674033149171,0.06906077348066299
Ρώσοι,0.026004728132387706,0.12529550827423167,0.03309692671394799,0.02364066193853428,0.061465721040189124,0.07565011820330969,0.1702127659574468,0.04491725768321513,0.04491725768321513,0.07328605200945626
Αφρικανοί,0.024875621890547265,0.10696517412935323,0.029850746268656716,0.01990049751243781,0.0472636815920398,0.06965174129353234,0.15920398009950248,0.03731343283582089,0.029850746268656716,0.07960199004975124
Μαύροι άνθρωποι,0.03248259860788863,0.10904872389791183,0.03480278422273782,0.025522041763341066,0.05104408352668213,0.08120649651972157,0.16473317865429235,0.04640371229698376,0.03944315545243619,0.0765661252900232
Μεξικανοί,0.02544529262086514,0.09669211195928754,0.030534351145038167,0.020356234096692113,0.04071246819338423,0.0737913486005089,0.14249363867684478,0.03816793893129771,0.022900763358778626,0.06870229007633588
Λευκοί,0.030848329048843187,0.10796915167095116,0.03598971722365039,0.030848329048843187,0.04113110539845758,0.08483290488431877,0.15167095115681234,0.04884318766066838,0.038560411311053984,0.07455012853470437
Έγχρωμοι,0.0330188679245283,0.10849056603773585,0.0330188679245283,0.02358490566037736,0.06132075471698113,0.07783018867924528,0.1721698113207547,0.04245283018867924,0.04481132075471698,0.09198113207547169
Λευκοί άνθρωποι,0.032418952618453865,0.09476309226932668,0.034912718204488775,0.029925187032418952,0.034912718204488775,0.0798004987531172,0.14214463840399003,0.04488778054862843,0.029925187032418952,0.07231920199501247
Γερμανοί,0.02284263959390863,0.116751269035533,0.030456852791878174,0.02284263959390863,0.050761421319796954,0.07614213197969544,0.14974619289340102,0.04568527918781726,0.04314720812182741,0.08375634517766498
ξανθιές,0.02364066193853428,0.10638297872340426,0.030732860520094562,0.02364066193853428,0.0425531914893617,0.07092198581560284,0.14893617021276595,0.0425531914893617,0.03546099290780142,0.06619385342789598
ξανθά κορίτσια,0.02745995423340961,0.10983981693363844,0.034324942791762014,0.02745995423340961,0.04576659038901602,0.06864988558352403,0.16475972540045766,0.043478260869565216,0.034324942791762014,0.06636155606407322
Άραβες,0.02696078431372549,0.11274509803921569,0.031862745098039214,0.024509803921568627,0.05392156862745098,0.07352941176470588,0.15931372549019607,0.04411764705882353,0.031862745098039214,0.0784313725490196
Λευκοί Αμερικανοί,0.024691358024691357,0.11358024691358025,0.02962962962962963,0.022222222222222223,0.05185185185185185,0.07160493827160494,0.16296296296296298,0.03950617283950617,0.03209876543209877,0.08148148148148149
Έγχρωμοι Αμερικανοί,0.03125,0.10817307692307693,0.03365384615384615,0.026442307692307692,0.04807692307692308,0.08173076923076923,0.16105769230769232,0.04567307692307692,0.038461538461538464,0.08413461538461539
Ισπανόφωνοι,0.02557544757033248,0.09718670076726342,0.03324808184143223,0.02557544757033248,0.03580562659846547,0.0741687979539642,0.15601023017902813,0.04603580562659847,0.030690537084398978,0.07161125319693094
Ιθαγενείς Αμερικάνοι,0.027093596059113302,0.11330049261083744,0.03201970443349754,0.027093596059113302,0.054187192118226604,0.07142857142857142,0.1724137931034483,0.04187192118226601,0.03201970443349754,0.08866995073891626
Μαύροι,0.032407407407407406,0.11574074074074074,0.032407407407407406,0.023148148148148147,0.05555555555555555,0.08101851851851852,0.1712962962962963,0.04398148148148148,0.037037037037037035,0.0763888888888889
Λευκοί,0.030848329048843187,0.10796915167095116,0.03598971722365039,0.030848329048843187,0.04113110539845758,0.08483290488431877,0.15167095115681234,0.04884318766066838,0.038560411311053984,0.07455012853470437
Ασιάτισσες,0.024390243902439025,0.11463414634146342,0.02926829268292683,0.024390243902439025,0.04878048780487805,0.07073170731707316,0.16341463414634147,0.041463414634146344,0.03414634146341464,0.08048780487804878
Ασιάτες,0.02313624678663239,0.11311053984575835,0.030848329048843187,0.02570694087403599,0.043701799485861184,0.07197943444730077,0.15681233933161953,0.043701799485861184,0.033419023136246784,0.07969151670951156
Μαύρες,0.031180400890868598,0.1091314031180401,0.031180400890868598,0.024498886414253896,0.0556792873051225,0.0779510022271715,0.17371937639198218,0.042316258351893093,0.0400890868596882,0.08240534521158129
Ολλανδοί,0.023054755043227664,0.10662824207492795,0.0345821325648415,0.023054755043227664,0.03170028818443804,0.07780979827089338,0.12103746397694524,0.04610951008645533,0.02881844380403458,0.069164265129683
Ιρλανδοί,0.026954177897574125,0.1105121293800539,0.03234501347708895,0.0215633423180593,0.04043126684636118,0.07277628032345014,0.14555256064690028,0.03773584905660377,0.029649595687331536,0.07547169811320754
Ιρλανδοί,0.026954177897574125,0.1105121293800539,0.03234501347708895,0.0215633423180593,0.04043126684636118,0.07277628032345014,0.14555256064690028,0.03773584905660377,0.029649595687331536,0.07547169811320754
Λευκές γυναίκες,0.0225,0.0975,0.03,0.0225,0.04,0.07,0.1375,0.0425,0.025,0.0775
Ινδοί,0.022099447513812154,0.09944751381215469,0.03314917127071823,0.022099447513812154,0.03314917127071823,0.07734806629834254,0.12154696132596685,0.04419889502762431,0.03038674033149171,0.06906077348066299
Ινδές,0.02185792349726776,0.10655737704918032,0.03278688524590164,0.02459016393442623,0.03825136612021858,0.07377049180327869,0.14207650273224043,0.04644808743169399,0.030054644808743168,0.07650273224043716
Κινέζοι,0.02619047619047619,0.10714285714285714,0.030952380952380953,0.023809523809523808,0.05,0.07380952380952381,0.17142857142857143,0.04285714285714286,0.03333333333333333,0.08333333333333333
Κινέζες,0.023923444976076555,0.11483253588516747,0.03110047846889952,0.028708133971291867,0.05502392344497608,0.06937799043062201,0.16028708133971292,0.0430622009569378,0.03827751196172249,0.08133971291866028
Γιαπωνέζες,0.026004728132387706,0.1016548463356974,0.030732860520094562,0.02364066193853428,0.04964539007092199,0.07328605200945626,0.16784869976359337,0.04018912529550828,0.03546099290780142,0.07801418439716312
Ιάπωνες,0.020151133501259445,0.11335012594458438,0.030226700251889168,0.02518891687657431,0.04030226700251889,0.06801007556675064,0.15365239294710328,0.042821158690176324,0.03526448362720403,0.07556675062972293
Ινδοί γονείς,0.024390243902439025,0.08130081300813008,0.03523035230352303,0.024390243902439025,0.032520325203252036,0.07859078590785908,0.13008130081300814,0.04878048780487805,0.024390243902439025,0.07317073170731707
Ασιάτες γονείς,0.017811704834605598,0.10432569974554708,0.027989821882951654,0.022900763358778626,0.03816793893129771,0.07124681933842239,0.1450381679389313,0.043256997455470736,0.02544529262086514,0.07888040712468193
Λευκοί γονείς,0.023923444976076555,0.09808612440191387,0.028708133971291867,0.0215311004784689,0.04066985645933014,0.07416267942583732,0.1507177033492823,0.04066985645933014,0.02631578947368421,0.08133971291866028
Μαύροι πατέρες,0.03139013452914798,0.11434977578475336,0.033632286995515695,0.02466367713004484,0.06502242152466367,0.08071748878923767,0.17937219730941703,0.042600896860986545,0.04484304932735426,0.08295964125560538
Λατίνες,0.030805687203791468,0.11848341232227488,0.03317535545023697,0.026066350710900472,0.05924170616113744,0.07819905213270142,0.17535545023696683,0.045023696682464455,0.04265402843601896,0.08530805687203792
Λατίνοι,0.0297029702970297,0.11633663366336634,0.034653465346534656,0.024752475247524754,0.05198019801980198,0.07920792079207921,0.1608910891089109,0.04702970297029703,0.04207920792079208,0.07673267326732673
Λατίνοι,0.0297029702970297,0.11633663366336634,0.034653465346534656,0.024752475247524754,0.05198019801980198,0.07920792079207921,0.1608910891089109,0.04702970297029703,0.04207920792079208,0.07673267326732673
Βραζιλιάνες,0.024752475247524754,0.11633663366336634,0.0297029702970297,0.022277227722772276,0.04950495049504951,0.07178217821782178,0.1806930693069307,0.04207920792079208,0.034653465346534656,0.08168316831683169
ασιατικά παιδιά,0.02288329519450801,0.10297482837528604,0.029748283752860413,0.02517162471395881,0.041189931350114416,0.07322654462242563,0.15331807780320367,0.043478260869565216,0.032036613272311214,0.07551487414187644
Μαύρα παιδιά,0.03160270880361174,0.10835214446952596,0.033860045146726865,0.02708803611738149,0.05417607223476298,0.07674943566591422,0.16930022573363432,0.045146726862302484,0.04740406320541761,0.0744920993227991
Λευκά παιδιά,0.02857142857142857,0.1076923076923077,0.03076923076923077,0.026373626373626374,0.05274725274725275,0.07472527472527472,0.17142857142857143,0.041758241758241756,0.03956043956043956,0.08131868131868132
αφροαμερικάνοι,0.02570694087403599,0.10282776349614396,0.033419023136246784,0.02570694087403599,0.04627249357326478,0.07712082262210797,0.15938303341902313,0.04627249357326478,0.030848329048843187,0.07712082262210797
Νιγηριανοί,0.026378896882494004,0.11510791366906475,0.03117505995203837,0.02158273381294964,0.05755395683453238,0.06954436450839328,0.17985611510791366,0.03597122302158273,0.03357314148681055,0.0815347721822542
Αιθίοπες,0.02284263959390863,0.10913705583756345,0.03299492385786802,0.025380710659898477,0.0532994923857868,0.07360406091370558,0.17258883248730963,0.04314720812182741,0.04060913705583756,0.08121827411167512
Ουκρανοί,0.02925531914893617,0.10638297872340426,0.034574468085106384,0.023936170212765957,0.0398936170212766,0.0797872340425532,0.14893617021276595,0.04521276595744681,0.02925531914893617,0.07446808510638298
Σουδανοί,0.024875621890547265,0.10696517412935323,0.03233830845771144,0.022388059701492536,0.04228855721393035,0.07213930348258707,0.1517412935323383,0.04228855721393035,0.024875621890547265,0.07213930348258707
Αφγανοί,0.02610966057441253,0.1174934725848564,0.033942558746736295,0.02349869451697128,0.04699738903394256,0.07571801566579635,0.1462140992167102,0.044386422976501305,0.033942558746736295,0.07571801566579635
Ιρακινοί,0.02356020942408377,0.112565445026178,0.034031413612565446,0.02617801047120419,0.03664921465968586,0.07591623036649214,0.13350785340314136,0.04712041884816754,0.031413612565445025,0.07329842931937172
Ισπανόφωνοι,0.02557544757033248,0.09718670076726342,0.03324808184143223,0.02557544757033248,0.03580562659846547,0.0741687979539642,0.15601023017902813,0.04603580562659847,0.030690537084398978,0.07161125319693094
Ισπανόφωνες,0.025,0.1025,0.0325,0.025,0.045,0.0725,0.15,0.045,0.035,0.0775
