,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Μαύροι άνθρωποι,0.03248259860788863,0.10904872389791183,0.03480278422273782,0.025522041763341066,0.05104408352668213,0.08120649651972157,0.16473317865429235,0.04640371229698376,0.03944315545243619,0.0765661252900232
Μεξικανοί,0.02544529262086514,0.09669211195928754,0.030534351145038167,0.020356234096692113,0.04071246819338423,0.0737913486005089,0.14249363867684478,0.03816793893129771,0.022900763358778626,0.06870229007633588
Έγχρωμοι,0.0330188679245283,0.10849056603773585,0.0330188679245283,0.02358490566037736,0.06132075471698113,0.07783018867924528,0.1721698113207547,0.04245283018867924,0.04481132075471698,0.09198113207547169
Άραβες,0.02696078431372549,0.11274509803921569,0.031862745098039214,0.024509803921568627,0.05392156862745098,0.07352941176470588,0.15931372549019607,0.04411764705882353,0.031862745098039214,0.0784313725490196
Μαύροι,0.032407407407407406,0.11574074074074074,0.032407407407407406,0.023148148148148147,0.05555555555555555,0.08101851851851852,0.1712962962962963,0.04398148148148148,0.037037037037037035,0.0763888888888889
Ασιάτισσες,0.024390243902439025,0.11463414634146342,0.02926829268292683,0.024390243902439025,0.04878048780487805,0.07073170731707316,0.16341463414634147,0.041463414634146344,0.03414634146341464,0.08048780487804878
Ασιάτες,0.02313624678663239,0.11311053984575835,0.030848329048843187,0.02570694087403599,0.043701799485861184,0.07197943444730077,0.15681233933161953,0.043701799485861184,0.033419023136246784,0.07969151670951156
Μαύρες,0.031180400890868598,0.1091314031180401,0.031180400890868598,0.024498886414253896,0.0556792873051225,0.0779510022271715,0.17371937639198218,0.042316258351893093,0.0400890868596882,0.08240534521158129
Ινδοί,0.022099447513812154,0.09944751381215469,0.03314917127071823,0.022099447513812154,0.03314917127071823,0.07734806629834254,0.12154696132596685,0.04419889502762431,0.03038674033149171,0.06906077348066299
Ινδές,0.02185792349726776,0.10655737704918032,0.03278688524590164,0.02459016393442623,0.03825136612021858,0.07377049180327869,0.14207650273224043,0.04644808743169399,0.030054644808743168,0.07650273224043716
Κινέζοι,0.02619047619047619,0.10714285714285714,0.030952380952380953,0.023809523809523808,0.05,0.07380952380952381,0.17142857142857143,0.04285714285714286,0.03333333333333333,0.08333333333333333
Κινέζες,0.023923444976076555,0.11483253588516747,0.03110047846889952,0.028708133971291867,0.05502392344497608,0.06937799043062201,0.16028708133971292,0.0430622009569378,0.03827751196172249,0.08133971291866028
Λατίνες,0.030805687203791468,0.11848341232227488,0.03317535545023697,0.026066350710900472,0.05924170616113744,0.07819905213270142,0.17535545023696683,0.045023696682464455,0.04265402843601896,0.08530805687203792
Λατίνοι,0.0297029702970297,0.11633663366336634,0.034653465346534656,0.024752475247524754,0.05198019801980198,0.07920792079207921,0.1608910891089109,0.04702970297029703,0.04207920792079208,0.07673267326732673
Μαύρα παιδιά,0.03160270880361174,0.10835214446952596,0.033860045146726865,0.02708803611738149,0.05417607223476298,0.07674943566591422,0.16930022573363432,0.045146726862302484,0.04740406320541761,0.0744920993227991
αφροαμερικάνοι,0.02570694087403599,0.10282776349614396,0.033419023136246784,0.02570694087403599,0.04627249357326478,0.07712082262210797,0.15938303341902313,0.04627249357326478,0.030848329048843187,0.07712082262210797
Αφγανοί,0.02610966057441253,0.1174934725848564,0.033942558746736295,0.02349869451697128,0.04699738903394256,0.07571801566579635,0.1462140992167102,0.044386422976501305,0.033942558746736295,0.07571801566579635
