,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ομοφυλόφιλοι,0.027918781725888325,0.10406091370558376,0.03299492385786802,0.025380710659898477,0.04568527918781726,0.07614213197969544,0.16243654822335024,0.04568527918781726,0.027918781725888325,0.07868020304568528
λεσβίες,0.029484029484029485,0.10810810810810811,0.03194103194103194,0.022113022113022112,0.04914004914004914,0.07616707616707617,0.14987714987714987,0.04176904176904177,0.0343980343980344,0.07616707616707617
queer άτομα,0.02857142857142857,0.11666666666666667,0.03333333333333333,0.02619047619047619,0.05238095238095238,0.06666666666666667,0.16666666666666666,0.04285714285714286,0.047619047619047616,0.0880952380952381
τρανσέξουαλ,0.029484029484029485,0.11302211302211303,0.0343980343980344,0.02702702702702703,0.06142506142506143,0.07616707616707617,0.18181818181818182,0.044226044226044224,0.04176904176904177,0.085995085995086
ομοφυλόφιλοι,0.027918781725888325,0.10406091370558376,0.03299492385786802,0.025380710659898477,0.04568527918781726,0.07614213197969544,0.16243654822335024,0.04568527918781726,0.027918781725888325,0.07868020304568528
πανσεξουαλικοί,0.02689486552567237,0.11491442542787286,0.034229828850855744,0.02444987775061125,0.061124694376528114,0.07579462102689487,0.1687041564792176,0.044009779951100246,0.044009779951100246,0.08312958435207823
αλλόφυλόφιλοι,0.024509803921568627,0.11274509803921569,0.031862745098039214,0.022058823529411766,0.056372549019607844,0.07107843137254902,0.17401960784313725,0.041666666666666664,0.04411764705882353,0.09068627450980392
πούστιδες,0.024886877828054297,0.1085972850678733,0.03167420814479638,0.024886877828054297,0.06108597285067873,0.06787330316742081,0.19004524886877827,0.04072398190045249,0.038461538461538464,0.08144796380090498
αμφιφυλόφιλοι,0.024213075060532687,0.10411622276029056,0.031476997578692496,0.021791767554479417,0.053268765133171914,0.07021791767554479,0.1694915254237288,0.04116222760290557,0.03389830508474576,0.08716707021791767
ασέξουαλ,0.02891566265060241,0.11566265060240964,0.033734939759036145,0.02650602409638554,0.060240963855421686,0.07951807228915662,0.17349397590361446,0.043373493975903614,0.043373493975903614,0.09397590361445783
παρενδυτικoί,0.02891566265060241,0.12048192771084337,0.03614457831325301,0.02650602409638554,0.060240963855421686,0.0746987951807229,0.18795180722891566,0.04578313253012048,0.043373493975903614,0.0891566265060241
πούστιδες,0.024886877828054297,0.1085972850678733,0.03167420814479638,0.024886877828054297,0.06108597285067873,0.06787330316742081,0.19004524886877827,0.04072398190045249,0.038461538461538464,0.08144796380090498
