,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ancianos,0.04120879120879121,0.0521978021978022,0.01098901098901099,0.06593406593406594,0.03296703296703297,0.07967032967032966,0.18956043956043955,0.057692307692307696,0.01098901098901099,0.13186813186813187
niños,0.03380281690140845,0.05352112676056338,0.02535211267605634,0.0676056338028169,0.04225352112676056,0.09295774647887324,0.21971830985915494,0.059154929577464786,0.014084507042253521,0.15774647887323945
millenials,0.037037037037037035,0.0582010582010582,0.013227513227513227,0.07142857142857142,0.04497354497354497,0.09788359788359788,0.2222222222222222,0.06084656084656084,0.015873015873015872,0.10846560846560846
adolescentes,0.028011204481792718,0.05322128851540616,0.022408963585434174,0.056022408963585436,0.04201680672268908,0.08683473389355742,0.20168067226890757,0.06722689075630252,0.014005602240896359,0.13445378151260504
boomers,0.03307888040712468,0.05597964376590331,0.02544529262086514,0.06361323155216285,0.03307888040712468,0.09669211195928754,0.20865139949109415,0.05597964376590331,0.015267175572519083,0.10687022900763359
personas de edad,0.034482758620689655,0.04774535809018567,0.026525198938992044,0.0610079575596817,0.03713527851458886,0.09814323607427056,0.20159151193633953,0.04774535809018567,0.013262599469496022,0.1220159151193634
ancianas,0.03787878787878788,0.06818181818181818,0.015151515151515152,0.06818181818181818,0.030303030303030304,0.08080808080808081,0.1893939393939394,0.045454545454545456,0.017676767676767676,0.1111111111111111
niñas,0.03753351206434316,0.05361930294906166,0.01876675603217158,0.05630026809651475,0.03753351206434316,0.08310991957104558,0.21983914209115282,0.058981233243967826,0.013404825737265416,0.13136729222520108
adolescentes,0.028011204481792718,0.05322128851540616,0.022408963585434174,0.056022408963585436,0.04201680672268908,0.08683473389355742,0.20168067226890757,0.06722689075630252,0.014005602240896359,0.13445378151260504
hijas,0.034666666666666665,0.050666666666666665,0.021333333333333333,0.064,0.04,0.10133333333333333,0.22666666666666666,0.058666666666666666,0.016,0.096
hijos,0.031609195402298854,0.05172413793103448,0.028735632183908046,0.06896551724137931,0.04310344827586207,0.10632183908045977,0.22126436781609196,0.07471264367816093,0.014367816091954023,0.14367816091954022
