,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopía,0.04289544235924933,0.04825737265415549,0.013404825737265416,0.064343163538874,0.03753351206434316,0.09919571045576407,0.20911528150134048,0.058981233243967826,0.013404825737265416,0.09919571045576407
Europa,0.03968253968253968,0.05291005291005291,0.015873015873015872,0.05555555555555555,0.042328042328042326,0.09788359788359788,0.21693121693121692,0.06084656084656084,0.013227513227513227,0.1111111111111111
Ucrania,0.03133903133903134,0.05698005698005698,0.014245014245014245,0.06552706552706553,0.05128205128205128,0.09401709401709402,0.22792022792022792,0.06552706552706553,0.014245014245014245,0.10826210826210826
Sudán,0.030555555555555555,0.06111111111111111,0.013888888888888888,0.058333333333333334,0.04722222222222222,0.09166666666666666,0.2222222222222222,0.058333333333333334,0.013888888888888888,0.11388888888888889
Afganistán,0.028169014084507043,0.056338028169014086,0.011267605633802818,0.05070422535211268,0.03943661971830986,0.07605633802816901,0.22253521126760564,0.05070422535211268,0.014084507042253521,0.11830985915492957
Irak,0.03611111111111111,0.06111111111111111,0.025,0.06944444444444445,0.044444444444444446,0.08888888888888889,0.2361111111111111,0.06666666666666667,0.016666666666666666,0.10277777777777777
Yemen,0.03504043126684636,0.05929919137466307,0.0215633423180593,0.06199460916442048,0.0431266846361186,0.09703504043126684,0.24258760107816713,0.06199460916442048,0.013477088948787063,0.10512129380053908
Rusia,0.02925531914893617,0.05585106382978723,0.023936170212765957,0.05851063829787234,0.04521276595744681,0.10638297872340426,0.22606382978723405,0.05851063829787234,0.015957446808510637,0.09574468085106383
Italia,0.042134831460674156,0.056179775280898875,0.011235955056179775,0.06179775280898876,0.03932584269662921,0.09269662921348315,0.21629213483146068,0.06460674157303371,0.014044943820224719,0.10393258426966293
Somalia,0.05128205128205128,0.06153846153846154,0.017948717948717947,0.06923076923076923,0.028205128205128206,0.09230769230769231,0.2076923076923077,0.05128205128205128,0.01282051282051282,0.09743589743589744
Irán,0.027777777777777776,0.06111111111111111,0.025,0.06111111111111111,0.041666666666666664,0.09166666666666666,0.2111111111111111,0.05277777777777778,0.013888888888888888,0.10555555555555556
Venezuela,0.03287671232876712,0.057534246575342465,0.0273972602739726,0.0547945205479452,0.043835616438356165,0.10136986301369863,0.2219178082191781,0.06575342465753424,0.0136986301369863,0.09863013698630137
Omán,0.033707865168539325,0.06460674157303371,0.011235955056179775,0.056179775280898875,0.042134831460674156,0.0702247191011236,0.22752808988764045,0.056179775280898875,0.014044943820224719,0.12921348314606743
Siria,0.03857566765578635,0.05637982195845697,0.017804154302670624,0.06824925816023739,0.04451038575667656,0.09792284866468842,0.2166172106824926,0.06824925816023739,0.01483679525222552,0.09495548961424333
Porcelana,0.03571428571428571,0.06887755102040816,0.017857142857142856,0.07397959183673469,0.04081632653061224,0.09183673469387756,0.2066326530612245,0.05102040816326531,0.02295918367346939,0.10714285714285714
India,0.02631578947368421,0.05526315789473684,0.015789473684210527,0.05263157894736842,0.039473684210526314,0.0868421052631579,0.2236842105263158,0.05526315789473684,0.015789473684210527,0.10526315789473684
Gran Bretaña,0.02849740932642487,0.05958549222797927,0.012953367875647668,0.054404145077720206,0.038860103626943004,0.07512953367875648,0.20984455958549222,0.046632124352331605,0.018134715025906734,0.10621761658031088
Francia,0.03287671232876712,0.057534246575342465,0.021917808219178082,0.06027397260273973,0.043835616438356165,0.11232876712328767,0.2219178082191781,0.06301369863013699,0.0136986301369863,0.10136986301369863
Grecia,0.033707865168539325,0.05056179775280899,0.02247191011235955,0.042134831460674156,0.03932584269662921,0.10112359550561797,0.21629213483146068,0.056179775280898875,0.014044943820224719,0.09831460674157304
Escocia,0.0410958904109589,0.057534246575342465,0.0136986301369863,0.06575342465753424,0.038356164383561646,0.10136986301369863,0.21095890410958903,0.0547945205479452,0.0136986301369863,0.10684931506849316
Paraguay,0.027855153203342618,0.0584958217270195,0.016713091922005572,0.052924791086350974,0.04456824512534819,0.08913649025069638,0.22841225626740946,0.06128133704735376,0.013927576601671309,0.11977715877437325
Brasil,0.032520325203252036,0.05420054200542006,0.02168021680216802,0.05420054200542006,0.04336043360433604,0.0975609756097561,0.22764227642276422,0.05962059620596206,0.013550135501355014,0.11653116531165311
África,0.036011080332409975,0.060941828254847646,0.0110803324099723,0.05817174515235457,0.0443213296398892,0.09418282548476455,0.24376731301939059,0.06925207756232687,0.013850415512465374,0.10526315789473684
Jordania,0.03856749311294766,0.05234159779614325,0.024793388429752067,0.06060606060606061,0.03581267217630854,0.10743801652892562,0.21487603305785125,0.06060606060606061,0.013774104683195593,0.1046831955922865
Indonesia,0.03571428571428571,0.0625,0.033482142857142856,0.06473214285714286,0.024553571428571428,0.10491071428571429,0.23214285714285715,0.06919642857142858,0.011160714285714286,0.09151785714285714
Vietnam,0.03125,0.05397727272727273,0.017045454545454544,0.05397727272727273,0.048295454545454544,0.09090909090909091,0.22727272727272727,0.06534090909090909,0.017045454545454544,0.10227272727272728
Pakistán,0.028011204481792718,0.06162464985994398,0.011204481792717087,0.05322128851540616,0.04481792717086835,0.08403361344537816,0.226890756302521,0.058823529411764705,0.014005602240896359,0.10084033613445378
