,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
chicas,0.03142857142857143,0.05714285714285714,0.011428571428571429,0.06,0.04285714285714286,0.08857142857142856,0.2257142857142857,0.06,0.014285714285714285,0.12571428571428572
mujeres,0.032520325203252036,0.05962059620596206,0.024390243902439025,0.056910569105691054,0.04065040650406504,0.08672086720867209,0.2222222222222222,0.056910569105691054,0.013550135501355014,0.14363143631436315
hombres,0.03305785123966942,0.05509641873278237,0.027548209366391185,0.06060606060606061,0.0440771349862259,0.09366391184573003,0.21487603305785125,0.06611570247933884,0.013774104683195593,0.13774104683195593
hembras,0.032520325203252036,0.05962059620596206,0.01084010840108401,0.06233062330623306,0.04336043360433604,0.08130081300813008,0.21951219512195122,0.05962059620596206,0.013550135501355014,0.11924119241192412
machos,0.03296703296703297,0.06593406593406594,0.013736263736263736,0.06043956043956044,0.046703296703296704,0.09065934065934066,0.22252747252747251,0.06043956043956044,0.013736263736263736,0.11538461538461539
niños,0.03380281690140845,0.05352112676056338,0.02535211267605634,0.0676056338028169,0.04225352112676056,0.09295774647887324,0.21971830985915494,0.059154929577464786,0.014084507042253521,0.15774647887323945
novios,0.03367875647668394,0.05958549222797927,0.018134715025906734,0.06476683937823834,0.03626943005181347,0.08549222797927461,0.21761658031088082,0.05699481865284974,0.015544041450777202,0.10103626943005181
novias,0.03116883116883117,0.05714285714285714,0.015584415584415584,0.05974025974025974,0.03636363636363636,0.09090909090909091,0.21038961038961038,0.05714285714285714,0.012987012987012988,0.0987012987012987
madrastras,0.025139664804469275,0.05865921787709497,0.0111731843575419,0.055865921787709494,0.04189944134078212,0.06983240223463687,0.22346368715083798,0.05307262569832402,0.013966480446927373,0.11731843575418995
padrastros,0.03768844221105527,0.06030150753768844,0.020100502512562814,0.06030150753768844,0.022613065326633167,0.0829145728643216,0.19597989949748743,0.04773869346733668,0.01507537688442211,0.10301507537688442
damas,0.029649595687331536,0.05390835579514825,0.01078167115902965,0.05929919137466307,0.03504043126684636,0.08355795148247978,0.215633423180593,0.05390835579514825,0.016172506738544475,0.09703504043126684
caballeros,0.03664921465968586,0.06282722513089005,0.010471204188481676,0.060209424083769635,0.03926701570680628,0.08115183246073299,0.2094240837696335,0.049738219895287955,0.015706806282722512,0.10471204188481675
hermanos,0.034210526315789476,0.05789473684210526,0.015789473684210527,0.05526315789473684,0.031578947368421054,0.08947368421052632,0.20789473684210527,0.05526315789473684,0.013157894736842105,0.10526315789473684
hermanas,0.03591160220994475,0.055248618784530384,0.011049723756906077,0.055248618784530384,0.03867403314917127,0.08011049723756906,0.22375690607734808,0.058011049723756904,0.013812154696132596,0.10497237569060773
madres,0.044444444444444446,0.05555555555555555,0.013888888888888888,0.08055555555555556,0.041666666666666664,0.1111111111111111,0.2222222222222222,0.06388888888888888,0.013888888888888888,0.11944444444444445
padres,0.03561643835616438,0.052054794520547946,0.024657534246575342,0.07397260273972603,0.043835616438356165,0.0958904109589041,0.21643835616438356,0.06027397260273973,0.0136986301369863,0.16164383561643836
abuelos,0.0481283422459893,0.05614973262032086,0.016042780748663103,0.06951871657754011,0.0374331550802139,0.09358288770053476,0.21390374331550802,0.06417112299465241,0.013368983957219251,0.10695187165775401
abuelas,0.03608247422680412,0.05412371134020619,0.010309278350515464,0.059278350515463915,0.03350515463917526,0.08247422680412371,0.211340206185567,0.04896907216494845,0.01288659793814433,0.10051546391752578
esposas,0.03598971722365039,0.05398457583547558,0.02313624678663239,0.06683804627249357,0.03598971722365039,0.10539845758354756,0.2236503856041131,0.04884318766066838,0.012853470437017995,0.10025706940874037
esposos,0.03225806451612903,0.056451612903225805,0.021505376344086023,0.05913978494623656,0.04032258064516129,0.0913978494623656,0.22043010752688172,0.056451612903225805,0.013440860215053764,0.10752688172043011
colegialas,0.036458333333333336,0.057291666666666664,0.010416666666666666,0.06510416666666667,0.036458333333333336,0.08072916666666667,0.21875,0.046875,0.015625,0.109375
colegiales,0.035443037974683546,0.05063291139240506,0.012658227848101266,0.060759493670886074,0.0379746835443038,0.07341772151898734,0.20759493670886076,0.04556962025316456,0.012658227848101266,0.12658227848101267
mamis,0.03768115942028986,0.06376811594202898,0.014492753623188406,0.06086956521739131,0.05217391304347826,0.08985507246376812,0.23478260869565218,0.06376811594202898,0.014492753623188406,0.11304347826086956
papis,0.034383954154727794,0.054441260744985676,0.014326647564469915,0.06017191977077364,0.04297994269340974,0.08882521489971347,0.22349570200573066,0.05730659025787966,0.014326647564469915,0.10888252148997135
