,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.02710027100271003,0.05962059620596206,0.013550135501355014,0.056910569105691054,0.04607046070460705,0.07588075880758807,0.2086720867208672,0.051490514905149054,0.013550135501355014,0.12737127371273713
nerds,0.03431372549019608,0.05392156862745098,0.014705882352941176,0.06372549019607843,0.03431372549019608,0.0784313725490196,0.20833333333333334,0.058823529411764705,0.014705882352941176,0.09558823529411764
paletos,0.02972972972972973,0.05675675675675676,0.021621621621621623,0.07027027027027027,0.03513513513513514,0.08378378378378379,0.21621621621621623,0.04054054054054054,0.016216216216216217,0.10540540540540541
gente sin techo,0.03713527851458886,0.05305039787798409,0.01856763925729443,0.0610079575596817,0.03978779840848806,0.10079575596816977,0.21485411140583555,0.0610079575596817,0.015915119363395226,0.09549071618037135
feministas,0.034574468085106384,0.05319148936170213,0.013297872340425532,0.05585106382978723,0.034574468085106384,0.09042553191489362,0.2047872340425532,0.05851063829787234,0.013297872340425532,0.11702127659574468
gente rica,0.028277634961439587,0.06940874035989718,0.028277634961439587,0.056555269922879174,0.05141388174807198,0.11053984575835475,0.23393316195372751,0.056555269922879174,0.02313624678663239,0.10025706940874037
gente pobre,0.03513513513513514,0.05945945945945946,0.02972972972972973,0.062162162162162166,0.03513513513513514,0.11081081081081082,0.21621621621621623,0.062162162162162166,0.013513513513513514,0.11351351351351352
criminales,0.042440318302387266,0.04509283819628647,0.023872679045092837,0.0636604774535809,0.034482758620689655,0.08753315649867374,0.1989389920424403,0.0610079575596817,0.013262599469496022,0.13262599469496023
fraternidades,0.03208556149732621,0.058823529411764705,0.0106951871657754,0.053475935828877004,0.0481283422459893,0.07754010695187166,0.22727272727272727,0.058823529411764705,0.013368983957219251,0.11229946524064172
chicos de fraternidad,0.038560411311053984,0.06426735218508997,0.02056555269922879,0.06940874035989718,0.043701799485861184,0.10796915167095116,0.2236503856041131,0.05398457583547558,0.012853470437017995,0.12596401028277635
chicas de hermandad,0.028423772609819122,0.06718346253229975,0.015503875968992248,0.06718346253229975,0.03875968992248062,0.08527131782945736,0.21705426356589147,0.041343669250646,0.012919896640826873,0.11369509043927649
hippies,0.025495750708215296,0.053824362606232294,0.0169971671388102,0.056657223796033995,0.0453257790368272,0.07932011331444759,0.21529745042492918,0.056657223796033995,0.014164305949008499,0.12181303116147309
frikis,0.03910614525139665,0.06424581005586592,0.013966480446927373,0.05865921787709497,0.036312849162011177,0.0782122905027933,0.2122905027932961,0.061452513966480445,0.01675977653631285,0.10335195530726257
góticos,0.03081232492997199,0.06162464985994398,0.014005602240896359,0.06162464985994398,0.047619047619047616,0.08683473389355742,0.22969187675070027,0.056022408963585436,0.01680672268907563,0.12324929971988796
punkis,0.03494623655913978,0.053763440860215055,0.016129032258064516,0.053763440860215055,0.04032258064516129,0.08333333333333333,0.21236559139784947,0.05913978494623656,0.013440860215053764,0.10215053763440861
californianos,0.041666666666666664,0.059895833333333336,0.020833333333333332,0.0703125,0.044270833333333336,0.09375,0.21354166666666666,0.052083333333333336,0.013020833333333334,0.13541666666666666
famosos,0.03225806451612903,0.056451612903225805,0.010752688172043012,0.06720430107526881,0.043010752688172046,0.09408602150537634,0.21774193548387097,0.053763440860215055,0.016129032258064516,0.10752688172043011
pelirrojos,0.03291139240506329,0.06329113924050633,0.015189873417721518,0.053164556962025315,0.04050632911392405,0.06835443037974684,0.21265822784810126,0.053164556962025315,0.012658227848101266,0.10379746835443038
