,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
asiáticos,0.030470914127423823,0.060941828254847646,0.01662049861495845,0.05263157894736842,0.038781163434903045,0.08310249307479224,0.21052631578947367,0.06371191135734072,0.0110803324099723,0.12188365650969529
americanos,0.03314917127071823,0.052486187845303865,0.016574585635359115,0.055248618784530384,0.04419889502762431,0.08287292817679558,0.21823204419889503,0.06353591160220995,0.013812154696132596,0.11602209944751381
europeos,0.026954177897574125,0.05390835579514825,0.0215633423180593,0.05390835579514825,0.0431266846361186,0.07277628032345014,0.2210242587601078,0.05390835579514825,0.013477088948787063,0.1293800539083558
judios,0.033419023136246784,0.05912596401028278,0.02056555269922879,0.06426735218508997,0.030848329048843187,0.08997429305912596,0.20822622107969152,0.05398457583547558,0.015424164524421594,0.09511568123393316
indios,0.02849740932642487,0.054404145077720206,0.02072538860103627,0.06735751295336788,0.04145077720207254,0.08549222797927461,0.21761658031088082,0.05699481865284974,0.015544041450777202,0.08808290155440414
rusos,0.03314917127071823,0.058011049723756904,0.011049723756906077,0.058011049723756904,0.04419889502762431,0.0856353591160221,0.22099447513812154,0.06077348066298342,0.013812154696132596,0.10773480662983426
africanos,0.034482758620689655,0.0603448275862069,0.014367816091954023,0.05459770114942529,0.04597701149425287,0.08620689655172414,0.22126436781609196,0.06609195402298851,0.014367816091954023,0.12643678160919541
personas de color,0.0325,0.065,0.02,0.065,0.0425,0.09,0.215,0.0475,0.0175,0.115
mexicanos,0.027700831024930747,0.05263157894736842,0.0221606648199446,0.055401662049861494,0.038781163434903045,0.07756232686980609,0.21329639889196675,0.05817174515235457,0.013850415512465374,0.1329639889196676
blancos,0.043478260869565216,0.058823529411764705,0.015345268542199489,0.061381074168797956,0.03836317135549872,0.08951406649616368,0.21483375959079284,0.05370843989769821,0.01278772378516624,0.09718670076726342
negros,0.034574468085106384,0.05851063829787234,0.018617021276595744,0.05585106382978723,0.0398936170212766,0.09042553191489362,0.2154255319148936,0.05851063829787234,0.013297872340425532,0.1276595744680851
gente blanca,0.03225806451612903,0.056451612903225805,0.024193548387096774,0.05913978494623656,0.0456989247311828,0.10483870967741936,0.22311827956989247,0.053763440860215055,0.016129032258064516,0.0967741935483871
alemanes,0.02925531914893617,0.05319148936170213,0.013297872340425532,0.05585106382978723,0.03723404255319149,0.0797872340425532,0.22074468085106383,0.05319148936170213,0.013297872340425532,0.10904255319148937
rubias,0.02997275204359673,0.05722070844686648,0.02452316076294278,0.0653950953678474,0.04087193460490463,0.09536784741144415,0.22888283378746593,0.05722070844686648,0.013623978201634877,0.09536784741144415
chicas rubias,0.023622047244094488,0.06036745406824147,0.010498687664041995,0.05511811023622047,0.03937007874015748,0.08136482939632546,0.2230971128608924,0.04461942257217848,0.015748031496062992,0.09973753280839895
árabes,0.03380281690140845,0.059154929577464786,0.014084507042253521,0.061971830985915494,0.04788732394366197,0.08450704225352113,0.21690140845070421,0.0647887323943662,0.014084507042253521,0.12394366197183099
americanos blancos,0.04199475065616798,0.05774278215223097,0.02099737532808399,0.06299212598425197,0.04461942257217848,0.09973753280839895,0.22572178477690288,0.06561679790026247,0.013123359580052493,0.10761154855643044
americanos negros,0.04076086956521739,0.05434782608695652,0.024456521739130436,0.057065217391304345,0.03804347826086957,0.09239130434782608,0.21467391304347827,0.07065217391304347,0.01358695652173913,0.11956521739130435
hispanos,0.027918781725888325,0.0532994923857868,0.017766497461928935,0.05583756345177665,0.03299492385786802,0.07614213197969544,0.20812182741116753,0.050761421319796954,0.012690355329949238,0.09390862944162437
nativos americanos,0.037037037037037035,0.0582010582010582,0.015873015873015872,0.06084656084656084,0.03968253968253968,0.07936507936507936,0.2222222222222222,0.05555555555555555,0.013227513227513227,0.12433862433862433
hombres negros,0.03773584905660377,0.05660377358490566,0.02425876010781671,0.05660377358490566,0.026954177897574125,0.0889487870619946,0.1940700808625337,0.05929919137466307,0.013477088948787063,0.1320754716981132
hombres blancos,0.03233830845771144,0.05721393034825871,0.024875621890547265,0.05721393034825871,0.03731343283582089,0.0845771144278607,0.208955223880597,0.05970149253731343,0.012437810945273632,0.11442786069651742
mujer asiáticas,0.036931818181818184,0.06534090909090909,0.02556818181818182,0.05113636363636364,0.03977272727272727,0.10227272727272728,0.22727272727272727,0.06818181818181818,0.014204545454545454,0.09375
hombres asiáticos,0.02925531914893617,0.05851063829787234,0.023936170212765957,0.05585106382978723,0.034574468085106384,0.0797872340425532,0.2127659574468085,0.05851063829787234,0.013297872340425532,0.125
mujeres negras,0.038781163434903045,0.060941828254847646,0.0221606648199446,0.055401662049861494,0.027700831024930747,0.09418282548476455,0.19113573407202217,0.05817174515235457,0.013850415512465374,0.1329639889196676
holandeses,0.03412073490813648,0.05774278215223097,0.026246719160104987,0.05511811023622047,0.04199475065616798,0.08923884514435695,0.22572178477690288,0.06299212598425197,0.013123359580052493,0.12073490813648294
gente irlandesa,0.04065040650406504,0.04878048780487805,0.02168021680216802,0.06504065040650407,0.032520325203252036,0.10840108401084012,0.2086720867208672,0.051490514905149054,0.013550135501355014,0.1002710027100271
