,Name1,Name2,Similarity
0,Catalan,English,0.5
1,Catalan,French,0.7692307692307693
2,Catalan,German,0.46153846153846156
3,Catalan,Greek (Modern),0.46153846153846156
4,Catalan,Hindi,0.3076923076923077
5,Catalan,Italian,0.8076923076923077
6,Catalan,Japanese,0.11538461538461539
7,Catalan,Korean,0.23076923076923078
8,Catalan,Mandarin,0.3076923076923077
9,Catalan,Russian,0.5
10,Catalan,Serbian-Croatian,0.46153846153846156
11,Catalan,Spanish,0.7307692307692307
12,English,French,0.6153846153846154
13,English,German,0.5769230769230769
14,English,Greek (Modern),0.5384615384615384
15,English,Hindi,0.38461538461538464
16,English,Italian,0.6923076923076923
17,English,Japanese,0.11538461538461539
18,English,Korean,0.3076923076923077
19,English,Mandarin,0.5769230769230769
20,English,Russian,0.7307692307692307
21,English,Serbian-Croatian,0.7307692307692307
22,English,Spanish,0.7307692307692307
23,French,German,0.5384615384615384
24,French,Greek (Modern),0.5
25,French,Hindi,0.34615384615384615
26,French,Italian,0.7307692307692307
27,French,Japanese,0.11538461538461539
28,French,Korean,0.15384615384615385
29,French,Mandarin,0.38461538461538464
30,French,Russian,0.6153846153846154
31,French,Serbian-Croatian,0.5769230769230769
32,French,Spanish,0.6923076923076923
33,German,Greek (Modern),0.4230769230769231
34,German,Hindi,0.34615384615384615
35,German,Italian,0.46153846153846156
36,German,Japanese,0.11538461538461539
37,German,Korean,0.23076923076923078
38,German,Mandarin,0.34615384615384615
39,German,Russian,0.46153846153846156
40,German,Serbian-Croatian,0.4230769230769231
41,German,Spanish,0.46153846153846156
42,Greek (Modern),Hindi,0.5
43,Greek (Modern),Italian,0.5384615384615384
44,Greek (Modern),Japanese,0.15384615384615385
45,Greek (Modern),Korean,0.2692307692307692
46,Greek (Modern),Mandarin,0.5
47,Greek (Modern),Russian,0.7307692307692307
48,Greek (Modern),Serbian-Croatian,0.6923076923076923
49,Greek (Modern),Spanish,0.5769230769230769
50,Hindi,Italian,0.3076923076923077
51,Hindi,Japanese,0.5384615384615384
52,Hindi,Korean,0.6923076923076923
53,Hindi,Mandarin,0.5384615384615384
54,Hindi,Russian,0.5384615384615384
55,Hindi,Serbian-Croatian,0.5384615384615384
56,Hindi,Spanish,0.34615384615384615
57,Italian,Japanese,0.038461538461538464
58,Italian,Korean,0.23076923076923078
59,Italian,Mandarin,0.4230769230769231
60,Italian,Russian,0.6153846153846154
61,Italian,Serbian-Croatian,0.5384615384615384
62,Italian,Spanish,0.9230769230769231
63,Japanese,Korean,0.6153846153846154
64,Japanese,Mandarin,0.38461538461538464
65,Japanese,Russian,0.23076923076923078
66,Japanese,Serbian-Croatian,0.23076923076923078
67,Japanese,Spanish,0.038461538461538464
68,Korean,Mandarin,0.46153846153846156
69,Korean,Russian,0.34615384615384615
70,Korean,Serbian-Croatian,0.34615384615384615
71,Korean,Spanish,0.23076923076923078
72,Mandarin,Russian,0.6538461538461539
73,Mandarin,Serbian-Croatian,0.6153846153846154
74,Mandarin,Spanish,0.4230769230769231
75,Russian,Serbian-Croatian,0.8846153846153846
76,Russian,Spanish,0.6538461538461539
77,Serbian-Croatian,Spanish,0.5769230769230769
