anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
5.0,11.0,14.0,14.0,19.0,30.0,53.0,18.0,7.0,29.0
10.0,9.0,18.0,27.0,12.0,43.0,40.0,22.0,7.0,9.0
7.0,10.0,9.0,6.0,14.0,24.0,51.0,12.0,8.0,27.0
10.0,16.0,14.0,18.0,21.0,36.0,61.0,14.0,11.0,31.0
17.0,25.0,10.0,17.0,25.0,37.0,81.0,19.0,14.0,40.0
8.0,14.0,12.0,15.0,22.0,36.0,63.0,21.0,8.0,29.0
24.0,12.0,25.0,25.0,22.0,65.0,51.0,32.0,10.0,24.0
10.0,9.0,18.0,27.0,12.0,43.0,40.0,22.0,7.0,9.0
10.0,16.0,14.0,18.0,21.0,36.0,61.0,14.0,11.0,31.0
18.0,16.0,19.0,21.0,24.0,48.0,52.0,23.0,4.0,25.0
4.0,9.0,14.0,11.0,14.0,27.0,56.0,11.0,7.0,28.0
