anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
17.0,13.0,16.0,21.0,18.0,40.0,62.0,15.0,11.0,29.0
7.0,18.0,13.0,8.0,22.0,36.0,63.0,15.0,12.0,34.0
16.0,8.0,17.0,19.0,12.0,44.0,44.0,25.0,6.0,20.0
5.0,9.0,19.0,24.0,14.0,36.0,51.0,20.0,8.0,28.0
26.0,12.0,30.0,28.0,28.0,68.0,60.0,28.0,14.0,29.0
7.0,11.0,11.0,15.0,15.0,26.0,50.0,17.0,9.0,27.0
9.0,8.0,17.0,17.0,13.0,31.0,45.0,17.0,6.0,22.0
16.0,7.0,19.0,19.0,13.0,48.0,39.0,26.0,6.0,20.0
5.0,9.0,9.0,17.0,11.0,32.0,47.0,9.0,10.0,17.0
5.0,8.0,12.0,17.0,13.0,30.0,49.0,18.0,5.0,25.0
20.0,15.0,23.0,24.0,24.0,63.0,59.0,27.0,11.0,28.0
18.0,15.0,13.0,21.0,21.0,43.0,67.0,18.0,16.0,28.0
7.0,18.0,13.0,8.0,22.0,36.0,63.0,15.0,12.0,34.0
10.0,5.0,10.0,15.0,9.0,32.0,52.0,12.0,4.0,18.0
15.0,22.0,8.0,15.0,24.0,32.0,79.0,15.0,14.0,36.0
10.0,12.0,10.0,12.0,16.0,34.0,54.0,14.0,8.0,25.0
20.0,13.0,21.0,19.0,25.0,55.0,58.0,19.0,11.0,29.0
6.0,15.0,15.0,7.0,18.0,29.0,73.0,6.0,8.0,29.0
