anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
8.0,14.0,12.0,11.0,19.0,31.0,61.0,15.0,9.0,32.0
17.0,5.0,21.0,17.0,15.0,50.0,45.0,22.0,6.0,20.0
13.0,6.0,10.0,16.0,9.0,38.0,58.0,19.0,0.0,23.0
14.0,26.0,14.0,16.0,28.0,34.0,77.0,23.0,12.0,45.0
14.0,8.0,17.0,17.0,13.0,40.0,50.0,20.0,6.0,23.0
3.0,12.0,5.0,8.0,17.0,19.0,67.0,10.0,10.0,25.0
10.0,9.0,11.0,11.0,16.0,31.0,61.0,17.0,8.0,28.0
9.0,6.0,8.0,18.0,11.0,33.0,50.0,18.0,0.0,20.0
13.0,11.0,16.0,17.0,15.0,35.0,63.0,19.0,6.0,31.0
18.0,7.0,18.0,16.0,14.0,56.0,46.0,29.0,7.0,21.0
18.0,7.0,18.0,16.0,14.0,56.0,46.0,29.0,7.0,21.0
14.0,5.0,16.0,18.0,12.0,45.0,49.0,27.0,3.0,19.0
13.0,5.0,8.0,9.0,9.0,33.0,45.0,16.0,1.0,18.0
13.0,6.0,10.0,16.0,9.0,38.0,58.0,19.0,0.0,23.0
7.0,12.0,10.0,7.0,16.0,31.0,56.0,13.0,5.0,28.0
23.0,14.0,23.0,20.0,28.0,52.0,72.0,19.0,14.0,33.0
11.0,8.0,8.0,13.0,15.0,35.0,61.0,18.0,5.0,28.0
7.0,9.0,15.0,9.0,13.0,31.0,42.0,16.0,6.0,21.0
8.0,18.0,9.0,9.0,16.0,26.0,84.0,10.0,10.0,34.0
24.0,14.0,26.0,22.0,32.0,66.0,81.0,22.0,17.0,30.0
11.0,14.0,11.0,14.0,20.0,38.0,62.0,18.0,5.0,33.0
21.0,26.0,18.0,22.0,38.0,53.0,95.0,13.0,16.0,41.0
2.0,12.0,8.0,11.0,15.0,24.0,67.0,14.0,5.0,35.0
11.0,17.0,8.0,11.0,20.0,33.0,80.0,14.0,4.0,36.0
11.0,17.0,18.0,13.0,22.0,34.0,67.0,10.0,12.0,36.0
11.0,9.0,10.0,12.0,15.0,30.0,62.0,14.0,4.0,28.0
7.0,21.0,13.0,10.0,26.0,36.0,77.0,15.0,8.0,43.0
13.0,15.0,17.0,13.0,20.0,39.0,54.0,22.0,7.0,33.0
11.0,5.0,15.0,16.0,13.0,38.0,50.0,15.0,5.0,19.0
