anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
9.0,7.0,17.0,19.0,13.0,31.0,46.0,17.0,6.0,22.0
20.0,4.0,21.0,20.0,8.0,44.0,41.0,23.0,6.0,21.0
18.0,4.0,19.0,19.0,9.0,44.0,36.0,23.0,5.0,18.0
13.0,8.0,14.0,14.0,14.0,28.0,51.0,13.0,8.0,27.0
16.0,6.0,23.0,25.0,14.0,44.0,44.0,17.0,7.0,19.0
13.0,6.0,14.0,15.0,10.0,32.0,41.0,17.0,4.0,21.0
14.0,5.0,17.0,15.0,9.0,36.0,31.0,17.0,6.0,16.0
16.0,4.0,20.0,20.0,8.0,43.0,39.0,22.0,4.0,20.0
8.0,12.0,12.0,12.0,18.0,30.0,58.0,12.0,9.0,26.0
7.0,9.0,9.0,10.0,15.0,27.0,60.0,15.0,6.0,24.0
