anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
61.0,80.0,59.0,78.0,128.0,153.0,266.0,92.0,58.0,141.0
70.0,79.0,70.0,84.0,149.0,173.0,278.0,110.0,65.0,131.0
57.0,80.0,53.0,67.0,135.0,145.0,278.0,87.0,60.0,144.0
68.0,79.0,73.0,81.0,136.0,180.0,257.0,91.0,62.0,122.0
57.0,77.0,60.0,62.0,134.0,152.0,276.0,77.0,65.0,147.0
63.0,96.0,61.0,76.0,157.0,158.0,286.0,105.0,66.0,152.0
57.0,90.0,55.0,67.0,141.0,140.0,255.0,91.0,62.0,130.0
67.0,69.0,63.0,82.0,141.0,172.0,274.0,116.0,63.0,131.0
71.0,83.0,70.0,83.0,133.0,182.0,273.0,102.0,69.0,133.0
60.0,83.0,59.0,75.0,149.0,154.0,268.0,102.0,69.0,137.0
55.0,84.0,58.0,75.0,142.0,148.0,277.0,92.0,66.0,146.0
