anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
64.0,79.0,62.0,73.0,128.0,167.0,239.0,81.0,67.0,126.0
79.0,91.0,85.0,91.0,144.0,185.0,263.0,100.0,70.0,146.0
64.0,85.0,75.0,74.0,145.0,156.0,263.0,82.0,60.0,142.0
80.0,57.0,73.0,113.0,113.0,192.0,213.0,130.0,56.0,110.0
73.0,70.0,68.0,88.0,117.0,173.0,246.0,94.0,57.0,137.0
84.0,76.0,72.0,92.0,144.0,187.0,267.0,116.0,56.0,143.0
94.0,71.0,80.0,111.0,133.0,194.0,243.0,136.0,54.0,137.0
103.0,66.0,91.0,124.0,113.0,219.0,242.0,118.0,54.0,142.0
54.0,70.0,55.0,68.0,121.0,144.0,228.0,73.0,49.0,115.0
61.0,88.0,67.0,80.0,149.0,157.0,244.0,83.0,70.0,132.0
63.0,81.0,74.0,82.0,142.0,161.0,254.0,89.0,67.0,139.0
81.0,81.0,82.0,91.0,122.0,197.0,232.0,98.0,61.0,122.0
58.0,93.0,71.0,70.0,141.0,163.0,241.0,77.0,71.0,134.0
73.0,85.0,78.0,78.0,134.0,189.0,252.0,83.0,60.0,141.0
92.0,77.0,88.0,96.0,115.0,208.0,233.0,100.0,59.0,125.0
56.0,66.0,60.0,67.0,135.0,156.0,248.0,92.0,55.0,120.0
62.0,97.0,70.0,71.0,157.0,159.0,273.0,76.0,77.0,145.0
75.0,85.0,78.0,78.0,137.0,175.0,253.0,87.0,62.0,144.0
