anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
64.0,94.0,58.0,75.0,154.0,161.0,309.0,95.0,71.0,158.0
93.0,84.0,90.0,97.0,132.0,213.0,270.0,110.0,54.0,155.0
91.0,89.0,81.0,93.0,142.0,187.0,295.0,111.0,53.0,171.0
49.0,90.0,47.0,58.0,152.0,131.0,310.0,79.0,59.0,177.0
67.0,88.0,61.0,78.0,134.0,155.0,299.0,95.0,57.0,158.0
63.0,92.0,59.0,76.0,153.0,154.0,284.0,88.0,78.0,152.0
72.0,83.0,66.0,85.0,136.0,171.0,300.0,100.0,57.0,166.0
69.0,87.0,65.0,86.0,148.0,160.0,284.0,101.0,63.0,165.0
87.0,96.0,83.0,97.0,149.0,187.0,289.0,106.0,68.0,169.0
100.0,79.0,83.0,111.0,111.0,196.0,249.0,108.0,52.0,148.0
83.0,84.0,77.0,100.0,134.0,165.0,291.0,95.0,53.0,172.0
81.0,96.0,72.0,98.0,142.0,169.0,280.0,102.0,61.0,164.0
68.0,79.0,66.0,76.0,136.0,177.0,294.0,92.0,63.0,160.0
63.0,81.0,56.0,68.0,127.0,150.0,299.0,87.0,46.0,174.0
64.0,91.0,54.0,70.0,141.0,143.0,300.0,86.0,56.0,177.0
66.0,94.0,62.0,76.0,160.0,154.0,318.0,98.0,65.0,182.0
84.0,78.0,69.0,94.0,135.0,181.0,285.0,112.0,51.0,159.0
53.0,92.0,46.0,66.0,139.0,129.0,285.0,71.0,65.0,155.0
45.0,78.0,36.0,46.0,92.0,109.0,242.0,46.0,42.0,111.0
67.0,96.0,72.0,80.0,157.0,157.0,278.0,86.0,72.0,154.0
68.0,95.0,62.0,84.0,133.0,156.0,303.0,91.0,64.0,168.0
62.0,95.0,67.0,65.0,146.0,148.0,271.0,72.0,64.0,149.0
69.0,84.0,56.0,69.0,140.0,148.0,308.0,82.0,60.0,183.0
53.0,98.0,54.0,61.0,160.0,114.0,304.0,61.0,61.0,173.0
63.0,96.0,61.0,79.0,155.0,143.0,311.0,83.0,62.0,185.0
72.0,92.0,66.0,86.0,137.0,180.0,283.0,96.0,57.0,168.0
54.0,98.0,50.0,67.0,145.0,133.0,295.0,87.0,62.0,172.0
60.0,88.0,45.0,63.0,147.0,138.0,310.0,84.0,62.0,177.0
67.0,81.0,65.0,77.0,126.0,179.0,278.0,94.0,58.0,147.0
60.0,102.0,56.0,68.0,160.0,132.0,310.0,74.0,60.0,177.0
66.0,86.0,63.0,77.0,139.0,149.0,302.0,89.0,56.0,173.0
54.0,88.0,51.0,61.0,157.0,134.0,322.0,85.0,62.0,178.0
80.0,76.0,76.0,95.0,128.0,174.0,267.0,110.0,57.0,149.0
80.0,88.0,69.0,87.0,134.0,166.0,303.0,106.0,56.0,170.0
70.0,88.0,54.0,72.0,142.0,146.0,310.0,96.0,55.0,179.0
74.0,82.0,64.0,92.0,125.0,169.0,286.0,96.0,54.0,158.0
76.0,93.0,67.0,92.0,128.0,156.0,289.0,90.0,55.0,161.0
50.0,85.0,46.0,59.0,120.0,127.0,288.0,69.0,53.0,154.0
60.0,90.0,52.0,69.0,145.0,139.0,315.0,85.0,56.0,183.0
56.0,93.0,57.0,71.0,159.0,148.0,299.0,84.0,70.0,166.0
67.0,91.0,63.0,80.0,144.0,153.0,292.0,85.0,65.0,162.0
62.0,95.0,63.0,77.0,156.0,148.0,295.0,79.0,75.0,160.0
48.0,96.0,48.0,67.0,152.0,121.0,310.0,71.0,63.0,170.0
69.0,77.0,56.0,71.0,109.0,160.0,264.0,79.0,58.0,146.0
45.0,92.0,47.0,59.0,153.0,105.0,310.0,52.0,61.0,166.0
56.0,84.0,56.0,74.0,146.0,143.0,295.0,81.0,72.0,158.0
77.0,88.0,71.0,93.0,131.0,169.0,281.0,89.0,65.0,157.0
56.0,96.0,54.0,65.0,153.0,140.0,310.0,80.0,75.0,176.0
67.0,97.0,65.0,74.0,162.0,159.0,296.0,81.0,82.0,154.0
80.0,77.0,65.0,88.0,129.0,173.0,269.0,105.0,54.0,149.0
74.0,90.0,66.0,80.0,142.0,156.0,299.0,95.0,55.0,180.0
51.0,88.0,52.0,64.0,136.0,137.0,314.0,80.0,57.0,175.0
73.0,85.0,61.0,80.0,138.0,172.0,288.0,106.0,59.0,154.0
70.0,90.0,67.0,80.0,146.0,171.0,293.0,97.0,70.0,161.0
46.0,96.0,32.0,54.0,157.0,116.0,330.0,62.0,68.0,189.0
78.0,85.0,74.0,91.0,137.0,170.0,280.0,95.0,60.0,158.0
69.0,76.0,55.0,70.0,126.0,146.0,284.0,97.0,43.0,160.0
95.0,81.0,75.0,101.0,115.0,189.0,282.0,109.0,45.0,158.0
88.0,82.0,70.0,83.0,144.0,185.0,305.0,106.0,61.0,175.0
58.0,93.0,57.0,65.0,155.0,136.0,303.0,82.0,65.0,166.0
78.0,88.0,68.0,88.0,139.0,166.0,298.0,99.0,52.0,171.0
71.0,85.0,68.0,82.0,143.0,149.0,295.0,92.0,63.0,170.0
67.0,90.0,62.0,83.0,140.0,159.0,270.0,85.0,64.0,153.0
64.0,88.0,62.0,67.0,147.0,140.0,311.0,69.0,67.0,182.0
62.0,90.0,64.0,79.0,145.0,153.0,300.0,85.0,67.0,163.0
60.0,89.0,59.0,74.0,145.0,136.0,305.0,79.0,62.0,171.0
72.0,87.0,66.0,82.0,139.0,157.0,292.0,94.0,55.0,171.0
60.0,98.0,54.0,81.0,138.0,153.0,249.0,93.0,73.0,120.0
68.0,82.0,60.0,76.0,136.0,158.0,288.0,90.0,62.0,162.0
61.0,77.0,54.0,69.0,121.0,156.0,290.0,87.0,56.0,163.0
78.0,81.0,73.0,80.0,133.0,179.0,283.0,100.0,54.0,172.0
63.0,75.0,59.0,70.0,115.0,174.0,253.0,88.0,53.0,134.0
62.0,79.0,61.0,75.0,120.0,163.0,267.0,85.0,51.0,155.0
73.0,91.0,66.0,79.0,145.0,156.0,302.0,98.0,58.0,179.0
61.0,91.0,54.0,71.0,140.0,137.0,297.0,83.0,61.0,167.0
68.0,79.0,67.0,81.0,130.0,158.0,308.0,94.0,55.0,165.0
78.0,93.0,80.0,84.0,150.0,183.0,275.0,93.0,74.0,153.0
59.0,92.0,59.0,74.0,155.0,147.0,300.0,87.0,69.0,166.0
84.0,76.0,70.0,95.0,128.0,180.0,283.0,112.0,49.0,161.0
66.0,87.0,62.0,85.0,146.0,151.0,287.0,88.0,69.0,159.0
73.0,76.0,64.0,86.0,118.0,182.0,266.0,100.0,49.0,144.0
77.0,67.0,65.0,90.0,127.0,177.0,277.0,107.0,53.0,147.0
61.0,85.0,54.0,74.0,131.0,170.0,268.0,88.0,60.0,157.0
53.0,86.0,57.0,60.0,137.0,121.0,299.0,68.0,55.0,172.0
62.0,68.0,49.0,74.0,116.0,152.0,265.0,108.0,48.0,142.0
46.0,94.0,47.0,61.0,156.0,125.0,301.0,67.0,77.0,159.0
60.0,91.0,59.0,77.0,152.0,148.0,285.0,80.0,78.0,154.0
71.0,93.0,69.0,88.0,139.0,170.0,281.0,103.0,62.0,156.0
78.0,91.0,64.0,84.0,135.0,166.0,307.0,101.0,48.0,183.0
54.0,88.0,46.0,61.0,136.0,115.0,297.0,72.0,56.0,165.0
72.0,96.0,72.0,78.0,144.0,158.0,305.0,98.0,57.0,176.0
62.0,79.0,54.0,64.0,120.0,161.0,287.0,86.0,50.0,167.0
66.0,93.0,64.0,86.0,146.0,158.0,307.0,97.0,66.0,170.0
76.0,86.0,68.0,79.0,140.0,167.0,262.0,109.0,58.0,145.0
57.0,87.0,55.0,72.0,148.0,148.0,288.0,83.0,73.0,166.0
59.0,95.0,52.0,72.0,144.0,148.0,316.0,84.0,65.0,172.0
72.0,75.0,60.0,81.0,124.0,173.0,289.0,96.0,53.0,160.0
77.0,83.0,66.0,89.0,125.0,170.0,270.0,97.0,58.0,151.0
51.0,93.0,49.0,66.0,150.0,132.0,297.0,78.0,68.0,160.0
58.0,90.0,56.0,72.0,133.0,139.0,279.0,78.0,62.0,156.0
48.0,90.0,50.0,64.0,155.0,130.0,312.0,80.0,69.0,175.0
63.0,90.0,57.0,63.0,140.0,129.0,301.0,78.0,50.0,167.0
63.0,96.0,57.0,82.0,154.0,144.0,298.0,80.0,83.0,168.0
67.0,79.0,66.0,78.0,123.0,159.0,283.0,86.0,51.0,156.0
68.0,77.0,63.0,81.0,114.0,169.0,265.0,92.0,56.0,147.0
84.0,77.0,74.0,95.0,127.0,189.0,274.0,112.0,55.0,155.0
58.0,77.0,54.0,74.0,122.0,134.0,264.0,79.0,48.0,142.0
74.0,93.0,73.0,87.0,155.0,167.0,289.0,92.0,75.0,167.0
47.0,95.0,54.0,59.0,153.0,138.0,267.0,74.0,66.0,145.0
80.0,81.0,74.0,91.0,118.0,193.0,259.0,111.0,45.0,140.0
74.0,85.0,65.0,82.0,132.0,163.0,277.0,98.0,59.0,154.0
58.0,96.0,54.0,68.0,158.0,141.0,304.0,83.0,71.0,167.0
79.0,95.0,68.0,79.0,136.0,169.0,290.0,89.0,60.0,180.0
72.0,90.0,73.0,91.0,146.0,185.0,270.0,100.0,72.0,144.0
64.0,91.0,67.0,82.0,162.0,152.0,275.0,87.0,70.0,153.0
