anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
60.0,76.0,65.0,67.0,128.0,165.0,255.0,82.0,68.0,114.0
70.0,74.0,74.0,75.0,129.0,185.0,260.0,106.0,48.0,121.0
73.0,72.0,68.0,76.0,126.0,180.0,260.0,100.0,52.0,126.0
85.0,64.0,79.0,93.0,116.0,188.0,237.0,110.0,52.0,121.0
58.0,81.0,64.0,65.0,138.0,160.0,272.0,87.0,65.0,125.0
79.0,79.0,75.0,83.0,135.0,188.0,271.0,100.0,61.0,143.0
67.0,69.0,71.0,82.0,115.0,172.0,243.0,104.0,56.0,106.0
81.0,68.0,81.0,89.0,117.0,181.0,229.0,109.0,59.0,112.0
73.0,75.0,76.0,74.0,143.0,169.0,278.0,94.0,62.0,132.0
59.0,79.0,63.0,62.0,136.0,141.0,251.0,84.0,53.0,131.0
68.0,75.0,67.0,72.0,131.0,157.0,252.0,89.0,54.0,134.0
86.0,74.0,81.0,92.0,122.0,185.0,235.0,121.0,61.0,116.0
75.0,83.0,71.0,79.0,139.0,181.0,273.0,96.0,62.0,140.0
50.0,96.0,59.0,49.0,147.0,130.0,266.0,65.0,63.0,136.0
44.0,107.0,54.0,48.0,155.0,126.0,266.0,62.0,63.0,127.0
72.0,73.0,70.0,76.0,128.0,173.0,263.0,97.0,58.0,133.0
81.0,60.0,77.0,85.0,109.0,177.0,217.0,116.0,47.0,100.0
78.0,59.0,79.0,85.0,105.0,166.0,215.0,102.0,47.0,96.0
71.0,84.0,67.0,74.0,138.0,167.0,273.0,83.0,65.0,137.0
52.0,72.0,58.0,64.0,122.0,149.0,241.0,79.0,68.0,110.0
72.0,80.0,70.0,78.0,138.0,164.0,262.0,94.0,62.0,134.0
71.0,80.0,70.0,76.0,141.0,158.0,260.0,97.0,59.0,129.0
45.0,88.0,53.0,53.0,141.0,124.0,273.0,60.0,68.0,123.0
58.0,89.0,64.0,63.0,148.0,148.0,281.0,76.0,71.0,131.0
63.0,79.0,62.0,77.0,130.0,139.0,251.0,92.0,61.0,124.0
61.0,88.0,64.0,68.0,143.0,171.0,272.0,85.0,73.0,138.0
71.0,76.0,71.0,75.0,154.0,170.0,274.0,106.0,68.0,128.0
69.0,93.0,71.0,76.0,158.0,160.0,299.0,93.0,65.0,145.0
66.0,76.0,66.0,73.0,125.0,144.0,244.0,91.0,57.0,119.0
67.0,94.0,67.0,73.0,153.0,155.0,300.0,89.0,71.0,149.0
50.0,84.0,56.0,58.0,140.0,126.0,283.0,69.0,68.0,132.0
66.0,97.0,71.0,71.0,162.0,158.0,309.0,86.0,70.0,152.0
51.0,87.0,57.0,57.0,149.0,131.0,295.0,71.0,74.0,135.0
48.0,90.0,53.0,50.0,147.0,124.0,289.0,63.0,69.0,134.0
65.0,100.0,70.0,72.0,163.0,156.0,310.0,84.0,67.0,158.0
69.0,95.0,68.0,74.0,151.0,165.0,299.0,97.0,63.0,145.0
62.0,92.0,61.0,68.0,150.0,158.0,291.0,87.0,65.0,134.0
77.0,77.0,70.0,83.0,137.0,177.0,259.0,111.0,54.0,123.0
77.0,76.0,73.0,85.0,128.0,176.0,258.0,112.0,52.0,132.0
55.0,87.0,61.0,61.0,140.0,148.0,259.0,77.0,67.0,124.0
62.0,83.0,67.0,71.0,130.0,164.0,258.0,83.0,67.0,127.0
67.0,81.0,70.0,73.0,133.0,163.0,267.0,92.0,72.0,124.0
43.0,88.0,49.0,49.0,147.0,123.0,276.0,62.0,66.0,126.0
63.0,91.0,73.0,70.0,147.0,168.0,284.0,94.0,69.0,116.0
79.0,83.0,79.0,89.0,133.0,181.0,258.0,116.0,62.0,112.0
69.0,82.0,74.0,77.0,135.0,172.0,251.0,113.0,63.0,113.0
71.0,69.0,72.0,82.0,116.0,172.0,235.0,100.0,59.0,102.0
73.0,88.0,75.0,79.0,145.0,177.0,272.0,103.0,62.0,130.0
66.0,75.0,67.0,74.0,130.0,163.0,256.0,94.0,60.0,116.0
79.0,71.0,74.0,86.0,126.0,186.0,245.0,108.0,53.0,115.0
87.0,64.0,84.0,101.0,124.0,190.0,238.0,123.0,48.0,107.0
82.0,85.0,82.0,86.0,141.0,188.0,271.0,103.0,68.0,134.0
87.0,65.0,78.0,91.0,129.0,190.0,249.0,117.0,44.0,120.0
81.0,76.0,76.0,86.0,130.0,181.0,263.0,103.0,54.0,132.0
71.0,75.0,66.0,82.0,127.0,161.0,264.0,100.0,61.0,126.0
68.0,90.0,74.0,73.0,147.0,176.0,284.0,96.0,71.0,141.0
67.0,93.0,73.0,71.0,160.0,160.0,300.0,91.0,64.0,148.0
52.0,88.0,56.0,54.0,149.0,124.0,287.0,74.0,66.0,138.0
74.0,72.0,74.0,85.0,126.0,175.0,249.0,104.0,57.0,116.0
89.0,74.0,83.0,95.0,148.0,195.0,273.0,119.0,60.0,136.0
78.0,73.0,73.0,82.0,137.0,180.0,264.0,100.0,58.0,129.0
61.0,80.0,66.0,66.0,137.0,161.0,279.0,91.0,58.0,135.0
51.0,92.0,56.0,56.0,155.0,131.0,306.0,71.0,66.0,159.0
41.0,89.0,44.0,47.0,150.0,108.0,287.0,69.0,62.0,142.0
65.0,89.0,70.0,72.0,145.0,177.0,284.0,89.0,65.0,148.0
60.0,89.0,63.0,67.0,153.0,152.0,283.0,88.0,67.0,138.0
58.0,81.0,59.0,60.0,137.0,146.0,263.0,79.0,61.0,122.0
31.0,56.0,27.0,26.0,92.0,70.0,174.0,30.0,40.0,86.0
76.0,72.0,75.0,82.0,139.0,179.0,264.0,102.0,61.0,123.0
63.0,80.0,66.0,72.0,140.0,156.0,267.0,89.0,67.0,128.0
92.0,67.0,86.0,98.0,116.0,197.0,230.0,119.0,52.0,110.0
54.0,85.0,58.0,60.0,134.0,153.0,262.0,82.0,57.0,131.0
73.0,86.0,74.0,76.0,152.0,178.0,268.0,103.0,65.0,133.0
73.0,92.0,71.0,74.0,158.0,172.0,285.0,97.0,74.0,144.0
67.0,85.0,67.0,74.0,124.0,171.0,262.0,89.0,63.0,130.0
57.0,84.0,63.0,65.0,143.0,160.0,267.0,85.0,63.0,124.0
70.0,84.0,75.0,77.0,150.0,168.0,267.0,100.0,69.0,128.0
64.0,90.0,68.0,71.0,142.0,169.0,270.0,90.0,68.0,131.0
64.0,85.0,64.0,70.0,148.0,165.0,276.0,91.0,64.0,129.0
58.0,101.0,63.0,60.0,162.0,156.0,300.0,86.0,72.0,154.0
59.0,90.0,59.0,68.0,140.0,164.0,264.0,91.0,69.0,128.0
58.0,74.0,64.0,66.0,133.0,152.0,254.0,87.0,57.0,126.0
56.0,86.0,63.0,63.0,134.0,167.0,272.0,92.0,75.0,125.0
73.0,84.0,73.0,79.0,146.0,172.0,280.0,97.0,69.0,138.0
60.0,91.0,65.0,66.0,159.0,157.0,283.0,89.0,75.0,136.0
69.0,81.0,68.0,77.0,129.0,166.0,248.0,96.0,61.0,120.0
67.0,84.0,67.0,74.0,143.0,163.0,268.0,88.0,64.0,133.0
72.0,74.0,71.0,77.0,133.0,179.0,252.0,97.0,65.0,122.0
64.0,81.0,66.0,70.0,143.0,168.0,278.0,90.0,72.0,127.0
69.0,79.0,72.0,76.0,135.0,170.0,268.0,98.0,71.0,127.0
67.0,96.0,74.0,70.0,170.0,165.0,316.0,90.0,76.0,160.0
58.0,88.0,64.0,62.0,153.0,140.0,298.0,79.0,74.0,142.0
76.0,76.0,72.0,78.0,141.0,185.0,260.0,104.0,67.0,126.0
64.0,87.0,67.0,70.0,147.0,164.0,279.0,89.0,66.0,136.0
56.0,77.0,61.0,65.0,133.0,146.0,261.0,81.0,62.0,119.0
68.0,94.0,72.0,72.0,157.0,171.0,285.0,98.0,72.0,140.0
63.0,84.0,66.0,68.0,146.0,164.0,274.0,93.0,66.0,131.0
70.0,89.0,71.0,75.0,171.0,168.0,290.0,100.0,77.0,143.0
