anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
75.0,63.0,73.0,93.0,118.0,178.0,223.0,98.0,63.0,118.0
61.0,82.0,67.0,84.0,145.0,161.0,253.0,84.0,69.0,134.0
67.0,81.0,73.0,82.0,143.0,174.0,254.0,90.0,73.0,136.0
58.0,68.0,60.0,83.0,107.0,160.0,253.0,76.0,64.0,126.0
79.0,73.0,74.0,97.0,126.0,194.0,237.0,105.0,63.0,129.0
74.0,69.0,79.0,89.0,125.0,178.0,239.0,92.0,67.0,124.0
60.0,84.0,60.0,73.0,136.0,158.0,255.0,78.0,66.0,145.0
77.0,89.0,84.0,88.0,141.0,188.0,262.0,96.0,66.0,147.0
69.0,68.0,72.0,89.0,117.0,172.0,233.0,91.0,67.0,119.0
71.0,75.0,79.0,92.0,133.0,177.0,244.0,94.0,73.0,130.0
51.0,91.0,51.0,60.0,150.0,127.0,278.0,63.0,62.0,149.0
69.0,73.0,68.0,73.0,116.0,165.0,244.0,83.0,53.0,130.0
