anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
52.0,51.0,37.0,54.0,70.0,129.0,170.0,66.0,27.0,81.0
38.0,41.0,39.0,60.0,74.0,154.0,170.0,84.0,26.0,76.0
39.0,38.0,34.0,49.0,52.0,125.0,158.0,61.0,25.0,71.0
42.0,39.0,40.0,55.0,59.0,147.0,164.0,78.0,18.0,67.0
40.0,58.0,31.0,47.0,82.0,119.0,211.0,60.0,19.0,79.0
34.0,38.0,25.0,40.0,65.0,106.0,159.0,57.0,21.0,74.0
38.0,59.0,30.0,37.0,83.0,117.0,201.0,65.0,17.0,80.0
38.0,41.0,39.0,60.0,74.0,154.0,170.0,84.0,26.0,76.0
42.0,39.0,40.0,55.0,59.0,147.0,164.0,78.0,18.0,67.0
30.0,45.0,24.0,39.0,76.0,114.0,181.0,63.0,15.0,67.0
38.0,47.0,33.0,43.0,66.0,122.0,153.0,68.0,24.0,80.0
