anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
30.0,45.0,24.0,39.0,76.0,114.0,181.0,63.0,15.0,67.0
32.0,46.0,25.0,30.0,65.0,106.0,163.0,55.0,15.0,65.0
40.0,39.0,36.0,46.0,63.0,135.0,152.0,61.0,25.0,70.0
37.0,48.0,34.0,35.0,71.0,117.0,175.0,62.0,21.0,69.0
48.0,42.0,32.0,43.0,51.0,126.0,132.0,65.0,24.0,61.0
44.0,51.0,30.0,53.0,53.0,130.0,148.0,57.0,23.0,58.0
33.0,55.0,22.0,53.0,99.0,104.0,191.0,57.0,27.0,87.0
35.0,50.0,20.0,38.0,96.0,106.0,189.0,53.0,21.0,80.0
31.0,46.0,20.0,30.0,85.0,95.0,184.0,45.0,23.0,72.0
26.0,46.0,14.0,28.0,87.0,97.0,186.0,42.0,20.0,69.0
28.0,40.0,20.0,23.0,63.0,80.0,166.0,46.0,14.0,67.0
42.0,39.0,36.0,48.0,56.0,124.0,140.0,67.0,23.0,79.0
52.0,42.0,38.0,45.0,53.0,131.0,141.0,64.0,18.0,62.0
59.0,45.0,42.0,66.0,59.0,152.0,144.0,77.0,26.0,75.0
44.0,38.0,29.0,41.0,49.0,122.0,127.0,63.0,23.0,52.0
47.0,46.0,35.0,45.0,53.0,132.0,133.0,63.0,21.0,56.0
41.0,44.0,37.0,45.0,67.0,131.0,161.0,64.0,23.0,78.0
41.0,48.0,33.0,45.0,71.0,135.0,167.0,68.0,20.0,76.0
38.0,49.0,22.0,35.0,76.0,107.0,162.0,53.0,21.0,69.0
35.0,47.0,21.0,40.0,75.0,108.0,157.0,54.0,22.0,65.0
31.0,43.0,26.0,35.0,51.0,106.0,150.0,54.0,17.0,59.0
42.0,53.0,37.0,51.0,71.0,111.0,173.0,67.0,21.0,76.0
31.0,48.0,23.0,41.0,72.0,113.0,174.0,57.0,14.0,71.0
46.0,47.0,36.0,51.0,59.0,137.0,147.0,67.0,23.0,75.0
