anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
52.0,52.0,34.0,59.0,67.0,135.0,158.0,62.0,28.0,68.0
58.0,59.0,40.0,65.0,75.0,144.0,172.0,68.0,25.0,74.0
45.0,55.0,47.0,54.0,74.0,141.0,165.0,64.0,31.0,71.0
48.0,49.0,42.0,67.0,45.0,131.0,128.0,78.0,18.0,60.0
60.0,45.0,46.0,59.0,55.0,149.0,131.0,75.0,20.0,70.0
36.0,40.0,35.0,40.0,57.0,120.0,138.0,65.0,21.0,70.0
40.0,40.0,46.0,51.0,58.0,122.0,121.0,69.0,15.0,63.0
65.0,50.0,47.0,82.0,52.0,162.0,147.0,82.0,26.0,77.0
31.0,34.0,25.0,30.0,45.0,87.0,135.0,47.0,23.0,67.0
38.0,52.0,31.0,45.0,49.0,106.0,147.0,48.0,32.0,67.0
38.0,63.0,27.0,40.0,95.0,112.0,194.0,59.0,17.0,78.0
61.0,42.0,45.0,70.0,59.0,152.0,151.0,68.0,24.0,70.0
49.0,61.0,34.0,61.0,98.0,130.0,205.0,61.0,26.0,88.0
52.0,42.0,41.0,54.0,56.0,136.0,164.0,61.0,29.0,79.0
66.0,56.0,45.0,71.0,63.0,141.0,147.0,67.0,30.0,71.0
54.0,41.0,42.0,58.0,66.0,141.0,151.0,68.0,25.0,70.0
45.0,41.0,35.0,47.0,58.0,121.0,157.0,61.0,25.0,69.0
45.0,51.0,36.0,47.0,65.0,126.0,155.0,62.0,26.0,66.0
