anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
32.0,50.0,32.0,46.0,72.0,114.0,180.0,68.0,22.0,85.0
63.0,43.0,41.0,65.0,60.0,154.0,154.0,72.0,18.0,82.0
43.0,49.0,33.0,48.0,56.0,139.0,157.0,61.0,20.0,89.0
41.0,44.0,41.0,49.0,62.0,125.0,170.0,65.0,24.0,89.0
35.0,52.0,35.0,46.0,59.0,113.0,165.0,66.0,17.0,77.0
37.0,50.0,33.0,48.0,75.0,116.0,182.0,60.0,23.0,75.0
30.0,48.0,32.0,46.0,59.0,123.0,155.0,63.0,19.0,80.0
37.0,42.0,33.0,49.0,56.0,120.0,154.0,60.0,23.0,82.0
33.0,47.0,27.0,40.0,69.0,108.0,171.0,51.0,21.0,74.0
55.0,51.0,37.0,65.0,53.0,146.0,163.0,68.0,18.0,84.0
47.0,55.0,37.0,68.0,64.0,138.0,176.0,65.0,21.0,86.0
44.0,47.0,30.0,46.0,56.0,115.0,154.0,57.0,18.0,74.0
50.0,44.0,40.0,54.0,56.0,157.0,169.0,72.0,23.0,91.0
43.0,49.0,33.0,48.0,56.0,139.0,157.0,61.0,20.0,89.0
37.0,58.0,38.0,54.0,59.0,123.0,161.0,65.0,19.0,76.0
32.0,45.0,25.0,35.0,67.0,109.0,170.0,57.0,13.0,70.0
33.0,51.0,29.0,43.0,54.0,115.0,146.0,64.0,16.0,76.0
50.0,40.0,40.0,53.0,52.0,145.0,146.0,71.0,24.0,77.0
42.0,54.0,36.0,36.0,86.0,122.0,189.0,53.0,22.0,80.0
31.0,44.0,23.0,36.0,74.0,106.0,178.0,49.0,24.0,70.0
42.0,61.0,35.0,52.0,70.0,122.0,185.0,61.0,27.0,87.0
48.0,49.0,32.0,62.0,62.0,134.0,169.0,69.0,21.0,80.0
44.0,54.0,33.0,54.0,60.0,122.0,171.0,63.0,20.0,86.0
36.0,53.0,31.0,43.0,74.0,109.0,188.0,50.0,23.0,78.0
38.0,53.0,31.0,51.0,86.0,117.0,196.0,53.0,26.0,93.0
44.0,50.0,36.0,57.0,63.0,137.0,176.0,69.0,24.0,91.0
27.0,53.0,27.0,42.0,74.0,109.0,193.0,51.0,21.0,87.0
34.0,58.0,33.0,41.0,72.0,84.0,190.0,52.0,20.0,105.0
39.0,48.0,38.0,46.0,61.0,140.0,178.0,63.0,19.0,84.0
42.0,53.0,31.0,49.0,77.0,112.0,183.0,54.0,26.0,80.0
49.0,54.0,41.0,56.0,65.0,133.0,169.0,69.0,21.0,80.0
41.0,44.0,41.0,49.0,62.0,125.0,170.0,65.0,24.0,89.0
33.0,57.0,38.0,51.0,68.0,107.0,170.0,72.0,21.0,85.0
32.0,60.0,33.0,46.0,75.0,105.0,195.0,59.0,21.0,94.0
40.0,48.0,31.0,44.0,47.0,133.0,152.0,62.0,20.0,75.0
38.0,49.0,31.0,52.0,66.0,121.0,179.0,59.0,22.0,89.0
46.0,57.0,36.0,58.0,62.0,127.0,168.0,65.0,22.0,85.0
31.0,51.0,31.0,52.0,59.0,117.0,164.0,59.0,16.0,80.0
42.0,53.0,38.0,54.0,56.0,125.0,165.0,63.0,22.0,87.0
39.0,55.0,37.0,52.0,75.0,124.0,167.0,63.0,20.0,83.0
37.0,57.0,32.0,44.0,77.0,106.0,181.0,57.0,19.0,83.0
38.0,51.0,30.0,49.0,77.0,115.0,187.0,56.0,25.0,79.0
41.0,52.0,36.0,52.0,75.0,125.0,186.0,64.0,25.0,86.0
45.0,48.0,37.0,52.0,61.0,142.0,182.0,64.0,22.0,85.0
31.0,60.0,28.0,42.0,76.0,105.0,189.0,55.0,22.0,78.0
36.0,48.0,31.0,51.0,62.0,123.0,159.0,56.0,27.0,71.0
50.0,50.0,35.0,64.0,70.0,130.0,177.0,61.0,23.0,87.0
32.0,54.0,32.0,43.0,66.0,111.0,171.0,59.0,17.0,85.0
37.0,48.0,31.0,51.0,62.0,111.0,171.0,52.0,25.0,73.0
30.0,55.0,32.0,46.0,63.0,115.0,175.0,55.0,19.0,90.0
42.0,53.0,38.0,54.0,56.0,125.0,165.0,63.0,22.0,87.0
45.0,66.0,42.0,64.0,77.0,137.0,186.0,66.0,24.0,91.0
39.0,57.0,43.0,49.0,66.0,129.0,169.0,74.0,22.0,89.0
39.0,43.0,36.0,48.0,61.0,128.0,156.0,61.0,21.0,77.0
34.0,55.0,32.0,41.0,71.0,90.0,186.0,52.0,21.0,100.0
36.0,49.0,36.0,51.0,65.0,129.0,158.0,59.0,23.0,79.0
40.0,49.0,34.0,44.0,60.0,121.0,165.0,60.0,19.0,76.0
47.0,51.0,35.0,55.0,62.0,130.0,179.0,67.0,22.0,90.0
47.0,54.0,35.0,48.0,57.0,122.0,157.0,54.0,16.0,80.0
29.0,49.0,31.0,43.0,72.0,110.0,187.0,55.0,23.0,86.0
33.0,60.0,34.0,50.0,66.0,121.0,177.0,62.0,23.0,87.0
38.0,62.0,37.0,51.0,91.0,111.0,200.0,56.0,21.0,95.0
47.0,62.0,35.0,50.0,77.0,121.0,182.0,58.0,21.0,82.0
45.0,67.0,42.0,65.0,91.0,141.0,202.0,66.0,28.0,95.0
42.0,59.0,34.0,51.0,80.0,123.0,189.0,57.0,21.0,86.0
42.0,64.0,39.0,52.0,83.0,117.0,194.0,58.0,22.0,93.0
39.0,63.0,38.0,59.0,76.0,120.0,197.0,57.0,24.0,106.0
41.0,54.0,30.0,51.0,60.0,110.0,178.0,55.0,23.0,88.0
38.0,60.0,39.0,43.0,61.0,128.0,170.0,63.0,23.0,91.0
39.0,51.0,35.0,47.0,65.0,127.0,173.0,68.0,20.0,89.0
48.0,48.0,42.0,47.0,60.0,137.0,162.0,74.0,16.0,90.0
48.0,47.0,41.0,53.0,64.0,146.0,180.0,68.0,22.0,94.0
50.0,49.0,40.0,61.0,64.0,138.0,177.0,69.0,23.0,88.0
40.0,57.0,40.0,55.0,63.0,129.0,166.0,66.0,19.0,89.0
33.0,55.0,31.0,49.0,70.0,109.0,176.0,55.0,21.0,81.0
33.0,50.0,35.0,41.0,60.0,109.0,163.0,55.0,17.0,76.0
42.0,49.0,36.0,52.0,67.0,124.0,172.0,64.0,23.0,83.0
35.0,47.0,28.0,40.0,70.0,120.0,168.0,55.0,23.0,73.0
36.0,56.0,37.0,49.0,66.0,112.0,178.0,70.0,19.0,84.0
41.0,55.0,31.0,59.0,73.0,118.0,173.0,57.0,27.0,81.0
43.0,45.0,38.0,50.0,57.0,141.0,160.0,62.0,22.0,78.0
35.0,52.0,41.0,48.0,64.0,113.0,163.0,69.0,20.0,81.0
52.0,30.0,38.0,52.0,46.0,138.0,148.0,61.0,23.0,71.0
60.0,44.0,41.0,68.0,63.0,164.0,163.0,76.0,24.0,82.0
42.0,50.0,41.0,49.0,58.0,120.0,153.0,73.0,13.0,66.0
34.0,50.0,33.0,46.0,65.0,114.0,176.0,59.0,23.0,76.0
36.0,55.0,28.0,49.0,83.0,112.0,188.0,56.0,25.0,78.0
32.0,45.0,32.0,39.0,57.0,102.0,163.0,59.0,19.0,80.0
37.0,58.0,32.0,56.0,79.0,118.0,192.0,71.0,29.0,81.0
35.0,49.0,31.0,40.0,66.0,99.0,185.0,59.0,19.0,91.0
35.0,52.0,29.0,48.0,66.0,119.0,178.0,58.0,22.0,86.0
47.0,54.0,40.0,50.0,64.0,141.0,186.0,69.0,25.0,94.0
31.0,47.0,25.0,37.0,54.0,108.0,152.0,53.0,14.0,66.0
34.0,51.0,24.0,42.0,36.0,115.0,145.0,46.0,20.0,67.0
36.0,45.0,33.0,49.0,60.0,113.0,179.0,59.0,22.0,86.0
33.0,53.0,35.0,48.0,62.0,124.0,169.0,57.0,24.0,80.0
40.0,46.0,39.0,46.0,53.0,124.0,160.0,70.0,20.0,79.0
38.0,52.0,36.0,52.0,59.0,122.0,163.0,62.0,22.0,74.0
32.0,63.0,33.0,48.0,105.0,111.0,223.0,55.0,27.0,86.0
44.0,46.0,32.0,51.0,62.0,126.0,164.0,60.0,19.0,82.0
38.0,49.0,24.0,42.0,91.0,110.0,207.0,50.0,24.0,87.0
40.0,46.0,30.0,31.0,57.0,108.0,179.0,49.0,17.0,82.0
35.0,49.0,35.0,49.0,63.0,120.0,177.0,60.0,24.0,80.0
39.0,57.0,31.0,46.0,59.0,127.0,161.0,64.0,16.0,89.0
44.0,45.0,40.0,48.0,51.0,136.0,153.0,66.0,22.0,75.0
46.0,54.0,34.0,51.0,60.0,134.0,170.0,67.0,20.0,83.0
42.0,43.0,29.0,43.0,45.0,113.0,138.0,55.0,20.0,63.0
34.0,49.0,25.0,45.0,65.0,93.0,176.0,54.0,20.0,74.0
