anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
47.0,35.0,38.0,52.0,60.0,136.0,162.0,67.0,23.0,62.0
49.0,41.0,38.0,52.0,63.0,126.0,156.0,61.0,26.0,70.0
50.0,36.0,38.0,51.0,55.0,133.0,123.0,65.0,17.0,59.0
51.0,32.0,45.0,60.0,50.0,140.0,122.0,75.0,24.0,64.0
44.0,36.0,37.0,52.0,55.0,136.0,143.0,59.0,27.0,61.0
58.0,42.0,43.0,59.0,57.0,139.0,149.0,72.0,22.0,69.0
47.0,35.0,41.0,56.0,50.0,140.0,128.0,70.0,23.0,59.0
42.0,39.0,28.0,45.0,61.0,109.0,136.0,60.0,29.0,63.0
51.0,47.0,41.0,60.0,67.0,136.0,154.0,71.0,24.0,70.0
44.0,34.0,37.0,45.0,52.0,135.0,119.0,67.0,23.0,57.0
35.0,37.0,27.0,45.0,74.0,102.0,172.0,61.0,22.0,78.0
37.0,36.0,28.0,38.0,65.0,113.0,145.0,67.0,21.0,63.0
46.0,36.0,38.0,53.0,58.0,127.0,144.0,58.0,24.0,72.0
26.0,38.0,18.0,21.0,65.0,82.0,151.0,40.0,22.0,61.0
27.0,47.0,17.0,28.0,80.0,96.0,194.0,47.0,22.0,73.0
43.0,31.0,39.0,52.0,51.0,133.0,130.0,63.0,22.0,60.0
36.0,52.0,33.0,42.0,81.0,108.0,177.0,49.0,26.0,78.0
51.0,38.0,41.0,59.0,65.0,131.0,150.0,66.0,27.0,66.0
52.0,44.0,36.0,56.0,64.0,134.0,160.0,66.0,28.0,76.0
46.0,50.0,36.0,50.0,68.0,115.0,164.0,59.0,26.0,78.0
52.0,32.0,49.0,65.0,51.0,145.0,121.0,72.0,27.0,60.0
43.0,31.0,40.0,47.0,51.0,130.0,123.0,61.0,23.0,57.0
31.0,44.0,21.0,32.0,86.0,95.0,188.0,45.0,23.0,71.0
44.0,42.0,38.0,53.0,89.0,133.0,191.0,58.0,30.0,83.0
32.0,36.0,19.0,34.0,67.0,99.0,166.0,50.0,25.0,64.0
54.0,57.0,38.0,55.0,73.0,130.0,167.0,66.0,21.0,85.0
47.0,39.0,39.0,56.0,62.0,134.0,142.0,66.0,23.0,65.0
45.0,37.0,42.0,57.0,74.0,131.0,168.0,62.0,31.0,78.0
32.0,30.0,24.0,31.0,64.0,103.0,159.0,53.0,19.0,57.0
42.0,34.0,39.0,50.0,57.0,131.0,157.0,57.0,29.0,67.0
33.0,37.0,21.0,30.0,73.0,95.0,169.0,50.0,18.0,64.0
41.0,42.0,37.0,53.0,93.0,132.0,208.0,57.0,29.0,94.0
31.0,37.0,19.0,33.0,85.0,88.0,185.0,49.0,22.0,69.0
30.0,36.0,19.0,32.0,82.0,92.0,183.0,46.0,22.0,69.0
42.0,40.0,36.0,51.0,86.0,125.0,191.0,56.0,28.0,86.0
43.0,44.0,44.0,54.0,70.0,132.0,170.0,69.0,29.0,90.0
42.0,38.0,40.0,55.0,72.0,127.0,187.0,73.0,29.0,91.0
45.0,36.0,40.0,50.0,58.0,128.0,148.0,72.0,18.0,76.0
52.0,47.0,38.0,52.0,67.0,132.0,148.0,64.0,26.0,61.0
33.0,32.0,25.0,33.0,43.0,106.0,135.0,49.0,21.0,55.0
40.0,34.0,36.0,48.0,46.0,115.0,121.0,62.0,19.0,53.0
39.0,31.0,35.0,53.0,70.0,129.0,187.0,66.0,28.0,85.0
36.0,42.0,27.0,37.0,72.0,98.0,166.0,57.0,17.0,65.0
41.0,37.0,37.0,59.0,79.0,149.0,178.0,74.0,27.0,80.0
49.0,27.0,41.0,65.0,53.0,141.0,132.0,81.0,20.0,57.0
39.0,35.0,41.0,55.0,65.0,138.0,148.0,75.0,22.0,65.0
45.0,28.0,39.0,52.0,54.0,117.0,140.0,59.0,24.0,68.0
53.0,43.0,42.0,56.0,66.0,134.0,157.0,67.0,28.0,71.0
47.0,35.0,44.0,54.0,49.0,134.0,128.0,63.0,27.0,65.0
54.0,43.0,43.0,61.0,55.0,136.0,132.0,76.0,21.0,63.0
53.0,39.0,43.0,55.0,73.0,131.0,190.0,78.0,31.0,98.0
55.0,42.0,44.0,59.0,50.0,133.0,132.0,69.0,22.0,64.0
56.0,41.0,44.0,61.0,56.0,138.0,134.0,77.0,22.0,67.0
40.0,34.0,39.0,50.0,61.0,131.0,160.0,60.0,28.0,74.0
38.0,40.0,34.0,38.0,52.0,112.0,148.0,50.0,23.0,70.0
51.0,41.0,35.0,53.0,65.0,136.0,139.0,62.0,20.0,69.0
39.0,34.0,38.0,51.0,71.0,122.0,169.0,58.0,27.0,76.0
29.0,31.0,18.0,27.0,66.0,90.0,165.0,49.0,18.0,61.0
51.0,40.0,40.0,62.0,56.0,133.0,139.0,75.0,23.0,67.0
65.0,42.0,54.0,65.0,72.0,156.0,184.0,86.0,31.0,97.0
54.0,40.0,44.0,61.0,54.0,143.0,136.0,73.0,24.0,63.0
46.0,43.0,33.0,54.0,59.0,135.0,147.0,69.0,22.0,64.0
38.0,39.0,35.0,51.0,83.0,129.0,180.0,55.0,30.0,80.0
30.0,35.0,20.0,29.0,72.0,89.0,172.0,45.0,20.0,63.0
46.0,43.0,33.0,54.0,59.0,135.0,147.0,69.0,22.0,64.0
