anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
44.0,59.0,39.0,69.0,71.0,183.0,217.0,98.0,26.0,98.0
41.0,59.0,40.0,84.0,77.0,210.0,218.0,109.0,20.0,100.0
48.0,45.0,36.0,67.0,51.0,180.0,202.0,93.0,21.0,80.0
46.0,54.0,37.0,84.0,64.0,197.0,208.0,107.0,19.0,89.0
47.0,75.0,37.0,67.0,87.0,161.0,256.0,81.0,21.0,104.0
42.0,67.0,29.0,66.0,76.0,146.0,232.0,96.0,16.0,107.0
42.0,67.0,31.0,51.0,85.0,149.0,238.0,85.0,13.0,103.0
41.0,59.0,40.0,84.0,77.0,210.0,218.0,109.0,20.0,100.0
46.0,54.0,37.0,84.0,64.0,197.0,208.0,107.0,19.0,89.0
42.0,57.0,35.0,61.0,81.0,158.0,223.0,83.0,15.0,92.0
42.0,50.0,41.0,69.0,63.0,184.0,208.0,99.0,20.0,93.0
