anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
42.0,57.0,30.0,56.0,81.0,153.0,223.0,83.0,15.0,92.0
44.0,51.0,33.0,52.0,71.0,149.0,228.0,81.0,18.0,97.0
49.0,55.0,44.0,72.0,73.0,190.0,227.0,92.0,32.0,105.0
44.0,60.0,42.0,60.0,76.0,158.0,227.0,84.0,27.0,103.0
51.0,56.0,39.0,56.0,52.0,174.0,185.0,90.0,24.0,86.0
47.0,65.0,33.0,59.0,54.0,169.0,198.0,83.0,19.0,92.0
43.0,67.0,30.0,68.0,104.0,168.0,244.0,94.0,25.0,115.0
44.0,61.0,27.0,43.0,92.0,149.0,216.0,77.0,23.0,97.0
43.0,61.0,29.0,39.0,87.0,131.0,241.0,72.0,27.0,105.0
40.0,62.0,24.0,38.0,91.0,136.0,240.0,66.0,24.0,97.0
45.0,51.0,33.0,40.0,65.0,121.0,226.0,71.0,19.0,101.0
45.0,60.0,31.0,63.0,69.0,185.0,220.0,95.0,28.0,119.0
62.0,49.0,41.0,63.0,54.0,191.0,187.0,97.0,14.0,81.0
56.0,52.0,39.0,70.0,52.0,196.0,181.0,102.0,21.0,85.0
55.0,56.0,38.0,55.0,54.0,175.0,183.0,91.0,24.0,79.0
54.0,65.0,38.0,56.0,60.0,180.0,186.0,92.0,23.0,88.0
47.0,57.0,40.0,64.0,66.0,194.0,213.0,100.0,24.0,95.0
47.0,61.0,39.0,64.0,69.0,188.0,214.0,101.0,22.0,91.0
51.0,66.0,33.0,53.0,87.0,157.0,206.0,89.0,25.0,97.0
47.0,61.0,29.0,55.0,80.0,156.0,202.0,85.0,25.0,87.0
46.0,58.0,38.0,51.0,55.0,162.0,208.0,87.0,19.0,89.0
53.0,68.0,37.0,66.0,68.0,166.0,219.0,95.0,19.0,95.0
42.0,66.0,28.0,60.0,81.0,155.0,238.0,82.0,16.0,102.0
50.0,60.0,40.0,73.0,66.0,193.0,204.0,96.0,26.0,102.0
