anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
68.0,61.0,37.0,72.0,65.0,177.0,214.0,89.0,29.0,90.0
66.0,68.0,41.0,78.0,69.0,184.0,211.0,95.0,23.0,93.0
47.0,77.0,51.0,66.0,80.0,183.0,203.0,91.0,31.0,96.0
59.0,64.0,39.0,85.0,52.0,174.0,182.0,113.0,17.0,83.0
71.0,51.0,53.0,82.0,52.0,205.0,178.0,109.0,17.0,83.0
41.0,50.0,33.0,54.0,65.0,170.0,202.0,95.0,19.0,104.0
45.0,49.0,40.0,66.0,67.0,167.0,186.0,104.0,10.0,93.0
67.0,53.0,47.0,96.0,49.0,209.0,199.0,107.0,21.0,94.0
43.0,51.0,31.0,44.0,54.0,131.0,212.0,78.0,22.0,97.0
45.0,58.0,36.0,54.0,51.0,150.0,207.0,84.0,21.0,102.0
50.0,75.0,33.0,52.0,94.0,155.0,223.0,84.0,14.0,101.0
73.0,47.0,48.0,90.0,53.0,203.0,197.0,100.0,23.0,88.0
62.0,71.0,34.0,74.0,91.0,164.0,234.0,86.0,25.0,108.0
58.0,52.0,43.0,75.0,56.0,185.0,213.0,91.0,34.0,94.0
78.0,60.0,49.0,92.0,62.0,190.0,200.0,99.0,28.0,95.0
63.0,49.0,49.0,76.0,59.0,193.0,204.0,100.0,22.0,90.0
53.0,46.0,42.0,65.0,55.0,175.0,209.0,94.0,22.0,89.0
50.0,64.0,44.0,64.0,68.0,167.0,199.0,85.0,26.0,88.0
