anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
42.0,68.0,31.0,60.0,77.0,157.0,234.0,91.0,17.0,108.0
69.0,49.0,50.0,85.0,52.0,210.0,202.0,102.0,14.0,95.0
50.0,61.0,36.0,68.0,52.0,193.0,220.0,89.0,16.0,105.0
47.0,49.0,41.0,65.0,53.0,180.0,231.0,92.0,18.0,106.0
41.0,60.0,31.0,60.0,59.0,168.0,214.0,89.0,14.0,94.0
46.0,57.0,34.0,61.0,67.0,168.0,239.0,89.0,24.0,89.0
45.0,56.0,38.0,65.0,58.0,191.0,212.0,92.0,14.0,101.0
45.0,52.0,31.0,66.0,62.0,175.0,225.0,87.0,21.0,104.0
43.0,57.0,38.0,59.0,72.0,164.0,240.0,78.0,26.0,99.0
56.0,58.0,35.0,84.0,47.0,190.0,209.0,93.0,14.0,100.0
51.0,61.0,37.0,86.0,51.0,191.0,216.0,92.0,15.0,105.0
47.0,55.0,30.0,62.0,53.0,173.0,212.0,82.0,15.0,101.0
52.0,55.0,38.0,78.0,52.0,206.0,224.0,92.0,24.0,105.0
50.0,61.0,36.0,68.0,52.0,193.0,220.0,89.0,16.0,105.0
44.0,71.0,30.0,68.0,60.0,177.0,209.0,91.0,15.0,105.0
45.0,55.0,30.0,54.0,72.0,152.0,231.0,82.0,10.0,98.0
44.0,59.0,31.0,56.0,58.0,177.0,210.0,89.0,12.0,102.0
48.0,53.0,37.0,57.0,52.0,187.0,194.0,98.0,22.0,99.0
49.0,65.0,46.0,53.0,83.0,167.0,225.0,76.0,19.0,103.0
43.0,55.0,34.0,53.0,73.0,143.0,233.0,78.0,25.0,100.0
44.0,72.0,37.0,69.0,65.0,182.0,225.0,87.0,22.0,110.0
51.0,63.0,34.0,80.0,66.0,175.0,215.0,93.0,20.0,100.0
53.0,59.0,33.0,68.0,54.0,181.0,222.0,93.0,15.0,100.0
47.0,60.0,39.0,64.0,69.0,155.0,233.0,79.0,21.0,102.0
41.0,58.0,30.0,59.0,80.0,168.0,252.0,76.0,23.0,118.0
51.0,54.0,37.0,70.0,50.0,195.0,222.0,92.0,19.0,104.0
37.0,58.0,29.0,55.0,71.0,164.0,247.0,74.0,16.0,121.0
41.0,67.0,27.0,56.0,69.0,130.0,262.0,77.0,15.0,135.0
42.0,55.0,34.0,65.0,54.0,198.0,222.0,86.0,15.0,101.0
51.0,58.0,36.0,57.0,70.0,157.0,233.0,82.0,24.0,104.0
54.0,63.0,37.0,73.0,61.0,186.0,218.0,94.0,17.0,95.0
47.0,49.0,41.0,65.0,53.0,180.0,231.0,92.0,18.0,106.0
46.0,64.0,34.0,62.0,71.0,154.0,227.0,94.0,14.0,120.0
41.0,69.0,30.0,60.0,74.0,165.0,259.0,85.0,17.0,124.0
49.0,54.0,36.0,65.0,45.0,190.0,206.0,92.0,17.0,100.0
44.0,56.0,31.0,65.0,61.0,174.0,230.0,86.0,18.0,108.0
49.0,66.0,36.0,77.0,54.0,184.0,210.0,90.0,17.0,108.0
42.0,63.0,29.0,58.0,58.0,162.0,219.0,83.0,15.0,106.0
53.0,54.0,35.0,67.0,52.0,182.0,235.0,89.0,15.0,114.0
44.0,64.0,37.0,63.0,70.0,183.0,215.0,87.0,17.0,107.0
46.0,75.0,33.0,60.0,79.0,157.0,243.0,82.0,16.0,114.0
44.0,59.0,35.0,61.0,73.0,168.0,236.0,81.0,24.0,101.0
44.0,70.0,36.0,62.0,81.0,165.0,244.0,86.0,30.0,107.0
43.0,57.0,31.0,66.0,53.0,187.0,228.0,82.0,19.0,95.0
36.0,66.0,24.0,52.0,71.0,149.0,241.0,78.0,21.0,102.0
46.0,53.0,36.0,65.0,56.0,175.0,216.0,86.0,28.0,93.0
53.0,55.0,39.0,82.0,58.0,176.0,225.0,89.0,20.0,100.0
