anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
50.0,43.0,41.0,74.0,54.0,181.0,203.0,88.0,27.0,77.0
52.0,44.0,45.0,77.0,57.0,198.0,191.0,101.0,16.0,85.0
51.0,42.0,37.0,68.0,56.0,185.0,186.0,107.0,19.0,87.0
59.0,37.0,42.0,81.0,55.0,210.0,177.0,101.0,16.0,86.0
50.0,44.0,43.0,78.0,59.0,190.0,198.0,89.0,24.0,84.0
58.0,48.0,41.0,86.0,56.0,199.0,200.0,96.0,15.0,98.0
53.0,41.0,43.0,79.0,53.0,193.0,181.0,99.0,18.0,81.0
48.0,66.0,29.0,57.0,84.0,158.0,208.0,95.0,38.0,100.0
60.0,58.0,48.0,82.0,66.0,189.0,208.0,100.0,22.0,94.0
51.0,53.0,41.0,69.0,67.0,184.0,193.0,100.0,26.0,94.0
40.0,54.0,26.0,61.0,90.0,146.0,251.0,84.0,28.0,120.0
48.0,44.0,43.0,64.0,67.0,157.0,193.0,91.0,20.0,89.0
55.0,44.0,43.0,76.0,57.0,184.0,206.0,92.0,23.0,98.0
50.0,86.0,38.0,42.0,109.0,144.0,231.0,73.0,31.0,129.0
44.0,66.0,32.0,49.0,84.0,138.0,224.0,68.0,24.0,105.0
54.0,40.0,44.0,78.0,54.0,201.0,176.0,97.0,21.0,84.0
54.0,34.0,50.0,68.0,44.0,185.0,165.0,98.0,17.0,64.0
60.0,31.0,45.0,83.0,47.0,186.0,171.0,104.0,16.0,76.0
56.0,53.0,40.0,78.0,62.0,180.0,212.0,92.0,27.0,95.0
52.0,64.0,36.0,70.0,77.0,175.0,234.0,91.0,21.0,120.0
56.0,35.0,50.0,86.0,54.0,198.0,187.0,98.0,20.0,80.0
54.0,36.0,48.0,78.0,53.0,186.0,180.0,92.0,22.0,78.0
46.0,62.0,33.0,58.0,90.0,130.0,239.0,66.0,23.0,112.0
52.0,50.0,48.0,79.0,77.0,181.0,227.0,85.0,30.0,102.0
46.0,48.0,32.0,54.0,70.0,144.0,212.0,77.0,24.0,95.0
58.0,67.0,40.0,76.0,77.0,188.0,230.0,93.0,15.0,112.0
57.0,46.0,44.0,75.0,60.0,185.0,195.0,99.0,24.0,84.0
48.0,43.0,44.0,77.0,66.0,188.0,214.0,91.0,23.0,96.0
47.0,43.0,38.0,56.0,67.0,140.0,210.0,80.0,19.0,92.0
46.0,43.0,46.0,72.0,61.0,190.0,215.0,81.0,27.0,93.0
45.0,44.0,38.0,59.0,79.0,135.0,243.0,74.0,21.0,105.0
44.0,55.0,41.0,76.0,85.0,180.0,260.0,83.0,22.0,114.0
46.0,54.0,39.0,60.0,91.0,130.0,249.0,72.0,24.0,113.0
44.0,53.0,36.0,56.0,87.0,129.0,243.0,69.0,23.0,112.0
48.0,51.0,42.0,74.0,77.0,178.0,240.0,84.0,24.0,112.0
51.0,54.0,43.0,76.0,64.0,189.0,217.0,98.0,19.0,107.0
51.0,55.0,43.0,75.0,71.0,180.0,241.0,96.0,24.0,116.0
54.0,47.0,42.0,75.0,63.0,179.0,204.0,100.0,16.0,101.0
51.0,39.0,42.0,80.0,52.0,188.0,187.0,101.0,19.0,83.0
47.0,41.0,34.0,54.0,47.0,164.0,193.0,79.0,29.0,86.0
54.0,42.0,44.0,72.0,48.0,167.0,185.0,92.0,20.0,81.0
45.0,37.0,33.0,72.0,64.0,175.0,238.0,94.0,30.0,92.0
46.0,47.0,38.0,59.0,74.0,138.0,221.0,78.0,18.0,91.0
50.0,61.0,47.0,86.0,81.0,200.0,221.0,99.0,22.0,104.0
56.0,37.0,46.0,89.0,54.0,203.0,184.0,110.0,15.0,81.0
47.0,51.0,47.0,86.0,69.0,196.0,196.0,105.0,19.0,89.0
54.0,30.0,40.0,73.0,52.0,154.0,204.0,90.0,26.0,92.0
54.0,50.0,42.0,77.0,61.0,190.0,196.0,94.0,22.0,93.0
49.0,49.0,41.0,75.0,60.0,184.0,196.0,96.0,25.0,100.0
55.0,47.0,38.0,80.0,56.0,191.0,182.0,103.0,15.0,77.0
56.0,41.0,35.0,74.0,74.0,182.0,236.0,101.0,19.0,110.0
58.0,46.0,38.0,77.0,51.0,187.0,183.0,95.0,15.0,84.0
55.0,45.0,39.0,80.0,54.0,191.0,190.0,101.0,14.0,88.0
42.0,42.0,42.0,74.0,62.0,189.0,213.0,86.0,24.0,97.0
38.0,51.0,40.0,54.0,52.0,157.0,209.0,75.0,29.0,96.0
59.0,50.0,45.0,79.0,67.0,196.0,198.0,97.0,17.0,95.0
47.0,41.0,49.0,77.0,68.0,191.0,224.0,92.0,22.0,99.0
46.0,40.0,37.0,55.0,70.0,130.0,229.0,75.0,21.0,98.0
59.0,45.0,41.0,85.0,58.0,189.0,196.0,105.0,17.0,91.0
64.0,42.0,42.0,82.0,71.0,198.0,235.0,107.0,18.0,114.0
55.0,45.0,39.0,81.0,55.0,197.0,190.0,99.0,18.0,85.0
56.0,56.0,42.0,75.0,64.0,182.0,198.0,98.0,22.0,88.0
49.0,54.0,46.0,73.0,77.0,180.0,229.0,83.0,31.0,105.0
