anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
5.0,9.0,0.0,3.0,1.0,18.0,11.0,8.0,9.0,3.0
6.0,22.0,0.0,5.0,12.0,19.0,31.0,10.0,13.0,12.0
7.0,15.0,0.0,4.0,5.0,16.0,19.0,9.0,11.0,4.0
5.0,12.0,0.0,5.0,3.0,21.0,13.0,10.0,12.0,4.0
6.0,11.0,0.0,6.0,4.0,21.0,16.0,10.0,10.0,4.0
6.0,17.0,0.0,4.0,9.0,14.0,18.0,9.0,12.0,6.0
10.0,15.0,0.0,5.0,7.0,13.0,20.0,10.0,11.0,1.0
6.0,22.0,0.0,5.0,12.0,19.0,31.0,10.0,13.0,12.0
5.0,12.0,0.0,5.0,3.0,21.0,13.0,10.0,12.0,4.0
13.0,22.0,2.0,8.0,14.0,22.0,37.0,13.0,13.0,12.0
4.0,15.0,0.0,4.0,6.0,21.0,12.0,11.0,12.0,5.0
