anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
10.0,26.0,0.0,8.0,14.0,21.0,39.0,9.0,11.0,13.0
8.0,9.0,1.0,4.0,2.0,13.0,18.0,9.0,11.0,1.0
11.0,12.0,0.0,5.0,5.0,22.0,15.0,10.0,10.0,5.0
6.0,11.0,0.0,5.0,3.0,23.0,19.0,10.0,11.0,4.0
4.0,13.0,0.0,3.0,4.0,17.0,20.0,8.0,10.0,8.0
10.0,23.0,0.0,7.0,12.0,13.0,31.0,9.0,11.0,7.0
8.0,17.0,0.0,7.0,7.0,22.0,18.0,13.0,12.0,2.0
8.0,17.0,0.0,6.0,10.0,16.0,17.0,13.0,10.0,5.0
7.0,13.0,0.0,6.0,6.0,17.0,17.0,11.0,12.0,5.0
6.0,12.0,0.0,4.0,4.0,14.0,10.0,9.0,11.0,2.0
4.0,10.0,0.0,4.0,1.0,11.0,12.0,9.0,8.0,3.0
4.0,10.0,0.0,1.0,0.0,16.0,11.0,6.0,9.0,4.0
9.0,9.0,0.0,5.0,1.0,24.0,6.0,13.0,10.0,1.0
5.0,14.0,0.0,4.0,6.0,15.0,16.0,11.0,11.0,3.0
7.0,10.0,0.0,5.0,2.0,21.0,12.0,10.0,11.0,4.0
6.0,10.0,0.0,3.0,2.0,19.0,10.0,8.0,11.0,2.0
5.0,14.0,0.0,7.0,5.0,24.0,15.0,10.0,10.0,3.0
4.0,16.0,0.0,6.0,7.0,16.0,19.0,9.0,11.0,1.0
6.0,14.0,0.0,5.0,5.0,18.0,16.0,10.0,10.0,1.0
4.0,13.0,0.0,4.0,5.0,16.0,11.0,10.0,10.0,0.0
9.0,15.0,0.0,5.0,6.0,18.0,19.0,10.0,11.0,4.0
9.0,16.0,0.0,5.0,6.0,25.0,17.0,10.0,12.0,6.0
7.0,19.0,0.0,5.0,10.0,13.0,25.0,7.0,11.0,4.0
8.0,16.0,0.0,6.0,8.0,16.0,19.0,10.0,11.0,2.0
