anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
7.0,9.0,0.0,5.0,2.0,19.0,12.0,10.0,10.0,4.0
10.0,15.0,0.0,6.0,7.0,17.0,22.0,10.0,11.0,3.0
8.0,10.0,0.0,5.0,4.0,20.0,9.0,10.0,11.0,1.0
8.0,18.0,0.0,5.0,10.0,18.0,18.0,9.0,14.0,4.0
12.0,15.0,0.0,5.0,5.0,14.0,24.0,10.0,10.0,1.0
10.0,15.0,1.0,5.0,8.0,12.0,19.0,9.0,10.0,8.0
11.0,17.0,1.0,6.0,8.0,15.0,17.0,10.0,12.0,7.0
9.0,12.0,0.0,5.0,2.0,22.0,10.0,10.0,11.0,1.0
4.0,8.0,0.0,4.0,0.0,12.0,10.0,11.0,10.0,1.0
5.0,9.0,0.0,3.0,2.0,14.0,19.0,9.0,10.0,7.0
5.0,9.0,0.0,3.0,2.0,14.0,19.0,9.0,10.0,7.0
9.0,16.0,0.0,5.0,7.0,17.0,19.0,10.0,12.0,2.0
9.0,13.0,1.0,6.0,4.0,19.0,27.0,10.0,11.0,3.0
12.0,10.0,0.0,5.0,4.0,21.0,20.0,11.0,11.0,4.0
6.0,14.0,0.0,5.0,6.0,17.0,16.0,10.0,10.0,4.0
8.0,16.0,0.0,4.0,8.0,18.0,16.0,10.0,11.0,3.0
4.0,10.0,0.0,4.0,2.0,16.0,19.0,10.0,10.0,3.0
9.0,17.0,0.0,5.0,8.0,16.0,22.0,10.0,12.0,2.0
