anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
9.0,20.0,0.0,5.0,9.0,15.0,14.0,11.0,13.0,4.0
10.0,9.0,0.0,5.0,1.0,23.0,7.0,11.0,10.0,1.0
11.0,9.0,0.0,6.0,1.0,23.0,6.0,9.0,10.0,1.0
15.0,16.0,0.0,9.0,4.0,28.0,17.0,10.0,11.0,3.0
13.0,11.0,0.0,8.0,3.0,26.0,10.0,9.0,10.0,2.0
19.0,9.0,0.0,12.0,2.0,29.0,13.0,10.0,11.0,3.0
10.0,9.0,0.0,7.0,1.0,24.0,11.0,10.0,10.0,0.0
13.0,7.0,0.0,8.0,0.0,24.0,7.0,9.0,10.0,0.0
10.0,8.0,0.0,8.0,1.0,23.0,11.0,9.0,11.0,0.0
2.0,11.0,0.0,0.0,4.0,7.0,14.0,5.0,9.0,3.0
