anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
8.0,10.0,0.0,3.0,2.0,17.0,10.0,8.0,10.0,4.0
10.0,9.0,0.0,5.0,2.0,23.0,9.0,10.0,10.0,2.0
7.0,8.0,0.0,2.0,1.0,21.0,6.0,7.0,10.0,1.0
7.0,7.0,0.0,2.0,0.0,21.0,5.0,7.0,10.0,0.0
8.0,8.0,0.0,4.0,1.0,23.0,8.0,9.0,10.0,3.0
10.0,7.0,0.0,6.0,0.0,21.0,10.0,9.0,10.0,5.0
10.0,8.0,0.0,4.0,1.0,22.0,7.0,9.0,10.0,1.0
7.0,7.0,0.0,2.0,0.0,20.0,9.0,7.0,10.0,3.0
5.0,6.0,0.0,3.0,0.0,16.0,8.0,8.0,9.0,2.0
4.0,11.0,0.0,3.0,2.0,14.0,8.0,8.0,10.0,2.0
