anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
23.0,37.0,21.0,36.0,19.0,59.0,66.0,33.0,35.0,54.0
21.0,41.0,36.0,32.0,25.0,46.0,74.0,40.0,54.0,70.0
26.0,38.0,22.0,38.0,16.0,48.0,70.0,37.0,43.0,53.0
24.0,37.0,33.0,38.0,17.0,51.0,63.0,43.0,56.0,55.0
21.0,38.0,33.0,32.0,22.0,43.0,61.0,39.0,50.0,63.0
25.0,39.0,29.0,32.0,24.0,46.0,69.0,41.0,43.0,65.0
25.0,40.0,31.0,24.0,29.0,34.0,57.0,32.0,47.0,59.0
21.0,41.0,36.0,32.0,25.0,46.0,74.0,40.0,54.0,70.0
24.0,37.0,33.0,38.0,17.0,51.0,63.0,43.0,56.0,55.0
28.0,40.0,30.0,25.0,28.0,43.0,69.0,31.0,48.0,59.0
21.0,41.0,34.0,41.0,24.0,50.0,62.0,39.0,56.0,64.0
