anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
20.0,44.0,30.0,23.0,31.0,39.0,68.0,28.0,48.0,63.0
24.0,26.0,25.0,25.0,14.0,36.0,43.0,31.0,39.0,46.0
29.0,41.0,25.0,38.0,22.0,53.0,70.0,44.0,47.0,65.0
24.0,41.0,33.0,32.0,25.0,52.0,75.0,41.0,51.0,68.0
23.0,36.0,27.0,35.0,32.0,49.0,84.0,36.0,42.0,83.0
28.0,47.0,29.0,31.0,34.0,38.0,79.0,36.0,51.0,67.0
28.0,44.0,21.0,46.0,25.0,61.0,73.0,40.0,46.0,51.0
23.0,38.0,21.0,25.0,30.0,41.0,51.0,29.0,42.0,46.0
24.0,39.0,27.0,27.0,25.0,37.0,59.0,35.0,46.0,64.0
25.0,35.0,21.0,38.0,14.0,50.0,59.0,32.0,40.0,45.0
18.0,32.0,28.0,23.0,21.0,32.0,50.0,29.0,41.0,58.0
20.0,33.0,23.0,32.0,14.0,52.0,61.0,30.0,34.0,60.0
26.0,37.0,22.0,43.0,19.0,59.0,65.0,34.0,42.0,54.0
25.0,39.0,29.0,29.0,27.0,47.0,65.0,37.0,47.0,67.0
31.0,34.0,32.0,40.0,18.0,54.0,66.0,41.0,45.0,69.0
26.0,32.0,24.0,41.0,16.0,57.0,63.0,37.0,38.0,52.0
20.0,37.0,30.0,38.0,22.0,50.0,55.0,37.0,50.0,51.0
26.0,40.0,29.0,32.0,25.0,47.0,64.0,37.0,46.0,56.0
25.0,38.0,30.0,30.0,28.0,48.0,59.0,37.0,45.0,59.0
23.0,37.0,20.0,40.0,22.0,51.0,53.0,40.0,38.0,42.0
26.0,36.0,27.0,29.0,23.0,43.0,63.0,34.0,43.0,60.0
30.0,41.0,23.0,42.0,20.0,61.0,66.0,41.0,42.0,58.0
30.0,41.0,28.0,31.0,26.0,41.0,57.0,41.0,44.0,52.0
26.0,38.0,30.0,29.0,22.0,44.0,63.0,33.0,42.0,51.0
