anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
27.0,38.0,28.0,40.0,26.0,50.0,73.0,40.0,45.0,74.0
24.0,36.0,32.0,25.0,27.0,40.0,60.0,31.0,47.0,62.0
24.0,33.0,20.0,37.0,15.0,57.0,59.0,33.0,33.0,42.0
25.0,45.0,26.0,37.0,24.0,47.0,76.0,38.0,46.0,49.0
27.0,33.0,24.0,24.0,21.0,36.0,56.0,30.0,39.0,48.0
20.0,42.0,31.0,30.0,23.0,42.0,77.0,27.0,49.0,74.0
28.0,38.0,20.0,39.0,19.0,51.0,72.0,34.0,38.0,49.0
31.0,35.0,26.0,36.0,13.0,56.0,63.0,37.0,38.0,51.0
22.0,31.0,24.0,34.0,20.0,38.0,66.0,32.0,41.0,69.0
21.0,34.0,25.0,32.0,22.0,42.0,87.0,27.0,37.0,76.0
21.0,34.0,25.0,32.0,22.0,42.0,87.0,27.0,37.0,76.0
26.0,42.0,30.0,28.0,32.0,45.0,63.0,37.0,46.0,62.0
26.0,37.0,33.0,36.0,26.0,51.0,79.0,40.0,51.0,78.0
25.0,39.0,31.0,31.0,30.0,49.0,71.0,39.0,50.0,70.0
26.0,39.0,31.0,30.0,27.0,49.0,66.0,40.0,47.0,62.0
24.0,46.0,20.0,33.0,27.0,50.0,77.0,36.0,38.0,46.0
17.0,28.0,30.0,25.0,22.0,46.0,61.0,31.0,42.0,66.0
23.0,40.0,31.0,25.0,30.0,39.0,57.0,32.0,45.0,55.0
