anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
31.0,43.0,20.0,38.0,23.0,55.0,71.0,37.0,37.0,50.0
29.0,35.0,16.0,43.0,15.0,54.0,63.0,31.0,37.0,46.0
31.0,35.0,20.0,42.0,13.0,61.0,63.0,32.0,37.0,48.0
37.0,36.0,23.0,40.0,19.0,59.0,74.0,34.0,40.0,55.0
32.0,31.0,20.0,38.0,15.0,57.0,57.0,31.0,38.0,43.0
37.0,28.0,24.0,44.0,12.0,63.0,68.0,29.0,37.0,51.0
29.0,30.0,24.0,40.0,12.0,60.0,68.0,34.0,37.0,48.0
31.0,31.0,23.0,38.0,12.0,58.0,65.0,29.0,36.0,49.0
28.0,30.0,21.0,38.0,12.0,57.0,68.0,30.0,35.0,48.0
19.0,34.0,4.0,32.0,12.0,43.0,63.0,27.0,23.0,47.0
