anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
31.0,48.0,19.0,37.0,22.0,49.0,74.0,37.0,44.0,66.0
28.0,33.0,18.0,39.0,13.0,55.0,61.0,33.0,29.0,41.0
32.0,43.0,28.0,41.0,25.0,49.0,73.0,42.0,43.0,68.0
33.0,31.0,25.0,47.0,13.0,59.0,72.0,36.0,37.0,54.0
27.0,37.0,19.0,42.0,17.0,55.0,67.0,36.0,38.0,51.0
27.0,41.0,23.0,42.0,21.0,51.0,73.0,41.0,48.0,54.0
34.0,35.0,27.0,47.0,16.0,58.0,70.0,42.0,41.0,64.0
29.0,36.0,22.0,41.0,18.0,58.0,62.0,36.0,38.0,57.0
28.0,37.0,34.0,32.0,27.0,44.0,89.0,37.0,47.0,71.0
37.0,43.0,29.0,45.0,27.0,57.0,78.0,38.0,49.0,69.0
27.0,34.0,14.0,43.0,10.0,48.0,52.0,33.0,29.0,41.0
30.0,34.0,21.0,39.0,12.0,57.0,54.0,36.0,37.0,38.0
25.0,33.0,18.0,33.0,17.0,55.0,71.0,31.0,32.0,52.0
31.0,33.0,20.0,43.0,16.0,54.0,75.0,35.0,27.0,54.0
24.0,39.0,30.0,40.0,27.0,45.0,71.0,36.0,43.0,70.0
25.0,38.0,22.0,44.0,22.0,50.0,79.0,35.0,42.0,62.0
27.0,35.0,19.0,44.0,14.0,57.0,60.0,38.0,34.0,47.0
20.0,37.0,28.0,40.0,22.0,54.0,67.0,38.0,51.0,65.0
25.0,36.0,28.0,33.0,28.0,49.0,86.0,38.0,46.0,73.0
27.0,36.0,22.0,38.0,17.0,48.0,69.0,38.0,42.0,49.0
36.0,35.0,23.0,52.0,12.0,62.0,67.0,36.0,41.0,46.0
25.0,42.0,31.0,35.0,27.0,48.0,79.0,40.0,47.0,69.0
27.0,32.0,24.0,37.0,17.0,53.0,68.0,29.0,35.0,55.0
33.0,34.0,26.0,47.0,14.0,56.0,67.0,34.0,43.0,54.0
26.0,41.0,33.0,35.0,31.0,50.0,72.0,40.0,47.0,71.0
31.0,32.0,27.0,35.0,16.0,52.0,67.0,39.0,39.0,49.0
32.0,41.0,30.0,32.0,23.0,50.0,79.0,37.0,42.0,67.0
27.0,32.0,24.0,37.0,17.0,53.0,68.0,29.0,35.0,55.0
28.0,32.0,19.0,45.0,13.0,55.0,59.0,38.0,34.0,45.0
21.0,41.0,30.0,37.0,28.0,50.0,65.0,37.0,41.0,68.0
35.0,36.0,27.0,51.0,15.0,61.0,75.0,39.0,42.0,58.0
33.0,31.0,25.0,47.0,13.0,59.0,72.0,36.0,37.0,54.0
23.0,32.0,20.0,42.0,17.0,58.0,62.0,33.0,33.0,53.0
35.0,47.0,32.0,39.0,27.0,48.0,84.0,40.0,49.0,59.0
25.0,28.0,23.0,35.0,13.0,52.0,63.0,31.0,31.0,54.0
35.0,31.0,21.0,52.0,11.0,62.0,67.0,38.0,33.0,53.0
28.0,37.0,24.0,40.0,13.0,51.0,66.0,36.0,36.0,47.0
28.0,45.0,24.0,41.0,29.0,50.0,81.0,37.0,41.0,67.0
28.0,34.0,20.0,42.0,14.0,48.0,63.0,32.0,36.0,52.0
25.0,40.0,22.0,41.0,24.0,56.0,70.0,43.0,43.0,60.0
32.0,37.0,23.0,41.0,19.0,53.0,79.0,34.0,42.0,62.0
25.0,46.0,26.0,42.0,30.0,50.0,73.0,41.0,47.0,62.0
24.0,40.0,22.0,42.0,24.0,57.0,70.0,43.0,46.0,59.0
29.0,30.0,21.0,49.0,10.0,56.0,69.0,39.0,33.0,53.0
25.0,45.0,27.0,43.0,27.0,52.0,79.0,36.0,46.0,64.0
