anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
31.0,33.0,22.0,36.0,19.0,56.0,71.0,39.0,37.0,51.0
33.0,29.0,18.0,39.0,12.0,58.0,66.0,36.0,31.0,46.0
29.0,28.0,15.0,36.0,11.0,53.0,54.0,31.0,31.0,39.0
28.0,33.0,19.0,33.0,12.0,58.0,59.0,31.0,31.0,44.0
23.0,30.0,21.0,29.0,15.0,57.0,67.0,32.0,30.0,49.0
30.0,31.0,19.0,35.0,15.0,54.0,61.0,34.0,36.0,42.0
27.0,32.0,20.0,35.0,14.0,60.0,66.0,36.0,34.0,49.0
18.0,31.0,26.0,29.0,14.0,45.0,60.0,37.0,40.0,48.0
30.0,29.0,20.0,33.0,9.0,54.0,58.0,33.0,32.0,45.0
26.0,35.0,18.0,34.0,16.0,54.0,69.0,38.0,36.0,46.0
22.0,36.0,28.0,34.0,18.0,46.0,62.0,39.0,48.0,51.0
26.0,32.0,16.0,32.0,14.0,50.0,65.0,35.0,31.0,41.0
32.0,27.0,15.0,40.0,10.0,57.0,67.0,32.0,30.0,41.0
21.0,34.0,29.0,19.0,19.0,31.0,54.0,28.0,43.0,53.0
23.0,46.0,28.0,22.0,30.0,42.0,79.0,34.0,45.0,74.0
31.0,35.0,22.0,35.0,19.0,56.0,68.0,36.0,36.0,49.0
30.0,30.0,15.0,35.0,12.0,53.0,73.0,32.0,31.0,44.0
30.0,32.0,21.0,32.0,13.0,52.0,64.0,36.0,37.0,44.0
30.0,38.0,15.0,35.0,24.0,58.0,71.0,35.0,30.0,41.0
20.0,35.0,15.0,30.0,17.0,45.0,65.0,31.0,32.0,42.0
23.0,33.0,27.0,36.0,15.0,51.0,54.0,38.0,44.0,48.0
26.0,35.0,18.0,34.0,16.0,54.0,69.0,38.0,36.0,46.0
20.0,41.0,31.0,23.0,31.0,40.0,56.0,31.0,47.0,63.0
31.0,33.0,22.0,36.0,19.0,56.0,71.0,39.0,37.0,51.0
27.0,34.0,32.0,23.0,21.0,41.0,54.0,33.0,42.0,55.0
31.0,31.0,16.0,37.0,16.0,58.0,66.0,35.0,30.0,42.0
29.0,30.0,17.0,37.0,11.0,56.0,57.0,34.0,33.0,36.0
29.0,30.0,17.0,37.0,11.0,56.0,57.0,34.0,33.0,36.0
22.0,24.0,25.0,18.0,14.0,27.0,42.0,28.0,39.0,44.0
23.0,30.0,21.0,29.0,15.0,57.0,67.0,32.0,30.0,49.0
18.0,33.0,28.0,22.0,19.0,39.0,71.0,30.0,42.0,60.0
30.0,43.0,21.0,38.0,24.0,52.0,74.0,37.0,38.0,50.0
28.0,43.0,28.0,30.0,30.0,44.0,80.0,37.0,44.0,59.0
25.0,40.0,26.0,29.0,27.0,45.0,75.0,38.0,39.0,60.0
29.0,31.0,22.0,34.0,16.0,55.0,67.0,35.0,38.0,50.0
25.0,32.0,20.0,37.0,14.0,55.0,65.0,33.0,34.0,45.0
35.0,34.0,23.0,43.0,17.0,59.0,65.0,40.0,39.0,50.0
31.0,36.0,20.0,34.0,18.0,52.0,67.0,36.0,32.0,45.0
22.0,29.0,21.0,29.0,15.0,43.0,58.0,35.0,28.0,46.0
23.0,33.0,22.0,33.0,12.0,52.0,52.0,34.0,35.0,46.0
27.0,39.0,25.0,31.0,26.0,49.0,69.0,39.0,40.0,55.0
23.0,29.0,19.0,36.0,13.0,54.0,59.0,32.0,32.0,46.0
23.0,29.0,19.0,36.0,13.0,54.0,59.0,32.0,32.0,46.0
27.0,34.0,23.0,29.0,22.0,34.0,62.0,35.0,38.0,49.0
22.0,30.0,33.0,33.0,19.0,45.0,78.0,38.0,46.0,68.0
20.0,31.0,37.0,21.0,20.0,37.0,52.0,28.0,47.0,60.0
23.0,35.0,31.0,28.0,19.0,40.0,65.0,35.0,46.0,59.0
30.0,32.0,21.0,35.0,14.0,61.0,67.0,36.0,34.0,43.0
31.0,36.0,17.0,36.0,16.0,53.0,66.0,34.0,34.0,41.0
21.0,38.0,27.0,31.0,27.0,50.0,71.0,35.0,43.0,67.0
25.0,28.0,17.0,33.0,10.0,57.0,57.0,32.0,30.0,39.0
24.0,33.0,17.0,30.0,13.0,54.0,59.0,30.0,29.0,41.0
30.0,28.0,19.0,37.0,11.0,59.0,58.0,34.0,33.0,40.0
30.0,31.0,18.0,38.0,8.0,60.0,53.0,37.0,30.0,33.0
30.0,38.0,15.0,35.0,24.0,58.0,71.0,35.0,30.0,41.0
25.0,38.0,24.0,28.0,28.0,43.0,69.0,32.0,37.0,54.0
31.0,30.0,17.0,37.0,11.0,59.0,59.0,33.0,31.0,39.0
31.0,30.0,17.0,37.0,11.0,59.0,59.0,33.0,31.0,39.0
28.0,38.0,28.0,26.0,27.0,40.0,73.0,36.0,44.0,61.0
25.0,31.0,24.0,36.0,12.0,54.0,55.0,36.0,34.0,46.0
24.0,33.0,22.0,35.0,12.0,56.0,58.0,33.0,36.0,43.0
24.0,33.0,22.0,35.0,12.0,56.0,58.0,33.0,36.0,43.0
30.0,31.0,18.0,35.0,13.0,52.0,56.0,35.0,35.0,37.0
30.0,31.0,18.0,35.0,13.0,52.0,56.0,35.0,35.0,37.0
32.0,31.0,24.0,33.0,15.0,51.0,67.0,37.0,40.0,50.0
30.0,31.0,18.0,35.0,13.0,52.0,56.0,35.0,35.0,37.0
26.0,35.0,20.0,34.0,20.0,55.0,67.0,38.0,32.0,44.0
25.0,32.0,17.0,30.0,12.0,54.0,58.0,30.0,29.0,40.0
27.0,31.0,18.0,37.0,11.0,56.0,57.0,35.0,34.0,40.0
26.0,30.0,20.0,35.0,16.0,58.0,60.0,35.0,35.0,40.0
31.0,30.0,20.0,39.0,11.0,55.0,60.0,36.0,36.0,43.0
23.0,35.0,21.0,31.0,17.0,55.0,64.0,30.0,32.0,60.0
28.0,30.0,16.0,35.0,11.0,52.0,61.0,31.0,32.0,38.0
29.0,32.0,17.0,36.0,13.0,52.0,65.0,33.0,33.0,41.0
32.0,38.0,20.0,37.0,20.0,58.0,73.0,38.0,40.0,47.0
30.0,32.0,23.0,40.0,12.0,62.0,58.0,38.0,37.0,48.0
20.0,33.0,19.0,31.0,20.0,56.0,67.0,32.0,32.0,45.0
26.0,37.0,20.0,34.0,17.0,54.0,72.0,36.0,35.0,48.0
28.0,30.0,18.0,37.0,13.0,57.0,60.0,34.0,33.0,41.0
23.0,40.0,19.0,32.0,20.0,46.0,68.0,32.0,37.0,44.0
34.0,35.0,20.0,42.0,17.0,59.0,72.0,38.0,38.0,46.0
27.0,28.0,21.0,32.0,9.0,53.0,57.0,30.0,34.0,40.0
30.0,35.0,21.0,37.0,16.0,59.0,63.0,39.0,36.0,45.0
29.0,30.0,20.0,36.0,13.0,57.0,58.0,34.0,33.0,40.0
32.0,31.0,16.0,41.0,11.0,61.0,64.0,34.0,32.0,39.0
28.0,41.0,16.0,35.0,23.0,56.0,75.0,36.0,32.0,39.0
32.0,29.0,18.0,36.0,12.0,59.0,58.0,35.0,31.0,40.0
28.0,31.0,19.0,38.0,11.0,55.0,59.0,35.0,35.0,42.0
30.0,32.0,20.0,38.0,13.0,60.0,61.0,36.0,35.0,41.0
27.0,34.0,27.0,30.0,22.0,53.0,73.0,39.0,40.0,54.0
29.0,32.0,24.0,34.0,19.0,56.0,61.0,36.0,41.0,58.0
23.0,38.0,21.0,29.0,20.0,48.0,65.0,32.0,42.0,42.0
26.0,33.0,25.0,29.0,22.0,45.0,70.0,36.0,38.0,54.0
33.0,30.0,24.0,36.0,10.0,61.0,59.0,33.0,38.0,47.0
27.0,36.0,19.0,34.0,16.0,55.0,56.0,35.0,35.0,40.0
26.0,32.0,20.0,35.0,19.0,57.0,65.0,36.0,31.0,45.0
31.0,31.0,16.0,37.0,16.0,58.0,66.0,35.0,30.0,42.0
28.0,35.0,21.0,34.0,13.0,55.0,61.0,35.0,37.0,43.0
31.0,40.0,18.0,35.0,22.0,58.0,73.0,37.0,31.0,42.0
