anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
23.0,36.0,17.0,34.0,12.0,50.0,55.0,31.0,36.0,40.0
31.0,37.0,18.0,40.0,15.0,59.0,65.0,34.0,34.0,47.0
23.0,32.0,17.0,33.0,11.0,56.0,54.0,27.0,31.0,44.0
24.0,29.0,21.0,28.0,11.0,52.0,60.0,26.0,30.0,44.0
25.0,32.0,21.0,35.0,12.0,58.0,56.0,33.0,30.0,44.0
27.0,28.0,20.0,36.0,11.0,55.0,61.0,30.0,31.0,49.0
30.0,33.0,19.0,44.0,13.0,59.0,60.0,33.0,36.0,48.0
27.0,30.0,25.0,35.0,16.0,56.0,66.0,31.0,36.0,56.0
22.0,28.0,30.0,23.0,22.0,49.0,48.0,32.0,42.0,56.0
20.0,33.0,24.0,36.0,15.0,47.0,63.0,34.0,37.0,57.0
