anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
26.0,37.0,16.0,37.0,16.0,46.0,69.0,31.0,38.0,47.0
24.0,34.0,30.0,36.0,24.0,54.0,60.0,39.0,41.0,68.0
19.0,39.0,26.0,23.0,29.0,47.0,87.0,30.0,44.0,66.0
31.0,38.0,30.0,31.0,25.0,44.0,80.0,39.0,44.0,58.0
26.0,37.0,16.0,37.0,16.0,46.0,69.0,31.0,38.0,47.0
24.0,38.0,18.0,37.0,19.0,53.0,66.0,32.0,32.0,47.0
17.0,41.0,15.0,35.0,24.0,45.0,76.0,29.0,35.0,49.0
24.0,42.0,35.0,25.0,26.0,46.0,63.0,36.0,50.0,65.0
21.0,39.0,15.0,38.0,23.0,45.0,76.0,32.0,36.0,51.0
27.0,38.0,29.0,26.0,25.0,40.0,70.0,38.0,45.0,59.0
30.0,40.0,26.0,33.0,29.0,53.0,75.0,33.0,40.0,67.0
24.0,42.0,35.0,25.0,26.0,46.0,63.0,36.0,50.0,65.0
