anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
22.0,33.0,18.0,10.0,50.0,62.0,119.0,17.0,22.0,50.0
22.0,35.0,21.0,15.0,48.0,60.0,125.0,18.0,24.0,48.0
25.0,26.0,36.0,14.0,37.0,68.0,95.0,25.0,21.0,42.0
30.0,33.0,19.0,24.0,48.0,70.0,113.0,27.0,20.0,49.0
37.0,31.0,40.0,19.0,44.0,62.0,90.0,27.0,24.0,46.0
22.0,27.0,33.0,23.0,43.0,76.0,112.0,35.0,27.0,48.0
26.0,22.0,33.0,17.0,37.0,62.0,74.0,31.0,14.0,26.0
23.0,43.0,24.0,18.0,59.0,62.0,111.0,32.0,19.0,41.0
25.0,24.0,30.0,25.0,30.0,76.0,70.0,37.0,18.0,29.0
28.0,36.0,41.0,25.0,34.0,67.0,89.0,32.0,24.0,40.0
26.0,22.0,23.0,17.0,35.0,61.0,82.0,19.0,18.0,33.0
29.0,27.0,40.0,24.0,38.0,63.0,87.0,33.0,20.0,35.0
19.0,15.0,24.0,11.0,26.0,43.0,50.0,22.0,10.0,30.0
22.0,24.0,19.0,13.0,43.0,51.0,83.0,23.0,16.0,36.0
20.0,27.0,23.0,20.0,40.0,66.0,94.0,28.0,19.0,40.0
20.0,24.0,34.0,23.0,32.0,65.0,83.0,32.0,20.0,43.0
22.0,20.0,35.0,14.0,39.0,58.0,78.0,30.0,17.0,36.0
26.0,28.0,25.0,18.0,51.0,70.0,95.0,34.0,17.0,42.0
19.0,24.0,23.0,11.0,40.0,50.0,80.0,19.0,13.0,35.0
35.0,40.0,46.0,23.0,46.0,70.0,100.0,37.0,26.0,45.0
32.0,29.0,28.0,27.0,27.0,87.0,75.0,37.0,14.0,23.0
22.0,22.0,28.0,19.0,22.0,70.0,72.0,30.0,14.0,19.0
24.0,27.0,26.0,20.0,48.0,70.0,100.0,33.0,19.0,44.0
21.0,37.0,39.0,16.0,37.0,61.0,94.0,27.0,25.0,29.0
