anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
36.0,15.0,33.0,27.0,33.0,78.0,89.0,33.0,17.0,27.0
51.0,20.0,48.0,43.0,32.0,97.0,86.0,51.0,17.0,22.0
13.0,30.0,20.0,8.0,31.0,47.0,88.0,18.0,19.0,25.0
30.0,29.0,31.0,30.0,39.0,94.0,93.0,45.0,17.0,38.0
40.0,14.0,34.0,27.0,19.0,67.0,62.0,24.0,18.0,25.0
37.0,32.0,40.0,31.0,58.0,111.0,125.0,52.0,31.0,59.0
44.0,31.0,48.0,44.0,53.0,125.0,114.0,64.0,29.0,55.0
62.0,31.0,51.0,53.0,22.0,97.0,63.0,47.0,26.0,33.0
16.0,26.0,25.0,16.0,28.0,65.0,64.0,26.0,15.0,33.0
22.0,27.0,30.0,17.0,44.0,54.0,87.0,27.0,23.0,41.0
25.0,26.0,21.0,16.0,51.0,70.0,109.0,23.0,22.0,44.0
53.0,18.0,49.0,37.0,21.0,90.0,72.0,39.0,19.0,23.0
44.0,28.0,54.0,39.0,29.0,96.0,90.0,39.0,18.0,28.0
37.0,23.0,46.0,34.0,24.0,81.0,72.0,31.0,18.0,23.0
56.0,18.0,48.0,44.0,18.0,88.0,67.0,39.0,20.0,22.0
32.0,25.0,38.0,20.0,34.0,66.0,83.0,34.0,16.0,40.0
35.0,30.0,34.0,19.0,41.0,60.0,98.0,25.0,24.0,39.0
31.0,34.0,39.0,27.0,41.0,86.0,96.0,29.0,28.0,30.0
