anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
24.0,11.0,25.0,23.0,18.0,71.0,55.0,33.0,13.0,23.0
44.0,22.0,44.0,31.0,24.0,91.0,61.0,32.0,16.0,31.0
34.0,25.0,37.0,22.0,26.0,87.0,59.0,34.0,16.0,36.0
26.0,21.0,38.0,21.0,31.0,59.0,74.0,25.0,18.0,35.0
47.0,26.0,48.0,42.0,26.0,89.0,71.0,42.0,17.0,30.0
42.0,24.0,45.0,30.0,27.0,87.0,77.0,31.0,15.0,36.0
31.0,19.0,32.0,18.0,23.0,79.0,59.0,33.0,14.0,27.0
42.0,23.0,41.0,26.0,23.0,89.0,61.0,33.0,16.0,29.0
46.0,28.0,51.0,40.0,24.0,82.0,84.0,40.0,15.0,26.0
42.0,29.0,48.0,39.0,21.0,91.0,66.0,43.0,15.0,33.0
