anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
52.0,30.0,46.0,44.0,53.0,130.0,120.0,54.0,28.0,44.0
32.0,28.0,33.0,28.0,43.0,79.0,94.0,31.0,23.0,32.0
34.0,37.0,34.0,24.0,60.0,88.0,126.0,40.0,30.0,62.0
33.0,22.0,44.0,24.0,31.0,71.0,75.0,29.0,17.0,27.0
40.0,22.0,45.0,32.0,27.0,79.0,65.0,32.0,21.0,28.0
28.0,16.0,35.0,20.0,28.0,68.0,67.0,29.0,15.0,24.0
42.0,29.0,44.0,34.0,28.0,88.0,91.0,38.0,19.0,32.0
27.0,31.0,37.0,15.0,36.0,60.0,88.0,33.0,23.0,36.0
27.0,16.0,31.0,23.0,29.0,63.0,70.0,28.0,15.0,22.0
34.0,18.0,36.0,26.0,33.0,76.0,79.0,33.0,16.0,25.0
31.0,26.0,47.0,23.0,44.0,86.0,110.0,29.0,24.0,37.0
37.0,38.0,39.0,28.0,31.0,78.0,87.0,41.0,26.0,34.0
