anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
30.0,39.0,31.0,44.0,48.0,121.0,205.0,50.0,25.0,85.0
31.0,57.0,41.0,49.0,70.0,154.0,237.0,63.0,29.0,88.0
31.0,42.0,29.0,34.0,46.0,147.0,194.0,66.0,28.0,75.0
37.0,50.0,50.0,59.0,50.0,152.0,226.0,59.0,25.0,78.0
46.0,37.0,37.0,53.0,53.0,133.0,223.0,57.0,24.0,79.0
33.0,43.0,29.0,26.0,41.0,147.0,247.0,66.0,23.0,92.0
39.0,45.0,37.0,35.0,59.0,132.0,229.0,67.0,24.0,78.0
32.0,49.0,32.0,41.0,59.0,140.0,228.0,57.0,26.0,68.0
39.0,48.0,46.0,52.0,55.0,151.0,234.0,67.0,26.0,74.0
32.0,50.0,37.0,39.0,68.0,150.0,229.0,63.0,27.0,78.0
26.0,45.0,37.0,39.0,74.0,141.0,235.0,49.0,22.0,97.0
