anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
32.0,48.0,35.0,34.0,52.0,114.0,215.0,46.0,31.0,72.0
39.0,52.0,37.0,42.0,61.0,112.0,239.0,47.0,23.0,86.0
36.0,42.0,41.0,42.0,53.0,139.0,208.0,54.0,23.0,83.0
49.0,57.0,35.0,57.0,64.0,150.0,242.0,62.0,34.0,83.0
48.0,46.0,46.0,56.0,50.0,139.0,202.0,55.0,23.0,83.0
31.0,57.0,41.0,49.0,70.0,154.0,237.0,63.0,29.0,88.0
33.0,50.0,44.0,42.0,62.0,131.0,199.0,47.0,33.0,75.0
32.0,66.0,39.0,40.0,73.0,128.0,223.0,55.0,35.0,76.0
36.0,37.0,43.0,52.0,42.0,156.0,211.0,70.0,22.0,74.0
23.0,49.0,42.0,41.0,54.0,140.0,226.0,54.0,27.0,89.0
38.0,45.0,40.0,47.0,57.0,129.0,218.0,45.0,29.0,67.0
28.0,48.0,39.0,48.0,49.0,140.0,209.0,52.0,24.0,80.0
24.0,33.0,27.0,36.0,50.0,124.0,199.0,43.0,25.0,87.0
33.0,50.0,30.0,41.0,59.0,132.0,216.0,52.0,29.0,73.0
30.0,39.0,39.0,49.0,53.0,140.0,223.0,56.0,16.0,74.0
25.0,30.0,39.0,48.0,44.0,142.0,220.0,55.0,21.0,93.0
26.0,40.0,35.0,43.0,61.0,135.0,222.0,49.0,23.0,93.0
32.0,44.0,35.0,38.0,62.0,144.0,229.0,60.0,25.0,72.0
41.0,49.0,40.0,46.0,59.0,134.0,216.0,52.0,22.0,73.0
36.0,58.0,48.0,45.0,63.0,139.0,228.0,59.0,29.0,95.0
41.0,38.0,41.0,47.0,42.0,166.0,198.0,66.0,22.0,61.0
28.0,42.0,38.0,38.0,53.0,146.0,215.0,61.0,30.0,81.0
31.0,38.0,38.0,42.0,52.0,138.0,213.0,57.0,21.0,72.0
23.0,56.0,40.0,32.0,58.0,131.0,213.0,51.0,36.0,67.0
