anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
42.0,28.0,39.0,49.0,42.0,134.0,191.0,54.0,18.0,64.0
45.0,34.0,49.0,64.0,41.0,159.0,194.0,72.0,23.0,58.0
19.0,49.0,32.0,30.0,61.0,116.0,211.0,48.0,37.0,58.0
33.0,50.0,34.0,46.0,72.0,174.0,215.0,83.0,29.0,76.0
51.0,22.0,40.0,51.0,28.0,139.0,182.0,50.0,17.0,68.0
31.0,58.0,43.0,51.0,94.0,179.0,262.0,84.0,33.0,111.0
41.0,62.0,54.0,64.0,94.0,206.0,252.0,113.0,33.0,100.0
64.0,38.0,50.0,72.0,31.0,159.0,175.0,75.0,23.0,73.0
28.0,33.0,36.0,38.0,50.0,151.0,208.0,58.0,17.0,78.0
25.0,49.0,31.0,51.0,66.0,126.0,235.0,49.0,23.0,80.0
35.0,45.0,32.0,40.0,62.0,122.0,226.0,50.0,31.0,75.0
57.0,25.0,51.0,55.0,29.0,156.0,183.0,76.0,17.0,64.0
45.0,42.0,55.0,52.0,46.0,163.0,212.0,65.0,22.0,75.0
41.0,38.0,57.0,48.0,49.0,153.0,207.0,63.0,31.0,77.0
53.0,24.0,49.0,55.0,31.0,143.0,190.0,69.0,13.0,64.0
33.0,33.0,39.0,44.0,39.0,135.0,203.0,56.0,28.0,78.0
35.0,42.0,38.0,40.0,55.0,126.0,202.0,44.0,31.0,86.0
33.0,57.0,50.0,46.0,66.0,156.0,227.0,61.0,31.0,76.0
