anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
28.0,44.0,38.0,42.0,53.0,128.0,235.0,55.0,28.0,84.0
50.0,28.0,48.0,39.0,32.0,157.0,167.0,57.0,22.0,67.0
34.0,29.0,44.0,40.0,33.0,137.0,182.0,51.0,22.0,89.0
28.0,30.0,30.0,36.0,44.0,118.0,216.0,51.0,21.0,91.0
26.0,30.0,33.0,40.0,38.0,116.0,210.0,49.0,22.0,95.0
33.0,35.0,34.0,31.0,54.0,121.0,221.0,45.0,31.0,79.0
30.0,33.0,43.0,52.0,36.0,132.0,205.0,55.0,22.0,82.0
30.0,37.0,40.0,45.0,43.0,148.0,195.0,52.0,25.0,90.0
38.0,34.0,41.0,52.0,35.0,151.0,200.0,56.0,24.0,83.0
47.0,29.0,37.0,59.0,28.0,136.0,181.0,53.0,19.0,73.0
37.0,29.0,36.0,50.0,29.0,123.0,186.0,44.0,18.0,89.0
37.0,27.0,38.0,53.0,39.0,138.0,208.0,49.0,14.0,78.0
33.0,41.0,44.0,45.0,40.0,146.0,205.0,60.0,35.0,74.0
34.0,29.0,44.0,40.0,33.0,137.0,182.0,51.0,22.0,89.0
35.0,36.0,37.0,39.0,34.0,147.0,177.0,69.0,27.0,74.0
29.0,43.0,46.0,38.0,66.0,160.0,237.0,63.0,29.0,81.0
26.0,31.0,33.0,39.0,39.0,129.0,209.0,51.0,22.0,83.0
33.0,41.0,30.0,41.0,37.0,116.0,193.0,40.0,31.0,77.0
19.0,38.0,30.0,24.0,39.0,99.0,185.0,33.0,43.0,64.0
32.0,42.0,40.0,41.0,49.0,135.0,209.0,42.0,36.0,81.0
28.0,40.0,29.0,39.0,42.0,121.0,204.0,45.0,23.0,73.0
38.0,45.0,42.0,43.0,52.0,126.0,215.0,48.0,25.0,82.0
30.0,39.0,30.0,42.0,41.0,122.0,206.0,47.0,26.0,81.0
37.0,49.0,42.0,44.0,64.0,129.0,218.0,45.0,30.0,88.0
31.0,44.0,33.0,39.0,58.0,122.0,223.0,43.0,29.0,87.0
37.0,33.0,33.0,40.0,31.0,126.0,191.0,46.0,23.0,81.0
30.0,35.0,30.0,39.0,38.0,122.0,204.0,44.0,24.0,91.0
28.0,40.0,30.0,30.0,40.0,109.0,211.0,45.0,31.0,96.0
31.0,33.0,38.0,43.0,35.0,141.0,202.0,48.0,23.0,73.0
37.0,49.0,42.0,44.0,64.0,129.0,218.0,45.0,30.0,88.0
31.0,28.0,40.0,41.0,34.0,125.0,201.0,48.0,22.0,82.0
28.0,30.0,30.0,36.0,44.0,118.0,216.0,51.0,21.0,91.0
28.0,38.0,29.0,42.0,42.0,119.0,208.0,58.0,24.0,90.0
33.0,31.0,37.0,41.0,35.0,133.0,208.0,46.0,24.0,89.0
31.0,31.0,36.0,40.0,35.0,139.0,212.0,55.0,20.0,92.0
31.0,33.0,37.0,49.0,31.0,138.0,199.0,46.0,24.0,78.0
46.0,40.0,44.0,67.0,34.0,151.0,201.0,66.0,19.0,77.0
36.0,40.0,47.0,41.0,41.0,164.0,195.0,70.0,25.0,80.0
31.0,25.0,31.0,32.0,36.0,128.0,204.0,45.0,20.0,85.0
38.0,45.0,45.0,40.0,44.0,138.0,226.0,61.0,27.0,71.0
28.0,48.0,36.0,51.0,52.0,123.0,230.0,44.0,22.0,96.0
28.0,39.0,27.0,37.0,54.0,115.0,228.0,40.0,21.0,83.0
27.0,27.0,28.0,37.0,33.0,125.0,210.0,46.0,18.0,81.0
27.0,39.0,39.0,46.0,39.0,136.0,206.0,47.0,23.0,83.0
24.0,40.0,33.0,39.0,41.0,146.0,177.0,52.0,27.0,58.0
27.0,29.0,30.0,34.0,46.0,122.0,220.0,46.0,27.0,79.0
38.0,31.0,39.0,50.0,28.0,139.0,187.0,51.0,21.0,67.0
28.0,47.0,31.0,46.0,46.0,143.0,192.0,61.0,25.0,81.0
28.0,41.0,33.0,39.0,61.0,116.0,232.0,46.0,27.0,90.0
38.0,34.0,41.0,52.0,35.0,151.0,200.0,56.0,24.0,83.0
31.0,25.0,31.0,32.0,36.0,128.0,204.0,45.0,20.0,85.0
24.0,34.0,35.0,37.0,43.0,120.0,227.0,43.0,22.0,100.0
32.0,31.0,37.0,40.0,42.0,133.0,207.0,55.0,24.0,83.0
37.0,38.0,42.0,48.0,50.0,131.0,232.0,54.0,31.0,86.0
28.0,38.0,30.0,28.0,40.0,111.0,204.0,45.0,27.0,89.0
32.0,35.0,35.0,35.0,43.0,125.0,203.0,53.0,27.0,75.0
39.0,35.0,40.0,40.0,35.0,135.0,181.0,56.0,24.0,75.0
40.0,32.0,34.0,45.0,33.0,152.0,177.0,57.0,23.0,80.0
37.0,29.0,36.0,45.0,34.0,140.0,192.0,57.0,23.0,75.0
26.0,35.0,33.0,42.0,47.0,126.0,215.0,48.0,22.0,78.0
29.0,35.0,37.0,37.0,41.0,124.0,219.0,53.0,24.0,88.0
26.0,37.0,34.0,44.0,51.0,123.0,241.0,43.0,20.0,97.0
28.0,42.0,42.0,50.0,52.0,129.0,237.0,45.0,22.0,90.0
26.0,35.0,34.0,43.0,50.0,126.0,227.0,47.0,22.0,85.0
29.0,43.0,36.0,52.0,58.0,132.0,223.0,48.0,30.0,86.0
28.0,37.0,40.0,46.0,52.0,123.0,230.0,43.0,21.0,86.0
27.0,37.0,33.0,39.0,30.0,136.0,196.0,47.0,23.0,87.0
28.0,35.0,38.0,43.0,33.0,155.0,173.0,75.0,21.0,53.0
32.0,38.0,35.0,37.0,44.0,133.0,206.0,55.0,32.0,82.0
29.0,46.0,40.0,37.0,42.0,127.0,212.0,51.0,42.0,92.0
39.0,32.0,42.0,41.0,30.0,144.0,186.0,52.0,24.0,72.0
29.0,32.0,39.0,44.0,40.0,128.0,188.0,45.0,23.0,80.0
27.0,28.0,31.0,42.0,33.0,122.0,199.0,42.0,19.0,91.0
24.0,47.0,34.0,51.0,61.0,156.0,266.0,64.0,24.0,110.0
16.0,41.0,16.0,31.0,60.0,94.0,208.0,31.0,40.0,79.0
29.0,38.0,36.0,43.0,43.0,129.0,202.0,50.0,25.0,81.0
38.0,34.0,43.0,50.0,47.0,138.0,222.0,58.0,24.0,83.0
31.0,32.0,39.0,33.0,44.0,117.0,218.0,48.0,26.0,87.0
34.0,38.0,32.0,47.0,32.0,133.0,193.0,55.0,20.0,86.0
29.0,35.0,32.0,42.0,45.0,127.0,216.0,46.0,29.0,79.0
32.0,26.0,35.0,47.0,31.0,128.0,202.0,49.0,17.0,79.0
34.0,34.0,31.0,43.0,40.0,123.0,211.0,56.0,25.0,79.0
38.0,42.0,42.0,44.0,37.0,140.0,194.0,55.0,36.0,85.0
28.0,39.0,42.0,40.0,42.0,133.0,217.0,52.0,33.0,80.0
33.0,41.0,31.0,47.0,46.0,147.0,196.0,81.0,27.0,76.0
33.0,35.0,34.0,31.0,54.0,121.0,221.0,45.0,31.0,79.0
30.0,32.0,33.0,37.0,43.0,119.0,203.0,43.0,26.0,71.0
31.0,31.0,32.0,37.0,33.0,134.0,186.0,47.0,25.0,86.0
26.0,35.0,29.0,42.0,33.0,126.0,200.0,48.0,24.0,96.0
30.0,31.0,32.0,38.0,33.0,132.0,191.0,46.0,23.0,86.0
30.0,30.0,36.0,40.0,34.0,131.0,207.0,47.0,20.0,82.0
39.0,31.0,40.0,37.0,26.0,150.0,171.0,53.0,27.0,69.0
34.0,38.0,34.0,46.0,43.0,131.0,229.0,56.0,22.0,84.0
31.0,44.0,33.0,39.0,58.0,122.0,223.0,43.0,29.0,87.0
33.0,33.0,37.0,34.0,38.0,111.0,210.0,46.0,35.0,87.0
27.0,28.0,31.0,35.0,37.0,117.0,208.0,44.0,22.0,81.0
34.0,38.0,40.0,41.0,37.0,156.0,196.0,59.0,26.0,87.0
30.0,31.0,34.0,42.0,35.0,134.0,194.0,49.0,25.0,80.0
32.0,34.0,39.0,45.0,51.0,124.0,230.0,45.0,28.0,88.0
26.0,26.0,31.0,37.0,36.0,123.0,198.0,47.0,20.0,88.0
28.0,31.0,31.0,34.0,42.0,110.0,207.0,39.0,25.0,80.0
30.0,36.0,39.0,40.0,37.0,145.0,216.0,55.0,20.0,81.0
30.0,32.0,35.0,41.0,45.0,132.0,214.0,49.0,30.0,77.0
32.0,36.0,30.0,35.0,37.0,120.0,208.0,48.0,22.0,101.0
32.0,28.0,36.0,43.0,33.0,120.0,199.0,46.0,20.0,86.0
30.0,27.0,32.0,36.0,36.0,115.0,197.0,41.0,20.0,85.0
35.0,33.0,32.0,53.0,29.0,141.0,183.0,55.0,24.0,82.0
32.0,42.0,40.0,41.0,49.0,135.0,209.0,42.0,36.0,81.0
39.0,44.0,52.0,58.0,37.0,154.0,186.0,67.0,21.0,74.0
26.0,54.0,43.0,45.0,52.0,140.0,205.0,61.0,29.0,84.0
32.0,30.0,35.0,42.0,37.0,131.0,189.0,49.0,25.0,78.0
30.0,29.0,37.0,39.0,43.0,115.0,219.0,41.0,27.0,75.0
31.0,37.0,33.0,36.0,44.0,130.0,204.0,45.0,28.0,86.0
36.0,33.0,39.0,43.0,42.0,131.0,213.0,52.0,25.0,87.0
24.0,43.0,34.0,21.0,56.0,113.0,223.0,39.0,27.0,71.0
