anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
38.0,49.0,36.0,46.0,48.0,141.0,205.0,54.0,33.0,79.0
47.0,31.0,42.0,45.0,32.0,142.0,184.0,56.0,23.0,61.0
38.0,39.0,33.0,34.0,31.0,136.0,171.0,58.0,30.0,58.0
42.0,38.0,45.0,48.0,42.0,141.0,200.0,55.0,28.0,78.0
48.0,33.0,43.0,52.0,44.0,149.0,195.0,66.0,27.0,64.0
62.0,35.0,51.0,63.0,30.0,164.0,180.0,63.0,24.0,64.0
30.0,39.0,37.0,34.0,40.0,131.0,197.0,55.0,33.0,73.0
33.0,54.0,34.0,35.0,80.0,129.0,252.0,53.0,36.0,81.0
32.0,27.0,32.0,41.0,30.0,127.0,187.0,54.0,23.0,62.0
33.0,33.0,40.0,36.0,39.0,144.0,192.0,64.0,25.0,65.0
45.0,30.0,42.0,43.0,32.0,143.0,162.0,57.0,22.0,63.0
50.0,43.0,52.0,44.0,77.0,192.0,215.0,85.0,30.0,69.0
36.0,32.0,34.0,41.0,33.0,131.0,192.0,51.0,26.0,74.0
33.0,49.0,25.0,30.0,52.0,101.0,194.0,36.0,32.0,74.0
36.0,60.0,34.0,32.0,65.0,119.0,217.0,46.0,37.0,75.0
38.0,32.0,47.0,40.0,38.0,145.0,201.0,54.0,26.0,84.0
44.0,32.0,37.0,41.0,31.0,138.0,173.0,56.0,29.0,59.0
46.0,32.0,45.0,46.0,33.0,146.0,172.0,60.0,24.0,64.0
31.0,38.0,31.0,39.0,40.0,124.0,194.0,52.0,29.0,77.0
26.0,38.0,36.0,42.0,45.0,120.0,201.0,49.0,32.0,77.0
40.0,34.0,46.0,45.0,39.0,143.0,177.0,57.0,26.0,74.0
44.0,35.0,47.0,41.0,34.0,142.0,178.0,53.0,25.0,71.0
32.0,63.0,31.0,38.0,69.0,98.0,238.0,39.0,31.0,91.0
30.0,45.0,42.0,42.0,52.0,133.0,207.0,50.0,29.0,83.0
38.0,40.0,45.0,47.0,53.0,127.0,210.0,59.0,23.0,69.0
35.0,34.0,35.0,42.0,42.0,123.0,209.0,48.0,26.0,82.0
44.0,63.0,53.0,55.0,108.0,183.0,269.0,83.0,41.0,85.0
31.0,38.0,43.0,44.0,51.0,131.0,209.0,49.0,26.0,85.0
40.0,42.0,44.0,42.0,53.0,124.0,206.0,58.0,22.0,65.0
39.0,38.0,47.0,46.0,43.0,141.0,189.0,56.0,25.0,83.0
31.0,46.0,42.0,46.0,64.0,117.0,227.0,48.0,22.0,75.0
36.0,46.0,49.0,48.0,57.0,139.0,211.0,54.0,25.0,90.0
38.0,61.0,36.0,42.0,68.0,119.0,236.0,43.0,28.0,82.0
35.0,52.0,29.0,33.0,62.0,97.0,235.0,29.0,29.0,79.0
34.0,46.0,42.0,49.0,54.0,131.0,217.0,50.0,31.0,88.0
32.0,36.0,50.0,54.0,46.0,140.0,220.0,54.0,25.0,85.0
26.0,39.0,46.0,50.0,53.0,134.0,221.0,49.0,28.0,84.0
40.0,31.0,45.0,45.0,34.0,138.0,183.0,53.0,26.0,65.0
40.0,29.0,47.0,48.0,36.0,146.0,194.0,58.0,26.0,74.0
37.0,37.0,50.0,51.0,40.0,138.0,205.0,58.0,23.0,58.0
33.0,33.0,38.0,41.0,37.0,130.0,184.0,53.0,28.0,71.0
32.0,67.0,43.0,47.0,108.0,178.0,263.0,78.0,35.0,88.0
36.0,47.0,30.0,40.0,57.0,114.0,225.0,50.0,28.0,72.0
32.0,56.0,49.0,45.0,68.0,158.0,231.0,63.0,32.0,86.0
52.0,39.0,55.0,59.0,40.0,166.0,184.0,75.0,22.0,70.0
37.0,46.0,41.0,49.0,46.0,147.0,201.0,62.0,25.0,69.0
32.0,30.0,40.0,36.0,34.0,119.0,177.0,51.0,24.0,68.0
