anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
37.0,23.0,46.0,46.0,41.0,147.0,199.0,59.0,16.0,75.0
55.0,32.0,56.0,53.0,39.0,156.0,185.0,64.0,17.0,79.0
42.0,40.0,47.0,41.0,46.0,158.0,185.0,60.0,25.0,78.0
32.0,41.0,44.0,46.0,46.0,133.0,210.0,49.0,26.0,90.0
41.0,38.0,51.0,58.0,45.0,160.0,208.0,63.0,21.0,83.0
43.0,34.0,52.0,51.0,44.0,162.0,208.0,59.0,21.0,86.0
38.0,30.0,42.0,34.0,38.0,148.0,180.0,53.0,22.0,79.0
49.0,32.0,51.0,47.0,36.0,161.0,183.0,61.0,20.0,78.0
41.0,50.0,59.0,61.0,46.0,152.0,222.0,64.0,31.0,78.0
41.0,37.0,50.0,63.0,35.0,168.0,201.0,67.0,22.0,77.0
