,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Etiopija,7.0,10.0,12.0,19.0,17.0,33.0,42.0,15.0,9.0,27.0
Europa,9.0,8.0,11.0,19.0,11.0,45.0,40.0,16.0,7.0,20.0
Ukrajina,10.0,7.0,11.0,24.0,12.0,42.0,39.0,21.0,12.0,22.0
Sudan,13.0,9.0,17.0,24.0,13.0,46.0,38.0,28.0,11.0,23.0
Afganistan,17.0,6.0,16.0,32.0,13.0,61.0,36.0,31.0,14.0,23.0
Irak,22.0,9.0,20.0,34.0,11.0,64.0,30.0,32.0,16.0,20.0
Jemen,10.0,12.0,12.0,12.0,19.0,31.0,47.0,14.0,10.0,29.0
Rusija,15.0,6.0,12.0,20.0,4.0,40.0,29.0,20.0,8.0,14.0
Italija,12.0,12.0,10.0,15.0,17.0,36.0,45.0,15.0,10.0,18.0
Somalija,8.0,10.0,13.0,22.0,19.0,44.0,52.0,16.0,11.0,19.0
Iran,23.0,8.0,25.0,24.0,9.0,59.0,34.0,32.0,10.0,23.0
Venezuela,13.0,12.0,12.0,22.0,17.0,38.0,45.0,19.0,8.0,24.0
Oman,8.0,10.0,11.0,14.0,15.0,30.0,44.0,15.0,7.0,25.0
Sirija,6.0,7.0,12.0,18.0,12.0,34.0,47.0,14.0,11.0,16.0
Kina,17.0,12.0,16.0,21.0,11.0,44.0,46.0,24.0,6.0,21.0
Indija,5.0,12.0,7.0,13.0,18.0,29.0,56.0,10.0,14.0,21.0
Britanija,7.0,8.0,9.0,11.0,12.0,28.0,40.0,12.0,12.0,21.0
Francuska,8.0,8.0,6.0,10.0,11.0,31.0,43.0,9.0,8.0,12.0
Grčka,12.0,8.0,16.0,20.0,10.0,39.0,37.0,15.0,9.0,13.0
Škotska,6.0,9.0,5.0,13.0,10.0,26.0,44.0,8.0,5.0,17.0
Paragvaj,8.0,14.0,16.0,11.0,23.0,31.0,65.0,11.0,13.0,34.0
Brazil,18.0,14.0,15.0,18.0,20.0,47.0,59.0,24.0,9.0,28.0
Afrika,9.0,10.0,14.0,26.0,19.0,41.0,44.0,20.0,10.0,26.0
Jordan,15.0,13.0,10.0,20.0,17.0,42.0,46.0,23.0,9.0,27.0
Indonezija,6.0,11.0,10.0,13.0,18.0,27.0,51.0,12.0,10.0,25.0
Vijetnam,8.0,13.0,8.0,11.0,18.0,26.0,64.0,12.0,7.0,28.0
Pakistan,18.0,13.0,20.0,24.0,16.0,53.0,43.0,27.0,8.0,26.0
Rumunjska,9.0,9.0,8.0,14.0,15.0,38.0,49.0,13.0,10.0,17.0
Ekvador,15.0,11.0,13.0,25.0,17.0,43.0,47.0,22.0,10.0,25.0
Meksiko,17.0,14.0,15.0,18.0,20.0,40.0,60.0,24.0,11.0,29.0
Portoriko,5.0,13.0,6.0,8.0,20.0,23.0,57.0,13.0,11.0,27.0
Kamerun,19.0,12.0,16.0,16.0,16.0,47.0,49.0,26.0,7.0,27.0
Kenija,8.0,12.0,9.0,14.0,17.0,26.0,53.0,10.0,11.0,21.0
Liberija,12.0,7.0,9.0,21.0,8.0,40.0,33.0,20.0,6.0,16.0
Sijera Leon,12.0,16.0,12.0,15.0,22.0,32.0,61.0,18.0,9.0,28.0
Katar,12.0,15.0,9.0,11.0,20.0,30.0,61.0,16.0,10.0,32.0
Sirija,6.0,7.0,12.0,18.0,12.0,34.0,47.0,14.0,11.0,16.0
Kenija,8.0,12.0,9.0,14.0,17.0,26.0,53.0,10.0,11.0,21.0
Saudijska Arabija,7.0,10.0,9.0,15.0,10.0,31.0,37.0,19.0,7.0,22.0
Libanon,24.0,11.0,22.0,31.0,15.0,64.0,50.0,34.0,8.0,27.0
Južna Afrika,8.0,14.0,11.0,19.0,19.0,31.0,48.0,13.0,10.0,29.0
Koreja,11.0,9.0,7.0,16.0,14.0,38.0,52.0,13.0,12.0,21.0
Singapur,7.0,17.0,7.0,8.0,23.0,29.0,62.0,13.0,11.0,31.0
Njemačka,11.0,8.0,10.0,15.0,12.0,34.0,47.0,13.0,9.0,14.0
Irska,10.0,13.0,7.0,20.0,17.0,36.0,47.0,18.0,7.0,26.0
Maroko,10.0,11.0,14.0,19.0,17.0,32.0,49.0,16.0,10.0,26.0
Turska,7.0,7.0,7.0,11.0,10.0,29.0,45.0,9.0,10.0,12.0
Laos,12.0,14.0,8.0,16.0,17.0,38.0,56.0,22.0,4.0,29.0
Bangladeš,20.0,19.0,19.0,32.0,30.0,77.0,72.0,28.0,10.0,26.0
Gvatemala,6.0,17.0,4.0,11.0,24.0,16.0,61.0,9.0,8.0,23.0
Gana,8.0,15.0,12.0,16.0,22.0,27.0,53.0,12.0,10.0,33.0
Nepal,11.0,16.0,11.0,17.0,23.0,32.0,52.0,19.0,11.0,31.0
Albanija,8.0,7.0,12.0,19.0,14.0,37.0,41.0,17.0,11.0,24.0
Španjolska,5.0,13.0,7.0,9.0,18.0,24.0,61.0,8.0,13.0,21.0
Švedska,10.0,8.0,6.0,12.0,13.0,30.0,45.0,12.0,8.0,23.0
Argentina,16.0,19.0,11.0,21.0,21.0,38.0,52.0,19.0,6.0,28.0
Čile,23.0,14.0,18.0,31.0,15.0,66.0,47.0,33.0,7.0,31.0
Tajvan,14.0,14.0,12.0,15.0,21.0,37.0,63.0,17.0,11.0,31.0
Finska,6.0,11.0,3.0,7.0,17.0,24.0,54.0,6.0,12.0,18.0
Australija,5.0,14.0,6.0,11.0,17.0,25.0,55.0,11.0,12.0,21.0
Egipat,15.0,9.0,13.0,18.0,14.0,40.0,49.0,20.0,8.0,25.0
Peru,9.0,15.0,11.0,9.0,22.0,27.0,66.0,14.0,11.0,30.0
Poljska,8.0,12.0,5.0,11.0,17.0,27.0,52.0,12.0,10.0,17.0
Kolumbija,10.0,15.0,8.0,17.0,21.0,33.0,54.0,16.0,10.0,30.0
Bolivija,11.0,16.0,5.0,18.0,22.0,29.0,56.0,13.0,7.0,27.0
Japan,14.0,16.0,10.0,17.0,21.0,36.0,54.0,20.0,9.0,30.0
Norveška,5.0,12.0,2.0,12.0,16.0,21.0,53.0,8.0,7.0,24.0
Kabo Verde,12.0,18.0,10.0,7.0,24.0,29.0,74.0,10.0,8.0,40.0
Portugal,10.0,11.0,12.0,11.0,15.0,39.0,53.0,20.0,9.0,24.0
Austrija,6.0,8.0,5.0,12.0,12.0,25.0,43.0,11.0,11.0,15.0
Nizozemska,6.0,12.0,5.0,8.0,17.0,22.0,59.0,8.0,11.0,17.0
Hrvatska,9.0,8.0,10.0,19.0,12.0,31.0,32.0,17.0,7.0,15.0
Malta,6.0,13.0,4.0,9.0,20.0,23.0,53.0,11.0,7.0,26.0
Belgija,5.0,9.0,6.0,13.0,15.0,27.0,49.0,11.0,11.0,18.0
