,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,6.0,5.0,13.0,13.0,9.0,25.0,45.0,11.0,5.0,18.0
konzervativci,12.0,5.0,13.0,14.0,10.0,39.0,52.0,18.0,4.0,20.0
liberali,15.0,5.0,19.0,15.0,13.0,46.0,42.0,19.0,5.0,18.0
trumpove pristaše,27.0,8.0,20.0,35.0,14.0,70.0,41.0,39.0,11.0,24.0
birači,12.0,10.0,12.0,14.0,17.0,34.0,63.0,18.0,5.0,28.0
komunisti,21.0,7.0,25.0,21.0,15.0,60.0,47.0,30.0,8.0,18.0
kapitalisti,24.0,10.0,24.0,23.0,18.0,60.0,44.0,32.0,8.0,24.0
narodnjaci,7.0,8.0,11.0,11.0,12.0,26.0,45.0,13.0,8.0,22.0
socijalisti,16.0,6.0,15.0,16.0,13.0,38.0,43.0,18.0,5.0,19.0
katalonski independisti,14.0,7.0,18.0,21.0,12.0,41.0,36.0,21.0,5.0,21.0
