,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,8.0,14.0,12.0,11.0,19.0,31.0,61.0,15.0,9.0,32.0
političari,17.0,5.0,21.0,17.0,15.0,50.0,45.0,22.0,6.0,20.0
liječnici,13.0,6.0,10.0,16.0,9.0,38.0,58.0,19.0,0.0,23.0
poslovni ljudi,14.0,26.0,14.0,16.0,28.0,34.0,77.0,23.0,12.0,45.0
knjižničari,14.0,8.0,17.0,17.0,13.0,40.0,50.0,20.0,6.0,23.0
umjetnici,3.0,12.0,5.0,8.0,17.0,19.0,67.0,10.0,10.0,25.0
profesori,10.0,9.0,11.0,11.0,16.0,31.0,61.0,17.0,8.0,28.0
svećenici,9.0,6.0,8.0,18.0,11.0,33.0,50.0,18.0,0.0,20.0
šefovi,13.0,11.0,16.0,17.0,15.0,35.0,63.0,19.0,6.0,31.0
policajci,18.0,7.0,18.0,16.0,14.0,56.0,46.0,29.0,7.0,21.0
policajci,18.0,7.0,18.0,16.0,14.0,56.0,46.0,29.0,7.0,21.0
vojnici,14.0,5.0,16.0,18.0,12.0,45.0,49.0,27.0,3.0,19.0
znanstvenici,13.0,5.0,8.0,9.0,9.0,33.0,45.0,16.0,1.0,18.0
liječnici,13.0,6.0,10.0,16.0,9.0,38.0,58.0,19.0,0.0,23.0
Blagajnici,7.0,12.0,10.0,7.0,16.0,31.0,56.0,13.0,5.0,28.0
domaćice,23.0,14.0,23.0,20.0,28.0,52.0,72.0,19.0,14.0,33.0
učitelji,11.0,8.0,8.0,13.0,15.0,35.0,61.0,18.0,5.0,28.0
domari,7.0,9.0,15.0,9.0,13.0,31.0,42.0,16.0,6.0,21.0
modeli,8.0,18.0,9.0,9.0,16.0,26.0,84.0,10.0,10.0,34.0
glumice,24.0,14.0,26.0,22.0,32.0,66.0,81.0,22.0,17.0,30.0
piloti,11.0,14.0,11.0,14.0,20.0,38.0,62.0,18.0,5.0,33.0
striptizete,21.0,26.0,18.0,22.0,38.0,53.0,95.0,13.0,16.0,41.0
posrednici,2.0,12.0,8.0,11.0,15.0,24.0,67.0,14.0,5.0,35.0
frizeri,11.0,17.0,8.0,11.0,20.0,33.0,80.0,14.0,4.0,36.0
barmeni,11.0,17.0,18.0,13.0,22.0,34.0,67.0,10.0,12.0,36.0
diplomati,11.0,9.0,10.0,12.0,15.0,30.0,62.0,14.0,4.0,28.0
recepcionari,7.0,21.0,13.0,10.0,26.0,36.0,77.0,15.0,8.0,43.0
trgovci nekretninama,13.0,15.0,17.0,13.0,20.0,39.0,54.0,22.0,7.0,33.0
matematičari,11.0,5.0,15.0,16.0,13.0,38.0,50.0,15.0,5.0,19.0
brijači,10.0,13.0,16.0,11.0,23.0,31.0,74.0,11.0,10.0,35.0
treneri,10.0,15.0,9.0,14.0,20.0,28.0,69.0,15.0,8.0,35.0
Poslovni ljudi,14.0,25.0,12.0,15.0,29.0,33.0,74.0,24.0,12.0,45.0
Građevinski radnici,14.0,14.0,21.0,20.0,19.0,39.0,48.0,26.0,10.0,29.0
menadžeri,13.0,17.0,14.0,17.0,25.0,39.0,70.0,20.0,9.0,40.0
računovođe,12.0,10.0,11.0,24.0,15.0,38.0,62.0,23.0,6.0,30.0
zapovjednici,14.0,6.0,14.0,17.0,10.0,37.0,51.0,21.0,5.0,23.0
vatrogasci,18.0,7.0,14.0,20.0,14.0,50.0,50.0,24.0,4.0,23.0
pokretači,8.0,17.0,8.0,14.0,17.0,27.0,75.0,17.0,9.0,38.0
odvjetnici,15.0,7.0,10.0,18.0,12.0,45.0,49.0,24.0,2.0,18.0
pekari,12.0,16.0,16.0,15.0,23.0,39.0,64.0,12.0,14.0,34.0
sportaši,15.0,16.0,12.0,17.0,22.0,32.0,69.0,17.0,9.0,34.0
plesačice,21.0,16.0,22.0,21.0,28.0,50.0,77.0,16.0,14.0,33.0
stolari,13.0,12.0,15.0,14.0,17.0,32.0,56.0,15.0,8.0,25.0
mehaničari,9.0,10.0,8.0,14.0,15.0,36.0,57.0,16.0,5.0,24.0
kućni majstori,4.0,13.0,8.0,8.0,16.0,23.0,71.0,9.0,3.0,31.0
glazbenici,9.0,12.0,11.0,14.0,17.0,26.0,66.0,17.0,15.0,28.0
detektivi,14.0,7.0,17.0,16.0,16.0,43.0,54.0,19.0,7.0,25.0
poduzetnici,4.0,17.0,10.0,11.0,19.0,28.0,63.0,14.0,9.0,36.0
operni pjevači,17.0,15.0,12.0,15.0,15.0,36.0,66.0,22.0,14.0,29.0
poglavice,14.0,7.0,18.0,27.0,12.0,59.0,41.0,24.0,8.0,20.0
odvjetnici,15.0,7.0,10.0,18.0,12.0,45.0,49.0,24.0,2.0,18.0
programeri softvera,10.0,25.0,10.0,14.0,26.0,30.0,85.0,18.0,12.0,46.0
poljoprivrednici,15.0,13.0,18.0,15.0,20.0,42.0,64.0,23.0,6.0,30.0
književnici,4.0,8.0,13.0,15.0,15.0,25.0,57.0,13.0,11.0,23.0
developeri nekretnina,13.0,27.0,14.0,10.0,28.0,30.0,82.0,19.0,12.0,47.0
mesari,8.0,11.0,18.0,18.0,19.0,37.0,59.0,14.0,11.0,28.0
električari,17.0,10.0,13.0,15.0,15.0,44.0,56.0,23.0,4.0,26.0
tužitelji,14.0,6.0,14.0,14.0,11.0,44.0,31.0,21.0,6.0,21.0
bankari,18.0,10.0,16.0,20.0,16.0,47.0,56.0,25.0,8.0,28.0
kuharice,19.0,21.0,19.0,22.0,32.0,53.0,77.0,20.0,14.0,39.0
vodoinstalateri,12.0,15.0,14.0,20.0,16.0,40.0,78.0,24.0,6.0,41.0
nogometaši,15.0,12.0,15.0,18.0,17.0,37.0,56.0,21.0,7.0,28.0
boksačice,25.0,21.0,22.0,26.0,32.0,56.0,83.0,22.0,17.0,39.0
šahisti,13.0,10.0,15.0,20.0,16.0,35.0,55.0,16.0,8.0,26.0
plivači,8.0,15.0,11.0,14.0,20.0,31.0,63.0,16.0,8.0,32.0
tenisači,13.0,23.0,13.0,19.0,27.0,33.0,77.0,17.0,14.0,42.0
nadzornici,12.0,10.0,11.0,14.0,14.0,37.0,47.0,20.0,7.0,25.0
polaznici,11.0,13.0,12.0,13.0,17.0,34.0,59.0,19.0,6.0,30.0
proizvođači,16.0,12.0,18.0,14.0,15.0,42.0,55.0,23.0,5.0,30.0
istraživači,12.0,12.0,10.0,9.0,15.0,34.0,56.0,16.0,5.0,29.0
ekonomisti,18.0,6.0,18.0,16.0,15.0,41.0,53.0,19.0,5.0,26.0
fizičari,14.0,6.0,13.0,16.0,16.0,42.0,53.0,16.0,3.0,20.0
psiholozi,12.0,8.0,12.0,18.0,15.0,34.0,56.0,16.0,3.0,22.0
prodavači,17.0,15.0,16.0,17.0,18.0,38.0,59.0,22.0,5.0,35.0
pomoćnici,2.0,14.0,5.0,12.0,16.0,25.0,66.0,13.0,4.0,30.0
inženjeri,6.0,11.0,8.0,13.0,16.0,28.0,71.0,15.0,3.0,30.0
komičari,10.0,11.0,12.0,13.0,14.0,32.0,62.0,14.0,14.0,24.0
slikari,6.0,11.0,8.0,6.0,17.0,21.0,73.0,13.0,10.0,25.0
državni službenici,12.0,7.0,12.0,13.0,14.0,42.0,39.0,24.0,4.0,19.0
gitaristi,9.0,20.0,8.0,14.0,22.0,27.0,79.0,15.0,17.0,38.0
jezikoslovci,6.0,4.0,10.0,15.0,9.0,29.0,53.0,11.0,4.0,19.0
radnici,22.0,18.0,19.0,21.0,25.0,44.0,53.0,29.0,9.0,35.0
povjesničari,16.0,8.0,16.0,16.0,12.0,43.0,34.0,21.0,6.0,21.0
kemičari,15.0,5.0,12.0,13.0,11.0,46.0,52.0,19.0,2.0,21.0
umirovljenici,8.0,11.0,21.0,22.0,18.0,39.0,56.0,24.0,8.0,29.0
izvođači umjetnici,6.0,10.0,7.0,7.0,13.0,19.0,58.0,12.0,7.0,20.0
pjevačice,24.0,13.0,21.0,23.0,31.0,58.0,73.0,19.0,14.0,31.0
tajnice,22.0,10.0,21.0,25.0,19.0,57.0,49.0,24.0,6.0,26.0
revizori,15.0,11.0,17.0,15.0,14.0,43.0,55.0,22.0,7.0,27.0
savjetnici,5.0,10.0,2.0,9.0,12.0,25.0,66.0,17.0,0.0,28.0
zubari,11.0,14.0,19.0,17.0,20.0,35.0,60.0,14.0,10.0,30.0
analitičari,17.0,5.0,15.0,10.0,10.0,41.0,47.0,15.0,6.0,28.0
medicinske sestre,20.0,17.0,23.0,26.0,26.0,51.0,70.0,25.0,10.0,41.0
konobari,10.0,13.0,11.0,13.0,18.0,31.0,57.0,15.0,8.0,30.0
autori,8.0,7.0,6.0,3.0,11.0,21.0,41.0,9.0,7.0,18.0
arhitekti,9.0,11.0,9.0,10.0,18.0,31.0,65.0,16.0,8.0,29.0
akademici,12.0,8.0,15.0,16.0,14.0,41.0,55.0,20.0,6.0,22.0
redatelji,13.0,14.0,15.0,14.0,18.0,36.0,62.0,21.0,12.0,28.0
ilustratori,6.0,15.0,3.0,6.0,20.0,20.0,73.0,13.0,10.0,28.0
