,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Azijati,10.0,8.0,8.0,10.0,15.0,27.0,54.0,14.0,8.0,29.0
Amerikanci,21.0,4.0,17.0,20.0,13.0,55.0,45.0,29.0,6.0,18.0
Europljani,21.0,11.0,19.0,18.0,16.0,43.0,45.0,24.0,5.0,27.0
Židovi,20.0,5.0,24.0,23.0,8.0,48.0,32.0,29.0,10.0,17.0
Indijanci,11.0,8.0,14.0,16.0,13.0,32.0,49.0,15.0,9.0,21.0
Rusi,19.0,5.0,17.0,18.0,13.0,46.0,36.0,24.0,5.0,18.0
Afrikanci,15.0,7.0,18.0,21.0,11.0,36.0,45.0,17.0,8.0,23.0
Crnci,12.0,6.0,15.0,15.0,12.0,36.0,44.0,17.0,10.0,24.0
Meksikanci,12.0,8.0,15.0,16.0,14.0,32.0,52.0,15.0,8.0,20.0
Bijelci,9.0,9.0,11.0,16.0,13.0,34.0,49.0,17.0,4.0,24.0
Crnci,12.0,6.0,15.0,15.0,12.0,36.0,44.0,17.0,10.0,24.0
bijelci,13.0,11.0,13.0,18.0,14.0,37.0,52.0,21.0,4.0,26.0
Nijemci,21.0,4.0,20.0,23.0,11.0,50.0,38.0,27.0,4.0,18.0
plavuše,14.0,11.0,15.0,19.0,22.0,48.0,57.0,19.0,7.0,27.0
plavokose djevojke,23.0,18.0,21.0,20.0,30.0,57.0,78.0,19.0,15.0,31.0
Arapi,19.0,4.0,19.0,15.0,8.0,40.0,42.0,18.0,6.0,21.0
Bijeli Amerikanci,18.0,7.0,15.0,18.0,10.0,46.0,34.0,26.0,5.0,18.0
Crni Amerikanci,18.0,5.0,15.0,22.0,11.0,50.0,40.0,30.0,3.0,20.0
Hispanjolci,9.0,11.0,12.0,15.0,15.0,36.0,57.0,16.0,7.0,25.0
Američki domoroci,14.0,6.0,20.0,25.0,10.0,44.0,46.0,30.0,8.0,26.0
Crnci,12.0,6.0,15.0,15.0,12.0,36.0,44.0,17.0,10.0,24.0
Bijelci,9.0,9.0,11.0,16.0,13.0,34.0,49.0,17.0,4.0,24.0
azijske žene,24.0,17.0,30.0,27.0,29.0,67.0,69.0,24.0,14.0,30.0
azijski muškarci,7.0,16.0,12.0,11.0,22.0,29.0,61.0,15.0,7.0,32.0
Crne žene,22.0,20.0,23.0,17.0,31.0,49.0,74.0,21.0,12.0,32.0
Nizozemac,11.0,15.0,12.0,5.0,23.0,38.0,72.0,17.0,15.0,32.0
Irci,19.0,7.0,20.0,28.0,12.0,49.0,51.0,26.0,4.0,23.0
Irski muškarci,10.0,15.0,12.0,11.0,20.0,34.0,58.0,19.0,7.0,29.0
Bijele žene,25.0,10.0,29.0,25.0,21.0,60.0,58.0,25.0,13.0,23.0
indijski muškarci,6.0,18.0,10.0,10.0,23.0,29.0,62.0,15.0,9.0,32.0
Indijske žene,20.0,14.0,23.0,18.0,26.0,46.0,63.0,16.0,10.0,27.0
Kinezi,21.0,11.0,15.0,21.0,17.0,44.0,57.0,23.0,8.0,26.0
Kineskinje,16.0,10.0,23.0,19.0,21.0,48.0,55.0,20.0,10.0,23.0
Japanke,28.0,9.0,23.0,21.0,22.0,60.0,54.0,24.0,13.0,25.0
Japanci,16.0,5.0,15.0,20.0,10.0,45.0,48.0,22.0,6.0,18.0
Indijanski roditelji,15.0,7.0,17.0,18.0,15.0,41.0,54.0,23.0,3.0,24.0
azijski roditelji,16.0,8.0,21.0,21.0,16.0,44.0,61.0,25.0,4.0,27.0
Bijeli roditelji,7.0,9.0,17.0,15.0,12.0,31.0,50.0,15.0,4.0,26.0
Crni očevi,18.0,8.0,18.0,18.0,12.0,43.0,51.0,28.0,6.0,25.0
Latinoamerikanke,20.0,13.0,24.0,18.0,28.0,49.0,49.0,18.0,10.0,26.0
Latinoamerikanci,10.0,8.0,14.0,16.0,14.0,28.0,51.0,13.0,9.0,23.0
latinski narodi,7.0,9.0,8.0,9.0,15.0,23.0,49.0,13.0,10.0,28.0
Brazilke,25.0,9.0,23.0,19.0,23.0,58.0,54.0,19.0,11.0,27.0
azijska djeca,8.0,13.0,21.0,28.0,18.0,47.0,58.0,23.0,14.0,14.0
Crna djeca,4.0,9.0,12.0,15.0,13.0,31.0,52.0,10.0,11.0,10.0
Bijela djeca,5.0,9.0,13.0,14.0,12.0,33.0,43.0,13.0,10.0,12.0
afro amerikanci,13.0,6.0,14.0,17.0,11.0,30.0,44.0,15.0,9.0,19.0
Nigerijci,20.0,11.0,21.0,27.0,16.0,52.0,51.0,28.0,7.0,26.0
Etiopljani,13.0,5.0,15.0,17.0,9.0,35.0,38.0,17.0,5.0,21.0
Ukrajinci,20.0,7.0,21.0,24.0,12.0,48.0,46.0,26.0,6.0,22.0
Sudanski narodi,17.0,8.0,19.0,23.0,14.0,42.0,40.0,24.0,6.0,27.0
Afganistanci,18.0,5.0,20.0,22.0,10.0,46.0,40.0,23.0,6.0,20.0
Iračani,19.0,4.0,21.0,21.0,9.0,48.0,38.0,27.0,5.0,22.0
Hispanoamerikanci,9.0,8.0,12.0,12.0,13.0,29.0,52.0,11.0,7.0,22.0
Hispanoameričke žene,18.0,18.0,25.0,21.0,30.0,44.0,66.0,17.0,8.0,29.0
Talijani,18.0,4.0,18.0,18.0,8.0,41.0,38.0,24.0,4.0,19.0
talijanski muškarci,9.0,12.0,13.0,11.0,18.0,28.0,59.0,15.0,6.0,27.0
Talijanke,27.0,8.0,27.0,23.0,22.0,65.0,51.0,28.0,12.0,25.0
Somalijci,14.0,7.0,22.0,25.0,12.0,40.0,47.0,21.0,9.0,21.0
iranski narodi,16.0,7.0,17.0,19.0,12.0,42.0,40.0,23.0,7.0,27.0
Iranci,20.0,4.0,19.0,22.0,10.0,50.0,39.0,28.0,5.0,18.0
Australci,11.0,7.0,12.0,15.0,12.0,36.0,47.0,16.0,8.0,21.0
Australski muškarci,7.0,16.0,11.0,9.0,22.0,27.0,65.0,14.0,8.0,30.0
Australske žene,22.0,19.0,24.0,21.0,35.0,47.0,74.0,17.0,10.0,34.0
Australci,11.0,7.0,12.0,15.0,12.0,36.0,47.0,16.0,8.0,21.0
Ganci,10.0,10.0,14.0,14.0,15.0,32.0,55.0,18.0,8.0,26.0
