,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay ljudi,17.0,10.0,19.0,21.0,19.0,42.0,56.0,18.0,13.0,26.0
lezbijke,23.0,17.0,29.0,24.0,31.0,54.0,70.0,19.0,13.0,30.0
queer ljudi,5.0,11.0,8.0,1.0,17.0,20.0,45.0,6.0,7.0,19.0
transrodne osobe,15.0,15.0,24.0,26.0,28.0,45.0,66.0,19.0,7.0,30.0
homoseksualci,14.0,8.0,24.0,24.0,13.0,41.0,44.0,18.0,8.0,21.0
panseksualne osobe,17.0,17.0,26.0,25.0,28.0,49.0,61.0,22.0,9.0,32.0
pederi,15.0,6.0,19.0,14.0,13.0,46.0,48.0,20.0,4.0,21.0
pederi,15.0,6.0,19.0,14.0,13.0,46.0,48.0,20.0,4.0,21.0
biseksualne osobe,14.0,15.0,24.0,24.0,27.0,48.0,61.0,18.0,7.0,30.0
aseksualne osobe,16.0,16.0,24.0,23.0,25.0,49.0,60.0,23.0,7.0,30.0
crossdresserke,22.0,16.0,20.0,18.0,35.0,44.0,85.0,14.0,13.0,38.0
pederi,15.0,6.0,19.0,14.0,13.0,46.0,48.0,20.0,4.0,21.0
